course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
AAS 100,AAS,100,"Geng, Z.",3.75,0.26
AAS 100,AAS,100,"Shin, J.",3.74,0.24
AAS 100,AAS,100,"Rosado-Torres, A.",3.73,0.24
AAS 100,AAS,100,"Kim, G.",3.65,0.14
AAS 100,AAS,100,"Mukhopadhyay, A.",3.63,0.12
AAS 100,AAS,100,"Horton, C.",3.63,0.11
AAS 100,AAS,100,"Wang, Y.",3.54,0.02
AAS 100,AAS,100,"Lee, S.",3.53,0.00
AAS 100,AAS,100,"Zheng, R.",3.52,-0.01
AAS 100,AAS,100,"Atienza, P.",3.51,-0.02
AAS 100,AAS,100,"Guruparan, A.",3.49,-0.04
AAS 100,AAS,100,"Boonsripaisal, S.",3.49,-0.04
AAS 100,AAS,100,"Charity, H.",3.43,-0.12
AAS 100,AAS,100,"Gonzalez, D.",3.40,-0.15
AAS 100,AAS,100,"Kang, Y.",3.37,-0.18
AAS 100,AAS,100,"Espiritu, A.",3.37,-0.19
AAS 100,AAS,100,"Roy, S.",3.31,-0.26
AAS 100,AAS,100,"Chapekar, P.",3.05,-0.55
AAS 120,AAS,120,"Huang, N.",3.78,0.29
AAS 120,AAS,120,"Park, D.",3.43,-0.19
AAS 200,AAS,200,"Sawada, E.",3.78,0.27
AAS 200,AAS,200,"Park, D.",3.47,-0.07
AAS 200,AAS,200,"Bui, K.",3.43,-0.11
AAS 200,AAS,200,"Siglos, D.",3.33,-0.22
AAS 200,AAS,200,"Yan-Gonzalez, V.",3.30,-0.25
AAS 203,AAS,203,"Huang, N.",3.70,
AAS 211,AAS,211,"Sawada, E.",3.95,
AAS 215,AAS,215,"Kashani, M.",3.90,0.43
AAS 215,AAS,215,"Kwon, S.",3.89,0.42
AAS 215,AAS,215,"Park, D.",3.70,0.13
AAS 215,AAS,215,"Siglos, D.",3.50,-0.15
AAS 215,AAS,215,"Tabares, L.",3.15,-0.67
AAS 246,AAS,246,"Kwon, S.",3.88,
AAS 258,AAS,258,"Rana, J.",3.67,
AAS 287,AAS,287,"Kang, S.",3.81,
