course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
ANTH 101,ANTH,101,"Shaw, J.",3.89,0.37
ANTH 101,ANTH,101,"Naidoo, N.",3.74,0.23
ANTH 101,ANTH,101,"Wang, Y.",3.70,0.19
ANTH 101,ANTH,101,"Long, A.",3.68,0.16
ANTH 101,ANTH,101,"Vilchis, S.",3.58,0.07
ANTH 101,ANTH,101,"Taylor, R.",3.57,0.06
ANTH 101,ANTH,101,"Rusen, R.",3.54,0.03
ANTH 101,ANTH,101,"Jelinek, P.",3.50,-0.02
ANTH 101,ANTH,101,"Ritchison, B.",3.45,-0.07
ANTH 101,ANTH,101,"Reich, A.",3.29,-0.23
ANTH 102,ANTH,102,"Stumpf, R.",3.61,0.25
ANTH 102,ANTH,102,"Polk, J.",3.33,0.01
ANTH 102,ANTH,102,"Sgheiza, V.",3.17,-0.12
ANTH 102,ANTH,102,"Farley, M.",2.84,-0.40
ANTH 103,ANTH,103,"Abing, J.",3.85,0.16
ANTH 103,ANTH,103,"Naidoo, N.",3.84,0.15
ANTH 103,ANTH,103,"Escamilla, B.",3.82,0.12
ANTH 103,ANTH,103,"Patino, M.",3.81,0.10
ANTH 103,ANTH,103,"Maldonado, K.",3.80,0.09
ANTH 103,ANTH,103,"Goulding, E.",3.75,0.01
ANTH 103,ANTH,103,"Ackerman, A.",3.74,0.00
ANTH 103,ANTH,103,"Cox, N.",3.70,-0.06
ANTH 103,ANTH,103,"Erten, H.",3.70,-0.06
ANTH 103,ANTH,103,"Martin, J.",3.67,-0.10
ANTH 103,ANTH,103,"Fatima, U.",3.67,-0.11
ANTH 103,ANTH,103,"Houkes, A.",3.48,-0.40
ANTH 103,ANTH,103,"Coyle, J.",3.41,-0.50
ANTH 103,ANTH,103,"Rivera, B.",3.39,-0.53
ANTH 103,ANTH,103,"Doubles, C.",3.35,-0.60
ANTH 103,ANTH,103,"Shin, J.",3.27,-0.72
ANTH 104,ANTH,104,"Abing, J.",3.78,0.28
ANTH 104,ANTH,104,"Kramer, E.",3.39,-0.10
ANTH 104,ANTH,104,"Fatima, U.",3.33,-0.16
ANTH 105,ANTH,105,"Taylor, R.",3.68,0.16
ANTH 105,ANTH,105,"Naidoo, N.",3.65,0.12
ANTH 105,ANTH,105,"Wang, Y.",3.64,0.10
ANTH 105,ANTH,105,"Bishop, K.",3.45,-0.14
ANTH 106,ANTH,106,"Fennell, C.",3.66,0.14
ANTH 106,ANTH,106,"Arjona, J.",3.62,0.10
ANTH 106,ANTH,106,"Riggs, E.",3.38,-0.21
ANTH 143,ANTH,143,"Farley, M.",3.60,0.14
ANTH 143,ANTH,143,"Mazumdar, N.",3.53,0.07
ANTH 143,ANTH,143,"Jelinek, P.",3.39,-0.06
ANTH 143,ANTH,143,"Cupka Head, K.",3.19,-0.26
ANTH 160,ANTH,160,"Rosas, G.",3.52,
ANTH 182,ANTH,182,"Maldonado, K.",3.70,
ANTH 209,ANTH,209,"Patino, M.",3.79,0.47
ANTH 209,ANTH,209,"Silverman, H.",3.33,-0.03
ANTH 220,ANTH,220,"Verstraete, E.",3.65,
ANTH 221,ANTH,221,"Riggs, E.",3.13,
ANTH 230,ANTH,230,"Orta, A.",2.71,
ANTH 241,ANTH,241,"Konigsberg, L.",3.66,
ANTH 246,ANTH,246,"Antoniuk, C.",3.71,0.09
ANTH 246,ANTH,246,"Hughes, C.",3.67,0.04
ANTH 246,ANTH,246,"Farley, M.",3.59,-0.05
ANTH 246,ANTH,246,"Reich, A.",3.57,-0.07
ANTH 246,ANTH,246,"Jelinek, P.",3.55,-0.10
ANTH 246,ANTH,246,"Yim, A.",3.53,-0.11
ANTH 246,ANTH,246,"Houkes, A.",3.52,-0.13
ANTH 246,ANTH,246,"Malhi, R.",3.51,-0.14
ANTH 246,ANTH,246,"Sgheiza, V.",3.42,-0.25
ANTH 249,ANTH,249,"Sgheiza, V.",3.49,0.09
ANTH 249,ANTH,249,"Brinkworth, J.",3.31,-0.09
ANTH 259,ANTH,259,"Quinones-Rivera, M.",3.05,
ANTH 262,ANTH,262,"Erten, H.",3.81,
ANTH 268,ANTH,268,"Dominguez, V.",3.04,
ANTH 270,ANTH,270,"Escamilla, B.",3.60,0.06
ANTH 270,ANTH,270,"Shin, J.",3.49,-0.06
ANTH 278,ANTH,278,"Lucero, L.",3.75,
ANTH 279,ANTH,279,"Orta, A.",3.49,
ANTH 288,ANTH,288,"Lehman, D.",3.78,0.30
ANTH 288,ANTH,288,"Kastengren, S.",3.72,0.21
ANTH 288,ANTH,288,"Beck, D.",3.52,-0.10
ANTH 288,ANTH,288,"Rand, J.",3.36,-0.34
ANTH 346,ANTH,346,"Hughes, C.",3.79,
ANTH 347,ANTH,347,"Konigsberg, L.",3.28,
ANTH 350,ANTH,350,"Greenberg, J.",3.58,0.05
ANTH 350,ANTH,350,"Fok, S.",3.50,-0.06
ANTH 353,ANTH,353,"Kramer, E.",3.34,
ANTH 407,ANTH,407,"Brinkworth, J.",3.76,
ANTH 411,ANTH,411,"Maldonado, K.",3.88,
ANTH 441,ANTH,441,"David, L.",3.57,0.06
ANTH 441,ANTH,441,"Saboowala, S.",3.48,-0.06
ANTH 462,ANTH,462,"Frankenberg, S.",3.65,
ANTH 498,ANTH,498,"Hughes, C.",3.94,0.49
ANTH 498,ANTH,498,"Dominguez, V.",3.37,-0.07
ANTH 498,ANTH,498,"Jelinek, P.",3.18,-0.25
ANTH 498,ANTH,498,"Kramer, E.",3.07,-0.36
