course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
ASTR 100,ASTR,100,"Dunne, B.",3.04,0.04
ASTR 100,ASTR,100,"Winans, A.",2.99,0.00
ASTR 121,ASTR,121,"Winans, A.",3.34,
ASTR 122,ASTR,122,"Dunne, B.",3.28,0.04
ASTR 122,ASTR,122,"Shen, Y.",3.14,-0.10
ASTR 122,ASTR,122,"Barrow, K.",3.14,-0.11
ASTR 150,ASTR,150,"Looney, L.",3.76,0.26
ASTR 150,ASTR,150,"Dunne, B.",3.49,-0.03
ASTR 199,ASTR,199,"Looney, L.",3.25,
ASTR 210,ASTR,210,"Kemball, A.",3.18,0.14
ASTR 210,ASTR,210,"French, K.",3.04,0.03
ASTR 210,ASTR,210,"Young, L.",2.91,-0.07
ASTR 310,ASTR,310,"Young, L.",3.48,0.06
ASTR 310,ASTR,310,"Ricker, P.",3.26,-0.17
ASTR 330,ASTR,330,"Liu, X.",3.70,0.14
ASTR 330,ASTR,330,"Looney, L.",3.64,0.03
ASTR 330,ASTR,330,"Dunne, B.",3.56,-0.08
ASTR 350,ASTR,350,"Narayan, G.",3.76,0.14
ASTR 350,ASTR,350,"Shen, Y.",3.66,0.00
ASTR 350,ASTR,350,"Liu, X.",3.63,-0.03
ASTR 404,ASTR,404,"Fields, B.",3.63,0.23
ASTR 404,ASTR,404,"Ricker, P.",2.99,-0.42
ASTR 405,ASTR,405,"Dong, J.",3.75,0.57
ASTR 405,ASTR,405,"Wong, T.",3.17,0.00
ASTR 405,ASTR,405,"Gross, A.",3.12,-0.05
ASTR 405,ASTR,405,"Gammie, C.",3.03,-0.13
ASTR 406,ASTR,406,"French, K.",3.18,0.12
ASTR 406,ASTR,406,"Wong, T.",2.98,-0.06
ASTR 406,ASTR,406,"Shen, Y.",2.75,-0.28
ASTR 414,ASTR,414,"Shen, Y.",3.39,0.25
ASTR 414,ASTR,414,"Kemball, A.",2.98,-0.12
