course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
CHBE 101,CHBE,101,"Hammack, W.",3.21,
CHBE 221,CHBE,221,"Higdon, J.",3.07,0.25
CHBE 221,CHBE,221,"Yang, H.",2.87,0.04
CHBE 221,CHBE,221,"Rogers, S.",2.78,-0.06
CHBE 221,CHBE,221,"Hammack, W.",2.72,-0.12
CHBE 321,CHBE,321,"Kong, H.",3.27,0.30
CHBE 321,CHBE,321,"Kuenstler, A.",3.12,0.12
CHBE 321,CHBE,321,"Hammack, W.",2.86,-0.20
CHBE 321,CHBE,321,"Mironenko, A.",2.71,-0.38
CHBE 411,CHBE,411,"Peters, B.",3.16,0.12
CHBE 411,CHBE,411,"Diao, Y.",2.94,-0.12
CHBE 413,CHBE,413,"Shukla, D.",3.70,
CHBE 421,CHBE,421,"Diao, Y.",2.93,0.09
CHBE 421,CHBE,421,"Higdon, J.",2.92,0.08
CHBE 421,CHBE,421,"Harley, B.",2.85,0.01
CHBE 421,CHBE,421,"Guironnet, D.",2.67,-0.19
CHBE 422,CHBE,422,"Su, X.",3.00,0.14
CHBE 422,CHBE,422,"Schoetz, T.",2.87,0.01
CHBE 422,CHBE,422,"Guironnet, D.",2.83,-0.04
CHBE 422,CHBE,422,"Flaherty, D.",2.80,-0.07
CHBE 424,CHBE,424,"Peters, B.",3.33,0.50
CHBE 424,CHBE,424,"Kraft, M.",3.08,0.25
CHBE 424,CHBE,424,"Yang, H.",3.07,0.24
CHBE 424,CHBE,424,"Monye, U.",2.75,-0.09
CHBE 424,CHBE,424,"Zhao, H.",2.74,-0.10
CHBE 424,CHBE,424,"Flaherty, D.",2.71,-0.13
CHBE 430,CHBE,430,"Floess, J.",3.94,0.84
CHBE 430,CHBE,430,"Monye, U.",3.59,-0.10
CHBE 431,CHBE,431,"Mullen, R.",3.03,0.01
CHBE 431,CHBE,431,"Floess, J.",3.01,-0.01
CHBE 440,CHBE,440,"Floess, J.",3.28,0.15
CHBE 440,CHBE,440,"Shukla, D.",3.25,0.12
CHBE 440,CHBE,440,"Sing, C.",3.12,-0.04
CHBE 440,CHBE,440,"Rao, C.",3.09,-0.08
CHBE 453,CHBE,453,"Su, X.",3.27,0.12
CHBE 453,CHBE,453,"Schoetz, T.",2.97,-0.27
CHBE 455,CHBE,455,"Kuenstler, A.",3.58,
CHBE 458,CHBE,458,"Yang, H.",3.55,
CHBE 459,CHBE,459,"Rogers, S.",3.44,
CHBE 471,CHBE,471,"Kraft, M.",3.58,
CHBE 475,CHBE,475,"Harley, B.",3.77,
CHBE 476,CHBE,476,"Kong, H.",3.52,
CHBE 478,CHBE,478,"Zhao, H.",2.65,
CHBE 481,CHBE,481,"Floess, J.",3.60,
CHBE 494,CHBE,494,"Diao, Y.",3.18,
CHBE 494,CHBE,494,"Rao, C.",3.64,
CHBE 494,CHBE,494,"Kraft, M.",3.45,0.08
CHBE 494,CHBE,494,"Peters, B.",3.36,-0.09
CHBE 513,CHBE,513,"Higdon, J.",3.55,
CHBE 521,CHBE,521,"Rao, C.",3.69,0.21
CHBE 521,CHBE,521,"Schroeder, C.",3.56,-0.05
CHBE 521,CHBE,521,"Higdon, J.",3.55,-0.05
CHBE 523,CHBE,523,"Kong, H.",3.68,0.14
CHBE 523,CHBE,523,"Higdon, J.",3.44,-0.38
CHBE 525,CHBE,525,"Sing, C.",3.56,0.13
CHBE 525,CHBE,525,"Mironenko, A.",3.44,-0.12
CHBE 551,CHBE,551,"Peters, B.",3.58,
CHBE 571,CHBE,571,"Zhao, S.",3.83,
CHBE 594,CHBE,594,"Kong, H.",3.64,
