course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
CHEM 101,CHEM,101,"McCarren, E.",2.70,0.01
CHEM 101,CHEM,101,"Leveritt, J.",2.68,0.00
CHEM 101,CHEM,101,"Formigao Gameir, A.",2.48,-0.19
CHEM 102,CHEM,102,"Huang, T.",2.84,0.21
CHEM 102,CHEM,102,"Gunasekera, M.",2.65,0.01
CHEM 102,CHEM,102,"Hummel, T.",2.58,-0.07
CHEM 102,CHEM,102,"Marville, K.",2.51,-0.13
CHEM 102,CHEM,102,"Leveritt, J.",2.48,-0.17
CHEM 103,CHEM,103,"Hummel, T.",3.68,0.18
CHEM 103,CHEM,103,"Huang, T.",3.66,0.15
CHEM 103,CHEM,103,"Marville, K.",3.54,0.00
CHEM 103,CHEM,103,"Gunasekera, M.",3.48,-0.07
CHEM 103,CHEM,103,"Leveritt, J.",3.47,-0.08
CHEM 104,CHEM,104,"Andino Martinez, J.",2.66,0.01
CHEM 104,CHEM,104,"Ray, C.",2.65,0.00
CHEM 105,CHEM,105,"Hummel, T.",3.68,0.09
CHEM 105,CHEM,105,"Marville, K.",3.67,0.07
CHEM 105,CHEM,105,"Andino Martinez, J.",3.59,-0.04
CHEM 105,CHEM,105,"Leveritt, J.",3.56,-0.09
CHEM 105,CHEM,105,"Gunasekera, M.",3.54,-0.11
CHEM 108,CHEM,108,"Leveritt, J.",3.76,
CHEM 199,CHEM,199,"McCarren, E.",3.90,0.00
CHEM 199,CHEM,199,"Tasneem, J.",3.80,-0.20
CHEM 202,CHEM,202,"Decoste, D.",2.54,
CHEM 203,CHEM,203,"Andino Martinez, J.",3.39,
CHEM 204,CHEM,204,"Decoste, D.",2.69,
CHEM 205,CHEM,205,"Huang, T.",3.67,
CHEM 222,CHEM,222,"Shen, M.",3.57,
CHEM 223,CHEM,223,"Blystone, A.",3.54,0.30
CHEM 223,CHEM,223,"Olson, D.",2.95,-0.41
CHEM 232,CHEM,232,"Axelson, J.",2.86,0.01
CHEM 232,CHEM,232,"Kell, D.",2.50,-0.32
CHEM 232,CHEM,232,"Formigao Gameir, A.",2.34,-0.47
CHEM 233,CHEM,233,"Formigao Gameir, A.",3.93,0.19
CHEM 233,CHEM,233,"Trinh, B.",3.78,-0.16
CHEM 233,CHEM,233,"Kell, D.",3.60,-0.61
CHEM 236,CHEM,236,"Zimmerman, S.",3.08,0.32
CHEM 236,CHEM,236,"Mehta, A.",3.07,0.31
CHEM 236,CHEM,236,"Burke, M.",2.79,0.04
CHEM 236,CHEM,236,"White, M.",2.73,-0.01
CHEM 236,CHEM,236,"Chan, J.",2.42,-0.31
CHEM 237,CHEM,237,"White, M.",2.96,0.06
CHEM 237,CHEM,237,"Hergenrother, P.",2.81,-0.12
CHEM 237,CHEM,237,"Burke, M.",2.77,-0.17
CHEM 312,CHEM,312,"Gewirth, A.",3.18,0.22
CHEM 312,CHEM,312,"Manesis, A.",3.09,0.14
CHEM 312,CHEM,312,"Olshansky, L.",2.84,-0.07
CHEM 312,CHEM,312,"Snyder, B.",2.82,-0.09
CHEM 312,CHEM,312,"Fout, A.",2.77,-0.14
CHEM 315,CHEM,315,"Sweedler, J.",3.55,0.38
CHEM 315,CHEM,315,"Romanova, E.",3.50,0.32
CHEM 315,CHEM,315,"Han, H.",3.36,0.16
CHEM 315,CHEM,315,"Leckband, D.",3.17,-0.07
CHEM 315,CHEM,315,"Gewirth, A.",3.07,-0.19
CHEM 317,CHEM,317,"Fout, A.",3.71,0.34
CHEM 317,CHEM,317,"Girolami, G.",3.46,-0.02
CHEM 317,CHEM,317,"Fataftah, M.",3.30,-0.26
CHEM 332,CHEM,332,"Moore, J.",3.86,0.63
CHEM 332,CHEM,332,"Pillai, S.",3.44,0.22
CHEM 332,CHEM,332,"Koerner, M.",2.84,-0.36
CHEM 360,CHEM,360,"Huang, T.",3.49,
CHEM 420,CHEM,420,"Rodriguez Lopez, J.",3.86,0.22
CHEM 420,CHEM,420,"Gewirth, A.",3.69,-0.09
CHEM 420,CHEM,420,"Han, H.",3.14,-1.14
CHEM 436,CHEM,436,"Chan, J.",2.42,
CHEM 437,CHEM,437,"Denmark, S.",3.25,
CHEM 440,CHEM,440,"Woon, D.",3.55,0.38
CHEM 440,CHEM,440,"Landes, C.",3.42,0.25
CHEM 440,CHEM,440,"Gruebele, M.",3.35,0.17
CHEM 440,CHEM,440,"Tajkhorshid, E.",1.97,-1.35
CHEM 442,CHEM,442,"Pogorelov, T.",3.70,0.30
