course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
CLCV 100,CLCV,100,"Reymann, E.",2.71,0.23
CLCV 100,CLCV,100,"Warnement, S.",2.70,0.22
CLCV 100,CLCV,100,"Markaki, A.",2.67,0.20
CLCV 100,CLCV,100,"Furner, J.",2.67,0.20
CLCV 100,CLCV,100,"Pyrgali, M.",2.52,0.10
CLCV 100,CLCV,100,"Jennings, E.",2.39,0.01
CLCV 100,CLCV,100,"Augoustakis, A.",1.21,-0.80
CLCV 102,CLCV,102,"Goebel, C.",3.92,0.23
CLCV 102,CLCV,102,"Reymann, E.",3.92,0.23
CLCV 102,CLCV,102,"Furner, J.",3.87,0.15
CLCV 102,CLCV,102,"Riedel, L.",3.77,0.00
CLCV 102,CLCV,102,"Warnement, S.",3.75,-0.03
CLCV 102,CLCV,102,"Jennings, E.",3.64,-0.19
CLCV 102,CLCV,102,"Markaki, A.",3.61,-0.24
CLCV 111,CLCV,111,"Solomon, J.",3.50,0.12
CLCV 111,CLCV,111,"Traill, A.",2.86,-0.52
CLCV 114,CLCV,114,"Solomon, J.",3.70,0.41
CLCV 114,CLCV,114,"Garcia-Molina, E.",3.56,0.24
CLCV 114,CLCV,114,"Leon Ruiz, D.",3.21,-0.16
CLCV 114,CLCV,114,"Reno, J.",2.69,-0.74
CLCV 114,CLCV,114,"Sanders, K.",3.03,
CLCV 115,CLCV,115,"Stanull, J.",3.91,0.39
CLCV 115,CLCV,115,"Hay, B.",3.80,0.26
CLCV 115,CLCV,115,"Merkley, K.",3.79,0.26
CLCV 115,CLCV,115,"Maltby, A.",3.79,0.25
CLCV 115,CLCV,115,"McQueen, K.",3.77,0.23
CLCV 115,CLCV,115,"Solomon, J.",3.76,0.22
CLCV 115,CLCV,115,"Martinez, J.",3.73,0.19
CLCV 115,CLCV,115,"Karnes, V.",3.71,0.17
CLCV 115,CLCV,115,"Furner, J.",3.71,0.16
CLCV 115,CLCV,115,"Vandervelde, A.",3.69,0.15
CLCV 115,CLCV,115,"Scheele, G.",3.69,0.14
CLCV 115,CLCV,115,"Baronovic, J.",3.68,0.13
CLCV 115,CLCV,115,"White, J.",3.60,0.05
CLCV 115,CLCV,115,"Boyd, H.",3.59,0.03
CLCV 115,CLCV,115,"Riedel, L.",3.58,0.02
CLCV 115,CLCV,115,"Rudman, N.",3.58,0.02
