course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
CMN 101,CMN,101,"Rodrigues Gomes, L.",3.84,0.41
CMN 101,CMN,101,"Hall, S.",3.81,0.38
CMN 101,CMN,101,"Rollins, D.",3.80,0.37
CMN 101,CMN,101,"Caryl, Z.",3.75,0.31
CMN 101,CMN,101,"Gailey, B.",3.75,0.30
CMN 101,CMN,101,"Alberti, G.",3.74,0.29
CMN 101,CMN,101,"Choudhry, B.",3.74,0.29
CMN 101,CMN,101,"Rodriguez, M.",3.72,0.27
CMN 101,CMN,101,"Salas, M.",3.72,0.27
CMN 101,CMN,101,"Kierspe, K.",3.70,0.24
CMN 101,CMN,101,"Herrera, A.",3.70,0.24
CMN 101,CMN,101,"Lahmon, T.",3.67,0.21
CMN 101,CMN,101,"Knight, A.",3.66,0.19
CMN 101,CMN,101,"Allegretti, A.",3.65,0.18
CMN 101,CMN,101,"Black, D.",3.64,0.17
CMN 101,CMN,101,"Boelkow, M.",3.64,0.17
CMN 101,CMN,101,"Okegbe, S.",3.62,0.15
CMN 101,CMN,101,"Humphreys, L.",3.62,0.15
CMN 101,CMN,101,"Bishop, M.",3.61,0.13
CMN 101,CMN,101,"Unruh, M.",3.60,0.13
CMN 101,CMN,101,"Fung, K.",3.60,0.13
CMN 101,CMN,101,"Shields, L.",3.59,0.11
CMN 101,CMN,101,"Mueller, K.",3.58,0.10
CMN 101,CMN,101,"Armour, L.",3.58,0.10
CMN 101,CMN,101,"Toler, C.",3.54,0.06
CMN 101,CMN,101,"Hartley, J.",3.54,0.05
CMN 101,CMN,101,"Yoakam, L.",3.53,0.03
CMN 101,CMN,101,"Ho, F.",3.52,0.03
CMN 101,CMN,101,"St John, J.",3.52,0.03
CMN 101,CMN,101,"Johnson, L.",3.51,0.01
CMN 101,CMN,101,"Gallo, F.",3.47,-0.03
CMN 101,CMN,101,"McGowan, K.",3.46,-0.04
CMN 101,CMN,101,"Smith, T.",3.46,-0.05
CMN 101,CMN,101,"Yisrael, E.",3.46,-0.05
CMN 101,CMN,101,"Kwilecki, S.",3.44,-0.06
CMN 101,CMN,101,"Caddell, M.",3.44,-0.07
CMN 101,CMN,101,"Livingston, N.",3.44,-0.07
CMN 101,CMN,101,"Yan, J.",3.43,-0.08
CMN 101,CMN,101,"Bunch, C.",3.42,-0.10
CMN 101,CMN,101,"Paros, B.",3.41,-0.10
CMN 101,CMN,101,"White, N.",3.40,-0.11
CMN 101,CMN,101,"McGowan, A.",3.40,-0.12
CMN 101,CMN,101,"Brewster, J.",3.38,-0.14
CMN 101,CMN,101,"Mulvaney, A.",3.35,-0.17
CMN 101,CMN,101,"Stewart, N.",3.34,-0.19
CMN 101,CMN,101,"Rohlfes, A.",3.31,-0.22
CMN 101,CMN,101,"Persad-Maharaj, T.",3.30,-0.23
CMN 101,CMN,101,"Niemeyer, F.",3.30,-0.23
CMN 101,CMN,101,"Da Silva, O.",3.29,-0.25
CMN 101,CMN,101,"Balester, N.",3.28,-0.27
CMN 101,CMN,101,"Morrow, E.",3.27,-0.27
CMN 101,CMN,101,"Nixon, S.",3.26,-0.28
CMN 101,CMN,101,"French, C.",3.23,-0.32
CMN 101,CMN,101,"Booth, M.",3.20,-0.36
CMN 101,CMN,101,"Cox, D.",3.20,-0.36
CMN 101,CMN,101,"Faussane, E.",3.12,-0.45
CMN 101,CMN,101,"Gerlikovski, E.",3.02,-0.57
CMN 101,CMN,101,"Farnworth, M.",2.90,-0.72
CMN 101,CMN,101,"Fujimoto, E.",2.87,-0.75
CMN 101,CMN,101,"Tchamdjoci, M.",2.67,-0.99
CMN 102,CMN,102,"Pool, K.",3.71,0.58
CMN 102,CMN,102,"Kolson, E.",3.46,0.34
CMN 102,CMN,102,"Morrow, E.",3.21,0.12
CMN 102,CMN,102,"G Son, G.",3.11,0.02
CMN 102,CMN,102,"Quick, B.",3.06,-0.02
CMN 111,CMN,111,"Zhang, K.",3.91,0.29
CMN 111,CMN,111,"Sanders, J.",3.80,0.16
CMN 111,CMN,111,"Klajbor-Smith, M.",3.79,0.14
CMN 111,CMN,111,"Edor, M.",3.77,0.12
CMN 111,CMN,111,"Rahman, M.",3.76,0.10
CMN 111,CMN,111,"Murphy, K.",3.75,0.09
CMN 111,CMN,111,"Mendelson, E.",3.74,0.08
CMN 111,CMN,111,"Asare Kwakye, I.",3.74,0.07
CMN 111,CMN,111,"Wright, A.",3.68,0.00
CMN 111,CMN,111,"Shields, L.",3.67,-0.02
CMN 111,CMN,111,"Murphy, M.",3.66,-0.04
CMN 111,CMN,111,"De Oliveira Mir, R.",3.60,-0.10
CMN 111,CMN,111,"Han, J.",3.59,-0.12
CMN 111,CMN,111,"Kincer, T.",3.57,-0.14
CMN 111,CMN,111,"Macswain, C.",3.55,-0.18
CMN 111,CMN,111,"G Son, G.",3.47,-0.28
CMN 111,CMN,111,"Kolson, E.",3.15,-0.69
CMN 112,CMN,112,"Sanders, J.",3.92,0.26
CMN 112,CMN,112,"Han, J.",3.91,0.24
CMN 112,CMN,112,"De Oliveira Mir, R.",3.87,0.18
CMN 112,CMN,112,"Mai, S.",3.83,0.11
CMN 112,CMN,112,"Murphy, M.",3.82,0.09
CMN 112,CMN,112,"Edor, M.",3.78,0.01
CMN 112,CMN,112,"Kolson, E.",3.78,0.01
CMN 112,CMN,112,"Rahman, M.",3.77,0.01
CMN 112,CMN,112,"Wright, A.",3.73,-0.07
CMN 112,CMN,112,"Murphy, K.",3.71,-0.11
CMN 112,CMN,112,"Freeman, J.",3.61,-0.29
CMN 112,CMN,112,"McGuire, M.",3.44,-0.59
CMN 210,CMN,210,"Moist, J.",3.72,0.40
CMN 210,CMN,210,"Farrar, C.",3.33,0.02
CMN 210,CMN,210,"O'Gorman, T.",3.25,-0.06
CMN 211,CMN,211,"Cunningham, L.",3.48,0.05
CMN 211,CMN,211,"Bunch, C.",3.45,0.02
CMN 211,CMN,211,"Harris, J.",3.44,0.00
CMN 211,CMN,211,"Hannan, S.",2.85,-0.71
CMN 212,CMN,212,"Kim, M.",3.38,0.21
CMN 212,CMN,212,"Okegbe, S.",3.20,0.02
CMN 212,CMN,212,"Johnson, L.",3.13,-0.04
CMN 212,CMN,212,"Ruge-Jones, L.",2.92,-0.25
CMN 212,CMN,212,"Kimnach, R.",2.51,-0.67
CMN 213,CMN,213,"Macswain, C.",3.51,0.05
CMN 213,CMN,213,"Barley, W.",3.33,-0.18
CMN 214,CMN,214,"Fields, V.",3.43,0.25
CMN 214,CMN,214,"Wright-Dixon, T.",3.08,-0.11
CMN 215,CMN,215,"Pool, K.",3.53,
CMN 220,CMN,220,"Klajbor-Smith, M.",3.95,0.34
CMN 220,CMN,220,"Rodriguez, E.",3.86,0.19
CMN 220,CMN,220,"Klajbor, M.",3.70,-0.04
CMN 220,CMN,220,"Golding, W.",3.70,-0.04
CMN 220,CMN,220,"Tscholl, G.",3.68,-0.07
CMN 230,CMN,230,"Farnworth, M.",3.37,0.01
CMN 230,CMN,230,"Guntzviller, L.",3.37,0.01
CMN 230,CMN,230,"Kelpinski, L.",3.21,-0.15
CMN 232,CMN,232,"Eberline, A.",3.62,0.10
CMN 232,CMN,232,"White, N.",3.53,0.00
CMN 232,CMN,232,"Koven, M.",3.51,-0.03
CMN 232,CMN,232,"Caddell, M.",3.44,-0.11
CMN 232,CMN,232,"Wilson, S.",3.33,-0.25
CMN 250,CMN,250,"Huff, B.",3.88,0.32
CMN 250,CMN,250,"Cisneros, J.",3.68,0.04
CMN 250,CMN,250,"Khanam, S.",3.54,-0.16
CMN 250,CMN,250,"Kolson, E.",3.52,-0.18
CMN 260,CMN,260,"Lahmon, T.",3.68,0.55
CMN 260,CMN,260,"Babu, S.",3.36,0.22
CMN 260,CMN,260,"Pool, K.",3.33,0.18
CMN 260,CMN,260,"Chung, M.",3.19,0.03
CMN 260,CMN,260,"Hartman, D.",3.05,-0.11
CMN 260,CMN,260,"Pulido, M.",3.02,-0.14
CMN 260,CMN,260,"Liao, D.",2.93,-0.23
CMN 260,CMN,260,"Kelpinski, L.",2.48,-0.70
CMN 260,CMN,260,"Wilson, S.",2.38,-0.81
CMN 274,CMN,274,"Cisneros, J.",3.16,
CMN 277,CMN,277,"Coles, S.",3.21,0.13
CMN 277,CMN,277,"Tolbert, A.",3.10,0.03
CMN 277,CMN,277,"Dixon, T.",2.93,-0.12
CMN 280,CMN,280,"Yang, J.",3.34,0.20
CMN 280,CMN,280,"Jackson, S.",2.93,-0.28
CMN 304,CMN,304,"Cunningham, L.",3.83,
CMN 312,CMN,312,"Miles, J.",3.72,0.41
CMN 312,CMN,312,"Barley, W.",3.43,-0.18
CMN 314,CMN,314,"Kim, M.",3.48,
CMN 319,CMN,319,"Bigman-Galimore, C.",3.24,
CMN 321,CMN,321,"Murphy, J.",2.74,
CMN 323,CMN,323,"Tscholl, G.",3.69,0.35
CMN 323,CMN,323,"Melendez, T.",3.52,0.18
CMN 323,CMN,323,"Jacobs, C.",3.38,0.03
CMN 323,CMN,323,"Murphy, J.",3.03,-0.33
CMN 326,CMN,326,"Dixon, T.",3.48,0.37
CMN 326,CMN,326,"Schneider, A.",3.35,0.24
CMN 326,CMN,326,"Hartman, D.",3.13,0.01
CMN 326,CMN,326,"Tolbert, A.",3.08,-0.04
CMN 326,CMN,326,"Morrow, E.",2.92,-0.20
CMN 326,CMN,326,"Fujimoto, E.",2.81,-0.31
CMN 327,CMN,327,"Van Duyn, E.",2.98,
CMN 328,CMN,328,"Van Duyn, E.",3.31,
CMN 336,CMN,336,"Ramey, M.",3.69,0.14
CMN 336,CMN,336,"Yan, J.",2.58,-1.21
CMN 336,CMN,336,"Ramey, M.",3.63,0.15
CMN 336,CMN,336,"Liao, D.",3.21,-0.33
CMN 336,CMN,336,"Moga, J.",2.99,-0.58
CMN 336,CMN,336,"Eberline, A.",2.73,-0.87
CMN 336,CMN,336,"Pulido, M.",2.44,-1.19
