course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
CS 100,CS,100,"Shaffer, E.",3.98,0.15
CS 100,CS,100,"Fleck, M.",3.90,-0.06
CS 100,CS,100,"Gunter, E.",3.90,
CS 101,CS,101,"Davis, N.",3.67,0.08
CS 101,CS,101,"Tahboub, R.",3.67,0.08
CS 101,CS,101,"Butler, L.",3.56,-0.05
CS 101,CS,101,"Beckman, M.",3.54,-0.08
CS 101,CS,101,"Fowler, M.",3.53,-0.09
CS 105,CS,105,"Fowler, M.",3.38,0.24
CS 105,CS,105,"Zilles, C.",3.09,-0.03
CS 105,CS,105,"Lewis, C.",3.07,-0.05
CS 105,CS,105,"Smith, D.",2.71,-0.39
CS 124,CS,124,"Challen, G.",3.59,
CS 125,CS,125,"Challen, G.",3.37,
CS 126,CS,126,"Woodley, M.",3.60,
CS 128,CS,128,"Schatz, J.",3.65,0.07
CS 128,CS,128,"Nowak, M.",3.58,0.00
CS 173,CS,173,"Ludden, I.",3.59,0.45
CS 173,CS,173,"Chen, H.",3.31,0.16
CS 173,CS,173,"Lin, P.",3.27,0.12
CS 173,CS,173,"Fleck, M.",3.21,0.06
CS 173,CS,173,"Evans, G.",3.20,0.05
CS 173,CS,173,"Balepur, N.",3.18,0.03
CS 173,CS,173,"Delgosha, P.",3.16,0.01
CS 173,CS,173,"Zhou, Q.",3.13,-0.02
CS 173,CS,173,"Cosman, B.",3.11,-0.04
CS 173,CS,173,"Solomon, B.",3.00,-0.16
CS 173,CS,173,"Parthasarathy, M.",2.77,-0.39
CS 173,CS,173,"Parthasarathy, M.",3.51,
CS 196,CS,196,"Challen, G.",3.94,
CS 196,CS,196,"Challen, G.",3.88,
CS 199,CS,199,"Asplund, J.",3.91,0.01
CS 199,CS,199,"Lewis, C.",3.90,-0.01
CS 199,CS,199,"Schatz, J.",3.89,
CS 199,CS,199,"Nowak, M.",3.62,
CS 199,CS,199,"Nowak, M.",3.35,
CS 210,CS,210,"Cunningham, R.",3.63,
CS 211,CS,211,"Cunningham, R.",3.72,
CS 222,CS,222,"Woodley, M.",3.88,
CS 225,CS,225,"Kindratenko, V.",3.50,0.06
CS 225,CS,225,"Solomon, B.",3.46,0.01
CS 225,CS,225,"Evans, G.",3.45,0.00
CS 225,CS,225,"Koe, K.",3.02,-0.44
CS 233,CS,233,"Zilles, C.",3.64,0.00
CS 233,CS,233,"Herman, G.",3.64,0.00
CS 233,CS,233,"Wong, R.",3.80,
CS 242,CS,242,"Woodley, M.",3.41,
CS 277,CS,277,"Solomon, B.",3.60,
CS 296,CS,296,"Solomon, B.",3.78,
CS 307,CS,307,"Dalpiaz, D.",3.68,
CS 340,CS,340,"Evans, G.",3.54,0.10
CS 340,CS,340,"Tychonievich, L.",3.51,0.07
CS 340,CS,340,"Schatz, J.",3.33,-0.12
CS 340,CS,340,"Fagen-Ulmschnei, W.",3.33,-0.12
CS 341,CS,341,"Angrave, L.",3.68,
CS 357,CS,357,"Silva, M.",3.49,
CS 361,CS,361,"Liu, H.",3.51,
CS 374,CS,374,"Abraham, I.",3.22,0.17
CS 374,CS,374,"Kani, N.",3.20,0.15
CS 374,CS,374,"Umrawal, A.",3.18,0.13
CS 374,CS,374,"Har-Peled, S.",3.06,0.00
CS 374,CS,374,"Erickson, J.",3.01,-0.05
CS 374,CS,374,"Mehta, R.",2.99,-0.07
CS 374,CS,374,"Chekuri, C.",2.92,-0.16
CS 374,CS,374,"Chan, T.",2.89,-0.19
CS 400,CS,400,"Williams, T.",3.51,
CS 401,CS,401,"Gertner, Y.",3.80,
CS 402,CS,402,"Williams, T.",3.71,
CS 403,CS,403,"Gertner, Y.",3.53,
CS 409,CS,409,"Kumar, R.",3.59,
CS 410,CS,410,"Robles Granda, P.",3.91,0.06
CS 410,CS,410,"Zhai, C.",3.88,-0.03
CS 411,CS,411,"Chang, K.",3.83,0.12
CS 411,CS,411,"Park, Y.",3.78,0.04
CS 411,CS,411,"Alawini, A.",3.74,-0.02
CS 411,CS,411,"Kang, D.",3.38,-0.63
CS 412,CS,412,"Tahboub, R.",3.68,0.17
CS 412,CS,412,"Han, J.",3.56,0.02
CS 412,CS,412,"Banerjee, A.",3.54,-0.01
CS 412,CS,412,"Tong, H.",3.32,-0.29
CS 415,CS,415,"Shaffer, E.",3.76,
CS 416,CS,416,"Hart, J.",3.83,
CS 418,CS,418,"Hart, J.",3.59,0.18
