course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
CW 100,CW,100,"Nyikos, D.",3.96,0.39
CW 100,CW,100,"Price, J.",3.82,0.22
CW 100,CW,100,"Martin, C.",3.81,0.21
CW 100,CW,100,"VanCalbergh, M.",3.78,0.18
CW 100,CW,100,"Escamilla, I.",3.67,0.05
CW 100,CW,100,"Canipe, J.",3.64,0.01
CW 100,CW,100,"Bales, A.",3.63,0.01
CW 100,CW,100,"Dudek, J.",3.50,-0.15
CW 100,CW,100,"Emmert, K.",3.43,-0.23
CW 100,CW,100,"Hays, M.",3.19,-0.52
CW 100,CW,100,"McVicker, Z.",3.15,-0.57
CW 100,CW,100,"Sanders, T.",2.70,-1.11
CW 200,CW,200,"Fash, M.",3.77,0.15
CW 200,CW,200,"Latham, C.",3.77,0.15
CW 200,CW,200,"Sannes, N.",3.76,0.14
CW 200,CW,200,"Morrow, W.",3.26,-0.44
CW 243,CW,243,"Dudek, J.",3.52,0.06
CW 243,CW,243,"McVicker, Z.",3.35,-0.13
