course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
CWL 114,CWL,114,"Tierney, R.",3.61,0.12
CWL 114,CWL,114,"Hassan, W.",3.57,0.08
CWL 114,CWL,114,"Calderwood, E.",3.24,-0.28
CWL 189,CWL,189,"Calderwood, E.",3.70,
CWL 204,CWL,204,"Casey, M.",2.64,
CWL 207,CWL,207,"Mehta, R.",3.93,
CWL 211,CWL,211,"Maggid Alon, L.",2.90,
CWL 241,CWL,241,"Casey, M.",3.86,0.38
CWL 241,CWL,241,"Taavon, M.",3.82,0.33
CWL 241,CWL,241,"Meshkani, Z.",3.66,0.14
CWL 241,CWL,241,"Ozgul, Z.",3.65,0.13
CWL 241,CWL,241,"Fam, M.",3.61,0.07
CWL 241,CWL,241,"De Paula Cardos, C.",3.60,0.06
CWL 241,CWL,241,"Ghosh, S.",3.58,0.04
CWL 241,CWL,241,"Tedoradze, M.",3.43,-0.14
CWL 241,CWL,241,"Isik, E.",3.32,-0.28
CWL 241,CWL,241,"McDowell, S.",3.17,-0.46
CWL 242,CWL,242,"Grossman, R.",3.60,0.19
CWL 242,CWL,242,"Gasyna, G.",3.50,0.09
CWL 242,CWL,242,"Chitwood, S.",3.32,-0.07
CWL 242,CWL,242,"Barnard, J.",3.29,-0.10
CWL 242,CWL,242,"Francisco, M.",3.21,-0.18
CWL 320,CWL,320,"Harris, R.",2.73,
CWL 320,CWL,320,"Grossman, R.",3.42,0.48
CWL 320,CWL,320,"Harris, R.",2.59,-0.32
