course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
EALC 130,EALC,130,"Huo, R.",3.85,0.13
EALC 130,EALC,130,"Su, Y.",3.76,-0.07
EALC 207,EALC,207,"Wang, Y.",3.68,
EALC 208,EALC,208,"Chen, J.",3.71,
EALC 212,EALC,212,"Gunji, N.",2.94,
EALC 222,EALC,222,"Pu, Y.",3.81,0.56
EALC 222,EALC,222,"Chow, K.",2.74,-0.73
EALC 225,EALC,225,"Callahan, C.",3.30,
EALC 230,EALC,230,"Ren, X.",3.91,0.30
EALC 230,EALC,230,"Pu, Y.",3.90,0.29
EALC 230,EALC,230,"Jagiello, Z.",3.89,0.28
EALC 230,EALC,230,"Li, Y.",3.88,0.26
EALC 230,EALC,230,"Huo, R.",3.86,0.22
EALC 230,EALC,230,"Persiani, G.",3.76,0.07
EALC 230,EALC,230,"Jiang, Y.",3.71,-0.02
EALC 230,EALC,230,"Yang, W.",3.69,-0.05
EALC 230,EALC,230,"Zhang, S.",3.68,-0.07
EALC 230,EALC,230,"Chen, J.",3.66,-0.09
EALC 230,EALC,230,"Song, M.",3.58,-0.23
EALC 240,EALC,240,"Pu, Y.",3.93,
EALC 250,EALC,250,"Lu, Y.",3.35,0.28
EALC 250,EALC,250,"Neuburger, L.",3.29,0.23
EALC 250,EALC,250,"Ren, X.",3.13,0.10
EALC 250,EALC,250,"Haight, N.",2.99,-0.02
EALC 250,EALC,250,"Li, Y.",2.74,-0.23
EALC 250,EALC,250,"Zhang, S.",2.70,-0.26
EALC 275,EALC,275,"Bian, R.",3.82,0.22
EALC 275,EALC,275,"Wang, Y.",3.73,0.09
EALC 275,EALC,275,"Zhang, S.",3.67,-0.01
EALC 275,EALC,275,"Zeng, H.",3.50,-0.25
EALC 280,EALC,280,"Martin, J.",3.59,
EALC 285,EALC,285,"Song, M.",3.70,
EALC 305,EALC,305,"Persiani, G.",3.70,
EALC 306,EALC,306,"Arkenstone, Q.",3.74,
EALC 320,EALC,320,"Gunji, N.",3.03,
EALC 327,EALC,327,"Wilson, R.",3.88,
EALC 365,EALC,365,"Song, M.",3.63,
EALC 367,EALC,367,"Lee, A.",3.85,
