course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
ECON 102,ECON,102,"Vazquez, J.",3.84,0.54
ECON 102,ECON,102,"Gillis, M.",3.68,0.37
ECON 102,ECON,102,"Molina Gonzalez, C.",3.61,0.29
ECON 102,ECON,102,"Chen, Y.",3.52,0.19
ECON 102,ECON,102,"DiIanni, I.",3.50,0.17
ECON 102,ECON,102,"Constantinou, E.",3.50,0.16
ECON 102,ECON,102,"Shaat, D.",3.49,0.15
ECON 102,ECON,102,"Oh, N.",3.49,0.15
ECON 102,ECON,102,"Ma, R.",3.46,0.12
ECON 102,ECON,102,"Mockus, D.",3.44,0.10
ECON 102,ECON,102,"Dee, E.",3.42,0.08
ECON 102,ECON,102,"Wang, X.",3.40,0.05
ECON 102,ECON,102,"Chen, Z.",3.40,0.05
ECON 102,ECON,102,"Cueva Chavez, R.",3.39,0.04
ECON 102,ECON,102,"Velentzas, T.",3.38,0.04
ECON 102,ECON,102,"Liu, Z.",3.36,0.01
ECON 102,ECON,102,"Bao, D.",3.35,0.00
ECON 102,ECON,102,"Liu, X.",3.34,-0.01
ECON 102,ECON,102,"Gao, K.",3.33,-0.02
ECON 102,ECON,102,"Hardiman, A.",3.33,-0.02
ECON 102,ECON,102,"Mun, S.",3.32,-0.03
ECON 102,ECON,102,"Mocanu, T.",3.31,-0.05
ECON 102,ECON,102,"Stechuk, S.",3.30,-0.06
ECON 102,ECON,102,"Han, Y.",3.28,-0.08
ECON 102,ECON,102,"Wang, S.",3.28,-0.08
ECON 102,ECON,102,"Buckley, B.",3.27,-0.08
ECON 102,ECON,102,"Yi, M.",3.27,-0.09
ECON 102,ECON,102,"Sun, X.",3.26,-0.09
ECON 102,ECON,102,"Ambardar, S.",3.24,-0.12
ECON 102,ECON,102,"Tang, C.",3.21,-0.15
ECON 102,ECON,102,"Jung, Y.",3.14,-0.23
ECON 102,ECON,102,"Buller, D.",3.13,-0.24
ECON 102,ECON,102,"Kim, S.",3.13,-0.24
ECON 102,ECON,102,"Benete Reis De, S.",3.12,-0.25
