course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
ENGL 101,ENGL,101,"Anthony, C.",3.35,
ENGL 103,ENGL,103,"Cheslow, E.",3.78,0.53
ENGL 103,ENGL,103,"Dickerson, C.",2.90,-0.10
ENGL 103,ENGL,103,"Oh, R.",2.30,-0.53
ENGL 104,ENGL,104,"Chatterjee, D.",3.87,0.35
ENGL 104,ENGL,104,"Kimutis, P.",3.86,0.34
ENGL 104,ENGL,104,"Mridha, A.",3.86,0.34
ENGL 104,ENGL,104,"Moore, T.",3.86,0.33
ENGL 104,ENGL,104,"Basu, S.",3.79,0.24
ENGL 104,ENGL,104,"Rivera Lopez, P.",3.78,0.23
ENGL 104,ENGL,104,"Shetina, M.",3.75,0.20
ENGL 104,ENGL,104,"Johnson, J.",3.75,0.20
ENGL 104,ENGL,104,"Ebbay, M.",3.73,0.18
ENGL 104,ENGL,104,"Claborn, J.",3.72,0.16
ENGL 104,ENGL,104,"Castaneda, C.",3.70,0.14
ENGL 104,ENGL,104,"Pfister, J.",3.63,0.05
ENGL 104,ENGL,104,"Demirel, D.",3.60,0.02
ENGL 104,ENGL,104,"Guruparan, A.",3.60,0.01
ENGL 104,ENGL,104,"Basu, A.",3.59,-0.01
ENGL 104,ENGL,104,"Hansen, J.",3.58,-0.02
ENGL 104,ENGL,104,"Johnson, A.",3.55,-0.06
ENGL 104,ENGL,104,"Coby, L.",3.54,-0.07
ENGL 104,ENGL,104,"Capino, J.",3.51,-0.10
ENGL 104,ENGL,104,"Morris, D.",3.48,-0.15
ENGL 104,ENGL,104,"Sherwood, R.",3.45,-0.18
ENGL 104,ENGL,104,"Lafond, B.",3.38,-0.27
ENGL 104,ENGL,104,"DeVries, B.",3.34,-0.31
ENGL 104,ENGL,104,"Slobodnik, S.",2.94,-0.82
ENGL 109,ENGL,109,"Lee, J.",3.94,0.33
ENGL 109,ENGL,109,"Ellis, H.",3.90,0.27
ENGL 109,ENGL,109,"Topaum, C.",3.86,0.22
ENGL 109,ENGL,109,"Crosby, T.",3.86,0.21
ENGL 109,ENGL,109,"Dickerson, C.",3.84,0.19
ENGL 109,ENGL,109,"Larkin, M.",3.82,0.16
ENGL 109,ENGL,109,"Landes, B.",3.81,0.15
ENGL 109,ENGL,109,"McLeer, H.",3.78,0.11
ENGL 109,ENGL,109,"Smith, D.",3.77,0.10
ENGL 109,ENGL,109,"Kim, Y.",3.75,0.07
ENGL 109,ENGL,109,"Freudenburg, A.",3.75,0.07
ENGL 109,ENGL,109,"Coby, L.",3.74,0.06
ENGL 109,ENGL,109,"Chatterjee, D.",3.70,0.00
