course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
GEOL 100,GEOL,100,"Conroy, J.",3.43,0.32
GEOL 100,GEOL,100,"Cole, T.",2.97,-0.04
GEOL 104,GEOL,104,"Pettijohn, J.",3.66,0.07
GEOL 104,GEOL,104,"Nguyen, T.",3.38,-0.33
GEOL 107,GEOL,107,"Weaver, J.",3.60,0.33
GEOL 107,GEOL,107,"Cao, Z.",3.41,0.13
GEOL 107,GEOL,107,"Veldhuizen, H.",3.30,0.02
GEOL 107,GEOL,107,"Long, A.",3.22,-0.07
GEOL 111,GEOL,111,"Cole, T.",2.81,0.03
GEOL 111,GEOL,111,"Christie, M.",2.53,-0.17
GEOL 111,GEOL,111,"Meghani, N.",2.33,-0.31
GEOL 115,GEOL,115,"Christie, M.",3.83,
GEOL 117,GEOL,117,"Pettijohn, J.",3.35,0.04
GEOL 117,GEOL,117,"Buckley, E.",3.15,-0.15
GEOL 118,GEOL,118,"Maguire, R.",3.47,0.16
GEOL 118,GEOL,118,"Johnson, T.",3.29,-0.05
GEOL 118,GEOL,118,"Austin, S.",3.27,-0.07
GEOL 118,GEOL,118,"Altaner, S.",3.25,-0.09
GEOL 118,GEOL,118,"Christie, M.",3.23,-0.11
GEOL 143,GEOL,143,"Huffaker, J.",3.65,0.19
GEOL 143,GEOL,143,"Chen, M.",3.52,0.06
GEOL 143,GEOL,143,"Lusk, S.",3.51,0.05
GEOL 143,GEOL,143,"Scott, C.",3.40,-0.06
GEOL 143,GEOL,143,"Stiegman, M.",2.99,-0.47
GEOL 350,GEOL,350,"Gregg, P.",3.35,
GEOL 411,GEOL,411,"Guenthner, W.",3.63,
GEOL 432,GEOL,432,"Stewart, M.",2.43,
GEOL 440,GEOL,440,"Christie, M.",3.61,0.30
GEOL 440,GEOL,440,"Best, J.",3.04,-0.29
GEOL 454,GEOL,454,"Barklage, M.",3.37,
GEOL 470,GEOL,470,"Cole, T.",2.91,
GEOL 484,GEOL,484,"Conroy, J.",3.51,
