course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
GER 101,GER,101,"Fiorini, E.",3.38,
GER 102,GER,102,"Schneeberger, A.",3.40,
GER 251,GER,251,"Johnson, L.",3.76,0.32
GER 251,GER,251,"Horn, R.",3.75,0.31
GER 251,GER,251,"Guo, L.",3.73,0.28
GER 251,GER,251,"Jin, P.",3.66,0.21
GER 251,GER,251,"Cornell, M.",3.62,0.16
GER 251,GER,251,"Schneeberger, A.",3.58,0.12
GER 251,GER,251,"Cohen, J.",3.37,-0.11
GER 251,GER,251,"Jenkins, R.",3.20,-0.29
GER 251,GER,251,"Agu, B.",2.62,-0.92
GER 261,GER,261,"Wade, M.",3.55,
GER 261,GER,261,"Hunt, A.",3.97,
GER 270,GER,270,"Niekerk, C.",3.65,
