course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
GGIS 101,GGIS,101,"Meem, T.",3.87,0.07
GGIS 101,GGIS,101,"Butcher, S.",3.85,0.02
GGIS 101,GGIS,101,"Weber, L.",3.77,-0.11
GGIS 103,GGIS,103,"Shukla, T.",3.52,0.09
GGIS 103,GGIS,103,"Wang, J.",3.26,-0.22
GGIS 104,GGIS,104,"Campanile, P.",3.80,0.36
GGIS 104,GGIS,104,"Pierce, C.",3.23,-0.22
GGIS 104,GGIS,104,"Wilson, D.",3.09,-0.35
GGIS 106,GGIS,106,"Alvarado, N.",3.49,0.04
GGIS 106,GGIS,106,"Campanile, P.",3.44,-0.02
GGIS 204,GGIS,204,"Butcher, S.",3.84,0.42
GGIS 204,GGIS,204,"Pierce, C.",3.73,0.26
GGIS 204,GGIS,204,"Kim, G.",3.63,0.11
GGIS 204,GGIS,204,"McAlister, J.",3.55,0.00
GGIS 204,GGIS,204,"Cidell, J.",3.38,-0.25
GGIS 210,GGIS,210,"Alvarado, N.",3.45,
GGIS 221,GGIS,221,"Kim, G.",3.80,0.10
GGIS 221,GGIS,221,"Jefferson, B.",3.71,-0.08
GGIS 224,GGIS,224,"Hall, E.",3.74,0.00
GGIS 224,GGIS,224,"Kolak, M.",3.73,-0.01
GGIS 254,GGIS,254,"Cidell, J.",3.51,
GGIS 254,GGIS,254,"Wilson, D.",3.65,0.10
GGIS 254,GGIS,254,"Cidell, J.",3.48,-0.17
GGIS 350,GGIS,350,"Wilson, D.",3.52,
GGIS 371,GGIS,371,"Minn, M.",3.37,
GGIS 379,GGIS,379,"Minn, M.",3.24,
GGIS 380,GGIS,380,"Minn, M.",3.28,
GGIS 380,GGIS,380,"Minn, M.",3.55,
GGIS 403,GGIS,403,"Portelli, R.",3.68,
GGIS 407,GGIS,407,"Umar, M.",3.72,0.09
GGIS 407,GGIS,407,"Padmanabhan, A.",3.64,-0.01
GGIS 439,GGIS,439,"Kolak, M.",3.87,
GGIS 465,GGIS,465,"Cidell, J.",3.61,
GGIS 466,GGIS,466,"Zaragocin, S.",3.73,0.26
GGIS 466,GGIS,466,"Lavey, W.",3.40,-0.12
GGIS 473,GGIS,473,"Portelli, R.",3.61,
GGIS 477,GGIS,477,"Zhou, Z.",3.70,0.13
GGIS 477,GGIS,477,"Guo, T.",3.69,0.12
GGIS 477,GGIS,477,"Diao, C.",3.54,-0.10
GGIS 480,GGIS,480,"Umar, M.",3.39,
GGIS 496,GGIS,496,"Zaragocin, S.",3.62,
GGIS 517,GGIS,517,"Portelli, R.",3.89,
GGIS 527,GGIS,527,"Portelli, R.",3.59,
