course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
GLBL 100,GLBL,100,"Fogelman, C.",3.83,
GLBL 100,GLBL,100,"Holmes, J.",3.82,0.25
GLBL 100,GLBL,100,"Kuras, E.",3.80,0.22
GLBL 100,GLBL,100,"Leffingwell, S.",3.79,0.22
GLBL 100,GLBL,100,"Casey, M.",3.66,0.08
GLBL 100,GLBL,100,"Wedig, T.",3.62,0.03
GLBL 100,GLBL,100,"Guth, A.",3.58,-0.01
GLBL 100,GLBL,100,"Schrag, D.",3.57,-0.03
GLBL 100,GLBL,100,"Shin, H.",3.56,-0.04
GLBL 100,GLBL,100,"Fogelman, C.",3.52,-0.08
GLBL 100,GLBL,100,"Holloway, R.",3.40,-0.20
GLBL 100,GLBL,100,"Yoo, J.",3.31,-0.31
GLBL 100,GLBL,100,"Gonzalez, D.",3.08,-0.55
GLBL 100,GLBL,100,"Bralower, A.",2.95,-0.69
GLBL 130,GLBL,130,"Jamal, M.",3.76,0.16
GLBL 130,GLBL,130,"Bonatti, V.",3.61,-0.05
GLBL 200,GLBL,200,"Schrag, D.",3.89,
GLBL 220,GLBL,220,"Schrag, D.",3.64,
GLBL 225,GLBL,225,"Jamal, M.",3.24,
GLBL 240,GLBL,240,"Bonatti, V.",3.67,
GLBL 250,GLBL,250,"Bonatti, V.",3.70,
GLBL 270,GLBL,270,"Fogelman, C.",3.89,
GLBL 296,GLBL,296,"Ahn, S.",3.58,
GLBL 296,GLBL,296,"Schrag, D.",3.83,
GLBL 296,GLBL,296,"Silverman, H.",3.89,
GLBL 296,GLBL,296,"Kilgore, J.",3.64,
GLBL 296,GLBL,296,"Guth, A.",3.79,
GLBL 296,GLBL,296,"Kilgore, J.",3.93,
GLBL 340,GLBL,340,"Bonatti, V.",3.87,
GLBL 350,GLBL,350,"Fogelman, C.",3.57,
GLBL 392,GLBL,392,"Wedig, T.",2.84,
GLBL 450,GLBL,450,"Fogelman, C.",3.89,
