course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
HIST 100,HIST,100,"Vitale, S.",3.81,0.43
HIST 100,HIST,100,"Trauscht, C.",3.78,0.39
HIST 100,HIST,100,"Zylstra, P.",3.77,0.39
HIST 100,HIST,100,"Liu, L.",3.71,0.32
HIST 100,HIST,100,"Polanski, J.",3.63,0.23
HIST 100,HIST,100,"Sagonda, V.",3.61,0.21
HIST 100,HIST,100,"Kumasenu, G.",3.60,0.20
HIST 100,HIST,100,"Hong, H.",3.55,0.15
HIST 100,HIST,100,"Mandala, R.",3.53,0.12
HIST 100,HIST,100,"Alli, G.",3.52,0.11
HIST 100,HIST,100,"Coskun, N.",3.51,0.10
HIST 100,HIST,100,"Huang, J.",3.35,-0.08
HIST 100,HIST,100,"Li, H.",3.31,-0.13
HIST 100,HIST,100,"Khudzik, S.",3.28,-0.16
HIST 100,HIST,100,"Cochran, T.",3.27,-0.18
HIST 100,HIST,100,"Jacobs, A.",3.23,-0.22
HIST 100,HIST,100,"Vostriakova, E.",3.17,-0.28
HIST 100,HIST,100,"van der Velde, A.",3.14,-0.31
HIST 100,HIST,100,"Natale, M.",3.11,-0.36
HIST 100,HIST,100,"Chmiel, A.",2.71,-0.80
HIST 100,HIST,100,"Hein, R.",2.49,-1.04
HIST 103,HIST,103,"Simon, E.",3.76,0.38
HIST 103,HIST,103,"Birch, S.",3.73,0.33
HIST 103,HIST,103,"Vitale, S.",3.65,0.21
HIST 103,HIST,103,"Eberhardt, G.",3.62,0.15
HIST 103,HIST,103,"Vucicevic, D.",3.60,0.12
HIST 103,HIST,103,"Duncan, H.",3.56,0.06
HIST 103,HIST,103,"Froiland, S.",3.47,-0.09
HIST 103,HIST,103,"Toups, E.",3.47,-0.10
HIST 103,HIST,103,"Trauscht, C.",3.35,-0.30
HIST 103,HIST,103,"Stec, A.",3.21,-0.52
HIST 103,HIST,103,"Runnels, N.",3.06,-0.76
HIST 104,HIST,104,"Anderson, B.",3.89,0.30
HIST 104,HIST,104,"MacDonald, O.",3.82,0.19
HIST 104,HIST,104,"Sagonda, V.",3.81,0.18
HIST 104,HIST,104,"Francelino Viei, E.",3.81,0.17
HIST 104,HIST,104,"Bozzi Feijo, B.",3.77,0.12
HIST 104,HIST,104,"Wallis, B.",3.77,0.11
HIST 104,HIST,104,"Mandala, R.",3.75,0.08
HIST 104,HIST,104,"Rodriguez, D.",3.74,0.06
HIST 104,HIST,104,"Alarcon Olivos, M.",3.74,0.06
HIST 104,HIST,104,"Harms, J.",3.71,0.01
HIST 104,HIST,104,"Vaughn, T.",3.70,0.00
HIST 104,HIST,104,"Kelley, K.",3.66,-0.07
HIST 104,HIST,104,"Lawton, B.",3.61,-0.15
HIST 104,HIST,104,"Kellis, M.",3.60,-0.16
HIST 104,HIST,104,"Alli, G.",3.59,-0.18
HIST 104,HIST,104,"Abosch, E.",3.59,-0.19
HIST 104,HIST,104,"Warner, S.",3.54,-0.26
HIST 104,HIST,104,"Thomas, A.",3.47,-0.37
HIST 105,HIST,105,"Brosseder, C.",3.66,
HIST 106,HIST,106,"Duarte Zappelin, T.",3.89,0.03
HIST 106,HIST,106,"Bozzi Feijo, B.",3.87,-0.02
HIST 111,HIST,111,"Nobili, M.",3.47,0.07
HIST 111,HIST,111,"Hong, H.",3.30,-0.13
HIST 112,HIST,112,"Nobili, M.",3.55,0.33
HIST 112,HIST,112,"LoBue, A.",2.83,-0.31
HIST 120,HIST,120,"Du, Z.",3.94,0.56
HIST 120,HIST,120,"Li, H.",3.58,0.25
HIST 120,HIST,120,"Hsieh, P.",3.56,0.23
HIST 120,HIST,120,"Jiang, Y.",3.45,0.14
HIST 120,HIST,120,"Pu, Y.",3.12,-0.16
HIST 120,HIST,120,"Stetsuk, A.",3.00,-0.26
HIST 120,HIST,120,"Chen, X.",2.23,-0.92
HIST 130,HIST,130,"Baul, D.",3.86,0.37
HIST 130,HIST,130,"LoBue, A.",2.99,-0.41
HIST 135,HIST,135,"Goffman, L.",3.62,0.27
HIST 135,HIST,135,"Cuno, K.",2.84,-0.47
HIST 141,HIST,141,"Parrella, C.",3.04,
HIST 141,HIST,141,"Eagle, J.",3.16,
HIST 142,HIST,142,"Abosch, E.",3.64,0.20
HIST 142,HIST,142,"Vucicevic, D.",3.42,-0.13
HIST 164,HIST,164,"Abosch, E.",3.38,0.12
HIST 164,HIST,164,"Jones, D.",3.33,0.08
HIST 164,HIST,164,"Jaimes, M.",3.14,-0.09
HIST 170,HIST,170,"Morrissey, R.",3.38,
HIST 171,HIST,171,"Eberhardt, G.",3.77,0.43
HIST 171,HIST,171,"Bradley, M.",3.70,0.36
HIST 171,HIST,171,"Kumasenu, G.",3.68,0.34
HIST 171,HIST,171,"Lan, Y.",3.66,0.31
HIST 171,HIST,171,"Lerner-Wright, C.",3.64,0.29
HIST 171,HIST,171,"Mason, S.",3.61,0.27
HIST 171,HIST,171,"Liska, E.",3.48,0.13
HIST 171,HIST,171,"Toups, E.",3.38,0.04
HIST 171,HIST,171,"Vostriakova, E.",3.35,0.00
HIST 171,HIST,171,"Wallis, B.",3.24,-0.10
HIST 171,HIST,171,"Ruiz, M.",3.24,-0.10
HIST 171,HIST,171,"Runnels, N.",3.08,-0.27
HIST 171,HIST,171,"Crane, W.",3.04,-0.31
HIST 171,HIST,171,"Freund Carter, H.",2.04,-1.32
HIST 172,HIST,172,"Mandala, R.",3.75,0.41
HIST 172,HIST,172,"Liska, E.",3.39,0.07
HIST 172,HIST,172,"Barrett, M.",3.36,0.04
HIST 172,HIST,172,"Bradley, M.",3.24,-0.07
HIST 172,HIST,172,"Lan, Y.",3.24,-0.07
HIST 172,HIST,172,"Kelley, K.",3.22,-0.10
HIST 199,HIST,199,"MacDonald, O.",3.90,0.24
HIST 199,HIST,199,"Parrella, C.",3.73,0.02
HIST 199,HIST,199,"Natale, M.",3.53,-0.23
HIST 200,HIST,200,"Hogarth, R.",3.49,
HIST 202,HIST,202,"Vaughn, T.",3.57,0.30
HIST 202,HIST,202,"Duncan, H.",3.02,-0.10
HIST 202,HIST,202,"Yost, F.",2.88,-0.21
HIST 202,HIST,202,"Morrissey, R.",2.62,-0.40
HIST 203,HIST,203,"Denby, E.",3.83,0.25
HIST 203,HIST,203,"Reagan, L.",3.42,-0.17
HIST 205,HIST,205,"Brosseder, C.",3.69,
HIST 207,HIST,207,"Randolph, J.",3.62,
HIST 209,HIST,209,"Kumasenu, G.",3.92,0.11
HIST 209,HIST,209,"Djordjevic, S.",3.77,-0.19
HIST 211,HIST,211,"Barnes, T.",3.38,
HIST 212,HIST,212,"Brennan, J.",3.76,
HIST 213,HIST,213,"Nobili, M.",3.50,
HIST 220,HIST,220,"Pu, Y.",3.89,0.76
HIST 220,HIST,220,"Chow, K.",2.81,-0.32
HIST 220,HIST,220,"Chen, X.",2.78,-0.35
HIST 221,HIST,221,"Liu, L.",3.88,0.39
HIST 221,HIST,221,"Li, H.",3.70,0.10
HIST 221,HIST,221,"Fu, P.",3.39,-0.43
HIST 227,HIST,227,"Wilson, R.",3.44,
HIST 236,HIST,236,"Eagle, J.",3.75,0.30
HIST 236,HIST,236,"Bell, J.",3.68,0.20
HIST 236,HIST,236,"Vostriakova, E.",3.62,0.10
HIST 236,HIST,236,"Sundarsingh, A.",3.51,-0.07
HIST 236,HIST,236,"Runnels, N.",3.48,-0.11
HIST 236,HIST,236,"Meinel, C.",3.46,-0.15
HIST 236,HIST,236,"Khudzik, S.",3.45,-0.16
HIST 240,HIST,240,"Mathisen, R.",3.80,
HIST 241,HIST,241,"Mathisen, R.",3.88,0.22
HIST 241,HIST,241,"Pederson, L.",3.74,-0.13
HIST 245,HIST,245,"Ruiz, M.",3.64,0.12
HIST 245,HIST,245,"Koslofsky, C.",3.52,-0.09
HIST 247,HIST,247,"Craig, K.",3.89,0.18
HIST 247,HIST,247,"Bell, J.",3.67,-0.12
HIST 251,HIST,251,"Lynn, J.",2.86,
HIST 252,HIST,252,"Fritzsche, P.",3.28,
HIST 253,HIST,253,"Chettiar, T.",3.64,0.24
HIST 253,HIST,253,"Jaimes, M.",3.05,-0.29
HIST 255,HIST,255,"Duncan, H.",3.79,
HIST 258,HIST,258,"Jaimes, M.",3.70,0.40
HIST 258,HIST,258,"Chaplin, T.",3.36,-0.24
HIST 259,HIST,259,"Yost, F.",3.61,0.20
HIST 259,HIST,259,"Abosch, E.",3.47,0.07
HIST 259,HIST,259,"Sundarsingh, A.",3.24,-0.15
HIST 259,HIST,259,"Cowan, F.",3.17,-0.21
HIST 260,HIST,260,"Randolph, J.",3.64,0.20
HIST 260,HIST,260,"Whittington, A.",3.33,-0.28
HIST 262,HIST,262,"Abou Abdallah, M.",3.62,0.10
