course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
IB 100,IB,100,"O'Dwyer, A.",3.61,0.14
IB 100,IB,100,"Chen, L.",3.45,-0.01
IB 100,IB,100,"Yang, W.",3.44,-0.03
IB 103,IB,103,"Ming, R.",3.19,0.02
IB 103,IB,103,"Bush, D.",3.16,-0.01
IB 104,IB,104,"Hofmann, T.",3.31,0.20
IB 104,IB,104,"Arias, L.",3.11,-0.03
IB 108,IB,108,"Manaster, J.",3.21,
IB 110,IB,110,"Ngumbi, E.",3.84,0.03
IB 110,IB,110,"Harmon-Threatt, A.",3.81,-0.02
IB 150,IB,150,"Clegg, B.",3.07,
IB 151,IB,151,"Clegg, B.",3.90,0.17
IB 151,IB,151,"Cameron, S.",3.34,-0.89
IB 199,IB,199,"Clegg, B.",3.91,
IB 199,IB,199,"Clegg, B.",3.79,
IB 199,IB,199,"Clegg, B.",3.82,0.06
IB 199,IB,199,"Arias, L.",3.74,-0.06
IB 202,IB,202,"Dolezal, A.",3.71,
IB 203,IB,203,"O'Dwyer, J.",3.47,
IB 204,IB,204,"Burgess, S.",3.15,0.02
IB 204,IB,204,"Marshall-Colon, A.",3.05,-0.09
IB 230,IB,230,"Allan, B.",3.71,
IB 270,IB,270,"De Silva, K.",3.92,0.54
IB 270,IB,270,"Bagazinski, A.",3.87,0.44
IB 270,IB,270,"Fischer, E.",3.46,-0.46
IB 271,IB,271,"Cheng-De Vries, C.",3.88,
IB 299,IB,299,"Arias, L.",3.96,
IB 302,IB,302,"Evangelista, D.",3.49,0.29
IB 302,IB,302,"Catchen, J.",3.30,0.06
IB 302,IB,302,"Roseman, C.",2.76,-0.62
IB 303,IB,303,"Karatgi, R.",3.13,0.10
IB 303,IB,303,"Anderson, P.",3.01,-0.03
IB 329,IB,329,"Bell, A.",3.45,0.01
IB 329,IB,329,"Suarez, A.",3.43,-0.01
IB 360,IB,360,"Roseman, C.",3.94,0.16
IB 360,IB,360,"Anderson, N.",3.63,-0.59
IB 361,IB,361,"Allan, B.",3.73,0.01
IB 361,IB,361,"Anderson, N.",3.72,-0.01
IB 362,IB,362,"Caceres, C.",3.53,
IB 364,IB,364,"Manaster, J.",3.83,0.07
IB 364,IB,364,"Marshall-Colon, A.",3.79,-0.01
IB 364,IB,364,"Zhai, Z.",3.70,-0.15
IB 372,IB,372,"Dalling, J.",3.83,
IB 392,IB,392,"Swanson, C.",3.93,
IB 401,IB,401,"Hanks, L.",3.51,
IB 405,IB,405,"Heath, K.",3.72,0.07
IB 405,IB,405,"York, J.",3.61,-0.11
IB 407,IB,407,"Punyasena, S.",3.14,
IB 411,IB,411,"Alleyne, M.",3.65,
IB 420,IB,420,"McGrath, J.",3.41,
IB 426,IB,426,"Cheng-De Vries, C.",3.04,
IB 430,IB,430,"Suarez, A.",3.97,
IB 431,IB,431,"Bell, A.",3.83,
IB 432,IB,432,"Dolezal, A.",3.83,
IB 433,IB,433,"Alleyne, M.",3.92,
IB 435,IB,435,"Anderson, N.",3.94,0.13
IB 435,IB,435,"Berenbaum, M.",3.85,-0.04
IB 439,IB,439,"Punyasena, S.",3.65,
IB 451,IB,451,"Paige, K.",3.74,0.08
IB 451,IB,451,"Harmon-Threatt, A.",3.62,-0.10
IB 452,IB,452,"Yang, W.",3.88,
IB 453,IB,453,"Allan, B.",3.65,0.00
IB 453,IB,453,"Dalling, J.",3.65,0.00
IB 461,IB,461,"Hauber, M.",3.87,0.48
IB 461,IB,461,"Ward, M.",3.51,-0.06
IB 461,IB,461,"Enos, J.",3.44,-0.16
IB 462,IB,462,"Miller, D.",3.49,0.17
IB 462,IB,462,"Kingston, T.",3.19,-0.28
IB 464,IB,464,"Davis, M.",3.49,
IB 465,IB,465,"Burgess, S.",3.74,
IB 468,IB,468,"Whitfield, J.",3.68,0.08
IB 468,IB,468,"Evangelista, D.",3.59,-0.09
IB 471,IB,471,"Miller, A.",3.83,
IB 481,IB,481,"Stone, C.",3.90,
IB 482,IB,482,"Hanks, L.",3.70,
IB 494,IB,494,"O'Dwyer, J.",3.56,
IB 496,IB,496,"Fuller, B.",3.94,
IB 501,IB,501,"Catchen, J.",3.63,
IB 517,IB,517,"Fuller, B.",3.95,
IB 546,IB,546,"Fuller, B.",3.96,
IB 592,IB,592,"Swanson, C.",3.74,
