course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
IS 100,IS,100,"Lehman, L.",3.88,0.21
IS 100,IS,100,"Newell, M.",3.82,0.11
IS 100,IS,100,"Torres, T.",3.76,0.03
IS 100,IS,100,"Kittl, K.",3.74,0.01
IS 100,IS,100,"Castaneda, C.",3.71,-0.05
IS 100,IS,100,"Lawyer, D.",3.51,-0.34
IS 100,IS,100,"Marion, K.",3.35,-0.57
IS 101,IS,101,"Pintar, J.",3.81,
IS 142,IS,142,"Dubin, D.",3.55,
IS 145,IS,145,"Batzloff, B.",3.80,0.31
IS 145,IS,145,"Mussulman, D.",3.37,-0.13
IS 199,IS,199,"Saebeler, D.",3.53,
IS 199,IS,199,"Saebeler, D.",3.71,
IS 199,IS,199,"Dubin, D.",3.62,
IS 199,IS,199,"Darling, L.",3.93,0.21
IS 199,IS,199,"Newell, M.",3.83,0.07
IS 199,IS,199,"Hodson, R.",3.74,-0.04
IS 200,IS,200,"Ellis, M.",3.98,0.15
IS 200,IS,200,"Denehy, L.",3.94,0.04
IS 200,IS,200,"Hodson, R.",3.91,-0.04
IS 200,IS,200,"Newman, J.",3.90,-0.11
IS 202,IS,202,"Kendall, L.",3.79,0.15
IS 202,IS,202,"Darch, P.",3.78,0.13
IS 202,IS,202,"Sun, M.",3.69,-0.02
IS 202,IS,202,"Sanfilippo, M.",3.65,-0.09
IS 203,IS,203,"Wickett, K.",3.64,0.39
IS 203,IS,203,"Nunez-Corrales, S.",3.57,0.32
IS 203,IS,203,"Batzloff, B.",3.21,-0.06
IS 204,IS,204,"Besser, S.",3.90,0.33
IS 204,IS,204,"Bashir, M.",3.83,0.24
IS 204,IS,204,"Gumusel, E.",3.81,0.20
IS 204,IS,204,"Magee, R.",3.70,0.07
IS 204,IS,204,"Kendall, L.",3.59,-0.08
IS 204,IS,204,"LaRue, E.",3.37,-0.38
IS 205,IS,205,"Wickes, E.",3.41,0.00
IS 205,IS,205,"Alicea, B.",3.35,-0.05
IS 206,IS,206,"Evans, C.",3.64,0.07
IS 206,IS,206,"Mussulman, D.",3.52,-0.08
IS 206,IS,206,"Zhang, Y.",3.23,-0.43
IS 226,IS,226,"Adler, R.",3.88,0.25
IS 226,IS,226,"MacMullen, T.",3.86,0.23
IS 226,IS,226,"Hendricks, R.",3.82,0.16
IS 226,IS,226,"Huang, Y.",3.64,-0.11
IS 226,IS,226,"Wang, Y.",3.58,-0.20
IS 226,IS,226,"Park, H.",3.44,-0.40
IS 229,IS,229,"Hopping, D.",3.92,0.16
IS 229,IS,229,"MacMullen, T.",3.77,-0.07
IS 234,IS,234,"Saebeler, D.",3.78,
IS 236,IS,236,"Wang, Y.",3.82,0.23
IS 236,IS,236,"Lueg, C.",3.49,-0.40
IS 266,IS,266,"Chan, A.",3.15,
IS 305,IS,305,"Wickes, E.",3.69,
IS 308,IS,308,"Wagner, T.",3.86,0.37
IS 308,IS,308,"Hardy, C.",3.85,0.35
IS 308,IS,308,"McLellan, A.",3.84,0.35
IS 308,IS,308,"Mussulman, D.",3.34,-0.20
IS 309,IS,309,"Duffy, D.",3.75,
IS 310,IS,310,"Li, Z.",3.73,0.23
IS 310,IS,310,"Carvalho do Ama, J.",3.72,0.22
IS 310,IS,310,"Shang, W.",3.67,0.16
IS 310,IS,310,"Dubin, D.",3.57,0.04
IS 310,IS,310,"LeBlanc, Z.",3.35,-0.22
IS 310,IS,310,"Roland, E.",3.30,-0.29
IS 311,IS,311,"Wolske, M.",3.48,
IS 312,IS,312,"Maia, G.",3.75,0.04
IS 312,IS,312,"Kollmer, M.",3.71,-0.01
IS 316,IS,316,"Lueg, C.",3.51,
IS 324,IS,324,"Park, J.",3.64,0.08
IS 324,IS,324,"Schneider, J.",3.52,-0.07
IS 327,IS,327,"Liu, Y.",3.92,0.38
IS 327,IS,327,"Lourentzou, I.",3.85,0.26
IS 327,IS,327,"Belitz, C.",3.83,0.22
IS 327,IS,327,"Zhang, Y.",3.72,0.02
IS 327,IS,327,"Bosch, N.",3.68,-0.05
IS 327,IS,327,"Ma, J.",3.49,-0.37
IS 334,IS,334,"Kong, I.",3.51,
IS 340,IS,340,"Bonn, M.",3.40,0.00
IS 340,IS,340,"Alicea, B.",3.40,0.00
IS 357,IS,357,"McDowell, K.",3.93,0.26
IS 357,IS,357,"Miller, B.",3.87,0.15
IS 357,IS,357,"Lundy, M.",3.83,0.08
IS 357,IS,357,"Hollenkamp, K.",3.70,-0.14
IS 357,IS,357,"Zacks, T.",3.42,-0.63
IS 364,IS,364,"Bashir, M.",3.57,
IS 370,IS,370,"Ocepek, M.",2.43,
IS 380,IS,380,"Song, Y.",3.92,0.01
IS 380,IS,380,"Evans, C.",3.91,-0.03
IS 381,IS,381,"Alteri, S.",3.85,
IS 390,IS,390,"Rusch, A.",3.78,
IS 390,IS,390,"Bosch, N.",3.47,
IS 390,IS,390,"Song, Y.",3.89,
IS 390,IS,390,"Dubin, D.",3.46,
IS 390,IS,390,"Evans, C.",3.92,
IS 401,IS,401,"Wolske, M.",3.16,
IS 403,IS,403,"Betts-Green, C.",3.92,0.07
IS 403,IS,403,"Codell, E.",3.75,-0.44
IS 407,IS,407,"Besser, S.",3.94,0.15
IS 407,IS,407,"Seo, J.",3.91,0.06
IS 407,IS,407,"Hendricks, R.",3.83,-0.18
IS 407,IS,407,"Alterman, N.",3.71,-0.51
IS 409,IS,409,"Rusch, A.",3.73,
IS 410,IS,410,"Comstock, S.",3.76,
IS 413,IS,413,"Magee, R.",3.96,0.19
IS 413,IS,413,"Lucht, K.",3.91,0.11
IS 413,IS,413,"Betts-Green, C.",3.82,-0.05
IS 413,IS,413,"Dahlen, S.",3.71,-0.24
