course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
LING 100,LING,100,"Stelzer, D.",3.69,0.24
LING 100,LING,100,"Hayes, M.",3.61,0.14
LING 100,LING,100,"Bu, X.",3.53,0.05
LING 100,LING,100,"Beckwith, J.",3.53,0.05
LING 100,LING,100,"Ulloa, A.",3.52,0.04
LING 100,LING,100,"Fang, S.",3.52,0.04
LING 100,LING,100,"Pilarski, C.",3.52,0.04
LING 100,LING,100,"Chuang, P.",3.51,0.03
LING 100,LING,100,"Bhatt, R.",3.49,0.01
LING 100,LING,100,"Kim, A.",3.42,-0.08
LING 100,LING,100,"Moore, B.",3.39,-0.11
LING 100,LING,100,"Armstrong, T.",3.38,-0.12
LING 100,LING,100,"Le, G.",3.37,-0.14
LING 100,LING,100,"Green, J.",3.33,-0.19
LING 115,LING,115,"Mishra, M.",3.45,
LING 210,LING,210,"Hualde, J.",3.48,0.24
LING 210,LING,210,"Gent, H.",3.27,0.03
LING 210,LING,210,"Stelzer, D.",3.04,-0.19
LING 210,LING,210,"Beckwith, J.",3.04,-0.20
LING 222,LING,222,"Jamshidi, S.",3.60,0.13
LING 222,LING,222,"King, E.",3.54,0.08
LING 222,LING,222,"Abdulla, W.",3.45,-0.01
LING 222,LING,222,"Bhatt, R.",3.23,-0.23
LING 222,LING,222,"Sanei, T.",3.07,-0.38
LING 225,LING,225,"Goldshtein, M.",3.46,0.36
LING 225,LING,225,"Muller, H.",3.14,0.10
LING 225,LING,225,"Ionin, T.",3.08,0.04
LING 225,LING,225,"Tachihara, K.",2.86,-0.14
LING 225,LING,225,"Atiles, A.",2.79,-0.19
LING 250,LING,250,"Clark, S.",3.86,0.26
LING 250,LING,250,"Arikoglu, S.",3.78,0.15
LING 250,LING,250,"Smalls, K.",3.68,0.03
LING 250,LING,250,"Wawire, G.",3.64,-0.03
LING 250,LING,250,"Casar, A.",3.47,-0.24
LING 270,LING,270,"Dell, B.",3.71,0.16
LING 270,LING,270,"Tang, Y.",3.61,0.06
LING 270,LING,270,"Adams, C.",3.61,0.06
LING 270,LING,270,"Tighe, A.",3.54,-0.01
LING 270,LING,270,"Stelzer, D.",3.44,-0.12
LING 301,LING,301,"Talic, A.",3.66,0.46
LING 301,LING,301,"Dees, J.",3.53,0.35
LING 301,LING,301,"MacDonald, J.",2.80,-0.31
LING 301,LING,301,"Sun, Y.",2.67,-0.43
LING 301,LING,301,"Gallardo, M.",2.65,-0.44
LING 302,LING,302,"Kim, H.",3.33,0.15
LING 302,LING,302,"Silva Fonseca, M.",3.26,0.08
LING 302,LING,302,"Sun, Y.",3.10,-0.07
LING 302,LING,302,"Shosted, R.",3.09,-0.08
LING 307,LING,307,"Del Pinal, G.",3.40,0.26
LING 307,LING,307,"Newkirk, L.",3.26,0.13
LING 307,LING,307,"Lasersohn, P.",3.25,0.12
LING 307,LING,307,"Ionin, T.",2.85,-0.26
LING 307,LING,307,"Bu, X.",2.77,-0.33
LING 400,LING,400,"De Nijs, P.",3.83,
LING 401,LING,401,"Nelson, S.",3.13,0.11
LING 401,LING,401,"Shosted, R.",2.95,-0.03
LING 406,LING,406,"Maskharashvili, A.",3.80,0.18
LING 406,LING,406,"Girju, C.",3.56,-0.12
LING 413,LING,413,"Girju, C.",3.81,0.20
LING 413,LING,413,"Dunn, J.",3.58,-0.15
LING 446,LING,446,"Tang, Y.",3.12,
LING 450,LING,450,"Bhatt, R.",3.69,
LING 489,LING,489,"Pierce, L.",3.29,
LING 490,LING,490,"Ma, W.",3.57,
