course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
LLS 100,LLS,100,"Gaytan, L.",3.86,0.35
LLS 100,LLS,100,"Fonseca Grijalv, R.",3.83,0.33
LLS 100,LLS,100,"Ortega, C.",3.80,0.30
LLS 100,LLS,100,"Alvarez, L.",3.79,0.28
LLS 100,LLS,100,"Leonardo, G.",3.71,0.20
LLS 100,LLS,100,"Mora, J.",3.67,0.15
LLS 100,LLS,100,"Jimenez, B.",3.63,0.11
LLS 100,LLS,100,"Perez-Enriquez, K.",3.62,0.10
LLS 100,LLS,100,"Morales Perez, G.",3.60,0.08
LLS 100,LLS,100,"Ettinger, S.",3.51,-0.02
LLS 100,LLS,100,"Fernandez Doig, M.",3.51,-0.02
LLS 100,LLS,100,"Cano, A.",3.47,-0.06
LLS 100,LLS,100,"Lule, L.",3.45,-0.08
LLS 100,LLS,100,"Garcia Rojas, M.",3.45,-0.09
LLS 100,LLS,100,"Garcia, B.",3.12,-0.44
LLS 100,LLS,100,"Garcia, L.",3.12,-0.44
LLS 100,LLS,100,"Leon-Boys, D.",2.74,-0.84
LLS 220,LLS,220,"Gavin, C.",3.58,0.11
LLS 220,LLS,220,"Ramirez, C.",3.48,0.00
LLS 220,LLS,220,"Quinones-Rivera, M.",3.29,-0.19
LLS 230,LLS,230,"Flores, N.",3.59,0.14
LLS 230,LLS,230,"Caraves, J.",3.09,-0.32
LLS 235,LLS,235,"Corona Valencia, G.",3.33,0.10
LLS 235,LLS,235,"Lira, N.",3.10,-0.10
LLS 238,LLS,238,"Velazquez, M.",3.68,
LLS 240,LLS,240,"Rodriguez, R.",3.86,0.04
LLS 240,LLS,240,"Garcia Hernande, Y.",3.70,-0.26
LLS 242,LLS,242,"Garcia, A.",3.82,0.19
LLS 242,LLS,242,"de la Garza, J.",3.59,-0.07
LLS 242,LLS,242,"de la Garza Val, J.",3.49,-0.18
LLS 250,LLS,250,"Rodriguez, R.",3.80,0.21
LLS 250,LLS,250,"Gomez-Perez, S.",3.77,0.17
LLS 250,LLS,250,"Valdivia, A.",3.49,-0.15
LLS 250,LLS,250,"Romero, R.",3.22,-0.47
LLS 279,LLS,279,"Garcia, B.",3.83,0.30
LLS 279,LLS,279,"Garcia Rojas, M.",3.64,0.12
LLS 279,LLS,279,"Eberhardt, G.",3.61,0.08
LLS 279,LLS,279,"Lule, L.",3.51,-0.01
LLS 279,LLS,279,"Ettinger, S.",3.48,-0.03
LLS 279,LLS,279,"Ramirez, Y.",2.93,-0.56
LLS 320,LLS,320,"Velasquez Estra, R.",3.35,
LLS 343,LLS,343,"Velasquez Estra, R.",3.56,
LLS 355,LLS,355,"Rodriguez, R.",3.79,0.30
LLS 355,LLS,355,"Ramirez, C.",3.55,-0.03
LLS 355,LLS,355,"Lule, L.",3.49,-0.12
LLS 357,LLS,357,"de la Garza, J.",3.54,0.03
LLS 357,LLS,357,"Lule, L.",3.45,-0.06
LLS 360,LLS,360,"de la Garza Val, J.",3.76,0.25
LLS 360,LLS,360,"de la Garza, J.",3.33,-0.20
LLS 379,LLS,379,"Velazquez, M.",3.21,
LLS 387,LLS,387,"Flores, N.",3.60,0.02
LLS 387,LLS,387,"Redwine, J.",3.49,-0.11
LLS 392,LLS,392,"Lule, L.",3.55,0.17
LLS 392,LLS,392,"Barragan Mirand, J.",2.86,-0.54
LLS 465,LLS,465,"Flores, N.",3.75,
LLS 479,LLS,479,"Lira, N.",3.87,
