course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
MATH 101,MATH,101,"Dobbs, T.",2.95,0.00
MATH 101,MATH,101,"Le, T.",2.93,-0.01
MATH 103,MATH,103,"Hoffmeister, A.",3.68,0.48
MATH 103,MATH,103,"Placzek, L.",3.47,0.24
MATH 103,MATH,103,"Dobbs, T.",3.32,0.07
MATH 103,MATH,103,"Perez, Y.",3.32,0.06
MATH 103,MATH,103,"Jewell, M.",3.08,-0.21
MATH 103,MATH,103,"Pinto, A.",3.02,-0.29
MATH 112,MATH,112,"Dobbs, T.",3.01,0.04
MATH 112,MATH,112,"Reddy, A.",3.00,0.03
MATH 112,MATH,112,"Placzek, L.",2.83,-0.13
MATH 112,MATH,112,"Jewell, M.",2.64,-0.31
MATH 112,MATH,112,"Le, T.",2.61,-0.33
MATH 115,MATH,115,"Reddy, A.",3.00,0.29
MATH 115,MATH,115,"Hoffmeister, A.",2.76,0.08
MATH 115,MATH,115,"Srikant, J.",2.66,0.00
MATH 115,MATH,115,"Placzek, L.",2.59,-0.07
MATH 117,MATH,117,"Hoffmeister, A.",3.75,0.47
MATH 117,MATH,117,"Chesser, M.",3.17,-0.27
MATH 117,MATH,117,"Dobbs, T.",2.94,-0.57
MATH 119,MATH,119,"Orelowitz, G.",3.27,
MATH 124,MATH,124,"Govindarajan, A.",3.35,0.42
MATH 124,MATH,124,"Khawaja, A.",3.11,0.20
MATH 124,MATH,124,"Ritter, M.",3.10,0.19
MATH 124,MATH,124,"Lense, D.",3.08,0.17
MATH 124,MATH,124,"Rachfal, E.",3.04,0.14
MATH 124,MATH,124,"Gregory, D.",3.01,0.11
MATH 124,MATH,124,"Wang, H.",2.89,0.00
MATH 124,MATH,124,"Ebel, S.",2.81,-0.07
MATH 124,MATH,124,"Pinto, A.",2.72,-0.16
MATH 124,MATH,124,"Arbelo Ramos, J.",2.55,-0.31
MATH 124,MATH,124,"McConnell, R.",2.52,-0.34
MATH 124,MATH,124,"Long, M.",2.29,-0.55
MATH 124,MATH,124,"Dao, Q.",2.18,-0.66
MATH 181,MATH,181,"Dobbs, T.",3.88,0.44
MATH 181,MATH,181,"Ozbay, Z.",3.61,0.15
MATH 181,MATH,181,"Rennie, R.",3.58,0.12
MATH 181,MATH,181,"Reddy, A.",3.14,-0.36
MATH 181,MATH,181,"Donepudi, R.",3.09,-0.42
MATH 199,MATH,199,"Garg, M.",3.97,0.24
MATH 199,MATH,199,"Venegas, A.",3.95,0.21
MATH 199,MATH,199,"Kamel, Y.",3.86,0.08
MATH 199,MATH,199,"Goldman-Nagel, A.",3.78,-0.04
MATH 199,MATH,199,"Schideman, K.",3.64,-0.24
MATH 199,MATH,199,"Song, Z.",3.65,
MATH 199,MATH,199,"Morales Miranda, A.",3.88,0.03
MATH 199,MATH,199,"McNeilly, J.",3.86,-0.01
MATH 199,MATH,199,"McCourt, G.",3.80,
MATH 213,MATH,213,"Dias Mattos, L.",3.51,0.39
MATH 213,MATH,213,"Bodish, H.",3.39,0.27
MATH 213,MATH,213,"Hardt, A.",3.39,0.27
MATH 213,MATH,213,"Shaw, E.",3.33,0.20
MATH 213,MATH,213,"Rasmussen, J.",3.26,0.14
MATH 213,MATH,213,"Castle, B.",3.16,0.04
MATH 213,MATH,213,"Ivanov, S.",3.05,-0.06
MATH 213,MATH,213,"Wigal, M.",2.94,-0.18
MATH 213,MATH,213,"Kelley, E.",2.92,-0.19
MATH 213,MATH,213,"Kirr, E.",2.78,-0.33
MATH 220,MATH,220,"Barron, A.",2.96,0.24
MATH 220,MATH,220,"Petrickova, S.",2.90,0.19
MATH 220,MATH,220,"Palmer, J.",2.79,0.10
MATH 220,MATH,220,"Hoffmeister, A.",2.78,0.10
MATH 220,MATH,220,"Carpenter, B.",2.71,0.04
MATH 220,MATH,220,"Srikant, J.",2.60,-0.04
MATH 220,MATH,220,"Genlik, D.",2.57,-0.07
MATH 220,MATH,220,"Cavey, I.",2.56,-0.07
MATH 220,MATH,220,"Tumanov, A.",2.54,-0.09
MATH 220,MATH,220,"Placzek, L.",2.50,-0.12
MATH 220,MATH,220,"Whittlesey, K.",2.43,-0.18
MATH 220,MATH,220,"Neidinger, D.",2.33,-0.25
MATH 221,MATH,221,"Dobbs, T.",3.38,0.35
MATH 221,MATH,221,"Clark, C.",3.13,0.10
MATH 221,MATH,221,"Petrickova, S.",3.08,0.06
MATH 221,MATH,221,"Whittlesey, K.",2.84,-0.18
MATH 221,MATH,221,"Placzek, L.",2.78,-0.24
MATH 221,MATH,221,"Srikant, J.",2.68,-0.34
MATH 225,MATH,225,"Srikant, J.",3.13,0.34
MATH 225,MATH,225,"Jiang, Y.",2.84,0.08
MATH 225,MATH,225,"Bradlow, S.",2.68,-0.06
MATH 225,MATH,225,"Dutta, S.",2.64,-0.10
MATH 225,MATH,225,"Guzman, R.",2.61,-0.13
MATH 225,MATH,225,"Kirr, E.",2.28,-0.43
MATH 227,MATH,227,"Ando, M.",3.90,0.54
MATH 227,MATH,227,"Srikant, J.",3.54,0.02
MATH 227,MATH,227,"Petrickova, S.",3.44,-0.12
MATH 231,MATH,231,"Dobbs, T.",3.39,0.29
MATH 231,MATH,231,"Wang, Y.",3.35,0.24
MATH 231,MATH,231,"McCourt, G.",3.32,0.21
MATH 231,MATH,231,"La Nave, G.",3.31,0.20
MATH 231,MATH,231,"Liu, Y.",3.30,0.20
MATH 231,MATH,231,"Folwaczny, L.",3.30,0.19
MATH 231,MATH,231,"Hoffmeister, A.",3.21,0.10
MATH 231,MATH,231,"Guo, M.",3.20,0.09
MATH 231,MATH,231,"Shemtaga, H.",3.19,0.08
