course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
MCB 100,MCB,100,"Wilson, B.",3.34,0.04
MCB 100,MCB,100,"Kieffer, C.",3.23,-0.15
MCB 101,MCB,101,"Alt, R.",3.64,
MCB 150,MCB,150,"Levesque, L.",3.73,0.65
MCB 150,MCB,150,"Handy, N.",3.27,0.02
MCB 150,MCB,150,"Reedy, M.",3.23,-0.03
MCB 150,MCB,150,"Kim, H.",3.20,-0.08
MCB 150,MCB,150,"Mehrtens, B.",3.18,-0.10
MCB 151,MCB,151,"Buntrock, D.",3.90,0.07
MCB 151,MCB,151,"Reedy, M.",3.86,0.00
MCB 151,MCB,151,"Handy, N.",3.85,-0.02
MCB 151,MCB,151,"Karecki, K.",3.79,-0.15
MCB 170,MCB,170,"Toma, J.",3.77,0.19
MCB 170,MCB,170,"Yu, X.",3.61,-0.07
MCB 199,MCB,199,"Reedy, M.",3.59,
MCB 244,MCB,244,"Brown, C.",3.25,0.02
MCB 244,MCB,244,"Aravamudan, B.",3.23,-0.02
MCB 245,MCB,245,"Aravamudan, B.",3.58,0.39
MCB 245,MCB,245,"Handy, N.",3.38,0.16
MCB 245,MCB,245,"Joesting, J.",3.07,-0.20
MCB 246,MCB,246,"Joesting, J.",3.41,0.40
MCB 246,MCB,246,"Abdiel, T.",3.12,0.02
MCB 246,MCB,246,"Brown, C.",2.99,-0.15
MCB 247,MCB,247,"Handy, N.",3.48,0.18
MCB 247,MCB,247,"Joesting, J.",3.29,-0.06
MCB 250,MCB,250,"Kirchner, N.",2.89,
MCB 251,MCB,251,"Kirchner, N.",3.62,
MCB 252,MCB,252,"Smith, E.",3.42,0.19
MCB 252,MCB,252,"Good, E.",3.28,0.04
MCB 252,MCB,252,"Rivier, D.",2.76,-0.54
MCB 253,MCB,253,"Smith, E.",3.91,0.19
MCB 253,MCB,253,"Good, E.",3.81,-0.04
MCB 300,MCB,300,"Blanke, S.",3.52,0.03
MCB 300,MCB,300,"Grant, N.",3.33,-0.26
MCB 301,MCB,301,"Ikeda, J.",3.31,0.01
MCB 301,MCB,301,"Alt, R.",3.30,-0.01
MCB 314,MCB,314,"Llano, D.",2.70,
MCB 317,MCB,317,"Rivier, D.",3.04,
MCB 320,MCB,320,"Bolton, E.",3.29,
MCB 354,MCB,354,"Kirchner, N.",3.38,0.30
MCB 354,MCB,354,"Reedy, M.",3.06,-0.06
MCB 354,MCB,354,"Kim, H.",3.06,-0.06
MCB 354,MCB,354,"Stenger, A.",3.00,-0.13
MCB 364,MCB,364,"Levesque, L.",3.33,
MCB 400,MCB,400,"Prasanth, S.",2.81,
MCB 401,MCB,401,"Christian-Hinma, C.",3.29,
MCB 402,MCB,402,"Nelson, E.",3.63,
MCB 406,MCB,406,"Jin, H.",3.65,
MCB 408,MCB,408,"Stadtmueller, B.",3.71,0.14
MCB 408,MCB,408,"Stenger, A.",3.62,-0.05
MCB 410,MCB,410,"Li, X.",3.46,
MCB 413,MCB,413,"Raetzman, L.",3.39,
MCB 424,MCB,424,"Metcalf, W.",3.48,
MCB 426,MCB,426,"Kehl-Fie, T.",2.80,
MCB 428,MCB,428,"Ikeda, J.",3.28,
MCB 431,MCB,431,"Mera, P.",3.41,
MCB 432,MCB,432,"Ho, M.",3.39,
MCB 435,MCB,435,"Whitaker, R.",3.52,
MCB 436,MCB,436,"Wilson, B.",3.84,
MCB 438,MCB,438,"Brooke, C.",3.40,
MCB 450,MCB,450,"Alt, R.",3.23,0.24
MCB 450,MCB,450,"Buntrock, D.",3.03,0.03
MCB 450,MCB,450,"Fratti, R.",3.02,0.02
MCB 450,MCB,450,"Chen, L.",2.97,-0.03
MCB 460,MCB,460,"Toma, J.",3.90,
MCB 461,MCB,461,"Chung, H.",3.79,
MCB 462,MCB,462,"Gillette, M.",3.52,
MCB 465,MCB,465,"Anakk, S.",3.16,
MCB 466,MCB,466,"Nelson, E.",3.53,
MCB 471,MCB,471,"Ma, H.",3.90,
MCB 474,MCB,474,"Ceman, S.",3.86,
MCB 480,MCB,480,"Chen, J.",3.50,
MCB 493,MCB,493,"Bolton, E.",3.13,
MCB 493,MCB,493,"Belmont, A.",3.52,
MCB 493,MCB,493,"Zhang, Y.",3.88,
MCB 493,MCB,493,"Sweeney, P.",3.80,
MCB 493,MCB,493,"Auerbach, B.",3.48,
MCB 493,MCB,493,"Hatoum, A.",3.59,
MCB 493,MCB,493,"Ceman, S.",3.76,0.24
MCB 493,MCB,493,"Cui, C.",3.76,0.24
MCB 493,MCB,493,"Tajkhorshid, E.",3.22,-0.58
MCB 493,MCB,493,"Brooke, C.",3.30,
MCB 501,MCB,501,"Imlay, J.",3.46,
MCB 502,MCB,502,"Freeman, B.",3.50,
MCB 540,MCB,540,"Smith-Bolton, R.",3.65,
MCB 545,MCB,545,"VanBortle, K.",3.96,
