course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
PHIL 100,PHIL,100,"Livengood, J.",3.71,0.28
PHIL 100,PHIL,100,"Lyu, H.",3.59,0.16
PHIL 100,PHIL,100,"Madruga, M.",3.54,0.10
PHIL 100,PHIL,100,"Tobias, Z.",3.13,-0.33
PHIL 101,PHIL,101,"Maimone, C.",3.68,0.48
PHIL 101,PHIL,101,"Jensen, E.",3.64,0.44
PHIL 101,PHIL,101,"Durso, D.",3.37,0.20
PHIL 101,PHIL,101,"Shatalov, K.",3.32,0.16
PHIL 101,PHIL,101,"Ben Moshe, N.",3.10,-0.05
PHIL 101,PHIL,101,"Ewing, J.",3.08,-0.07
PHIL 101,PHIL,101,"Rowe, J.",2.94,-0.20
PHIL 101,PHIL,101,"Saenz, N.",2.86,-0.28
PHIL 101,PHIL,101,"Reese, B.",2.37,-0.72
PHIL 102,PHIL,102,"Louzon, N.",3.80,0.77
PHIL 102,PHIL,102,"Thomas, D.",3.39,0.46
PHIL 102,PHIL,102,"Muntean, I.",2.90,0.09
PHIL 102,PHIL,102,"Leland, P.",2.73,-0.04
PHIL 102,PHIL,102,"Fitts, J.",2.69,-0.08
PHIL 103,PHIL,103,"Smith, M.",3.55,0.47
PHIL 103,PHIL,103,"Nowakowski, P.",3.35,0.29
PHIL 103,PHIL,103,"Ma, G.",3.19,0.14
PHIL 103,PHIL,103,"Lopez Romero, A.",3.14,0.10
PHIL 103,PHIL,103,"Pierce, M.",3.08,0.04
PHIL 103,PHIL,103,"York, I.",2.82,-0.20
PHIL 103,PHIL,103,"Weaver, C.",2.36,-0.62
PHIL 104,PHIL,104,"Bojanowski, J.",3.48,0.00
PHIL 104,PHIL,104,"Tobias, Z.",3.39,-0.08
PHIL 105,PHIL,105,"Durso, D.",3.85,0.43
PHIL 105,PHIL,105,"Smith, A.",3.53,0.07
PHIL 105,PHIL,105,"Baume, R.",3.36,-0.12
PHIL 105,PHIL,105,"Reimer, R.",3.14,-0.35
PHIL 106,PHIL,106,"Jensen, E.",3.73,0.12
PHIL 106,PHIL,106,"Lopez Romero, A.",3.65,-0.02
PHIL 106,PHIL,106,"Schwenkler, J.",3.63,-0.06
PHIL 107,PHIL,107,"Biondi, Z.",3.40,0.08
PHIL 107,PHIL,107,"Savonius-Wroth, S.",3.39,0.06
PHIL 107,PHIL,107,"Vanderbeek, R.",3.06,-0.29
PHIL 201,PHIL,201,"Ben Moshe, N.",3.53,
PHIL 202,PHIL,202,"Livengood, J.",3.44,0.40
PHIL 202,PHIL,202,"Nowakowski, P.",3.35,0.34
PHIL 202,PHIL,202,"Weaver, C.",3.14,0.19
PHIL 202,PHIL,202,"Lee, S.",3.00,0.08
PHIL 202,PHIL,202,"Fitts, J.",2.80,-0.06
PHIL 202,PHIL,202,"Leland, P.",2.10,-0.56
PHIL 202,PHIL,202,"Muntean, I.",2.08,-0.58
PHIL 203,PHIL,203,"Jensen, E.",3.54,0.40
PHIL 203,PHIL,203,"Biondi, Z.",3.28,0.14
PHIL 203,PHIL,203,"Sanders, K.",3.08,-0.06
PHIL 203,PHIL,203,"Shatalov, K.",3.00,-0.13
PHIL 203,PHIL,203,"Reese, B.",2.88,-0.25
PHIL 206,PHIL,206,"Golovko, K.",3.88,0.68
