course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
PHYS 100,PHYS,100,"Kuo, E.",3.32,
PHYS 101,PHYS,101,"Ansell, K.",3.40,0.25
PHYS 101,PHYS,101,"Zich, R.",3.15,0.01
PHYS 101,PHYS,101,"Shoaf, C.",2.98,-0.16
PHYS 101,PHYS,101,"Kim, S.",2.92,-0.22
PHYS 101,PHYS,101,"Gammie, C.",2.70,-0.44
PHYS 101,PHYS,101,"Yunes, N.",2.67,-0.46
PHYS 101,PHYS,101,"Witek, H.",2.63,-0.51
PHYS 102,PHYS,102,"Holder, G.",3.11,0.03
PHYS 102,PHYS,102,"Ansell, K.",3.02,-0.07
PHYS 102,PHYS,102,"Carrubba, J.",2.77,-0.34
PHYS 211,PHYS,211,"Farina, C.",3.26,0.15
PHYS 211,PHYS,211,"Stelzer, T.",3.19,0.09
PHYS 211,PHYS,211,"Shoaf, C.",3.13,0.03
PHYS 211,PHYS,211,"Stone, M.",3.10,0.00
PHYS 211,PHYS,211,"Kuo, E.",3.08,-0.02
PHYS 211,PHYS,211,"Kim, S.",3.08,-0.02
PHYS 211,PHYS,211,"Goldschmidt, E.",3.07,-0.03
PHYS 211,PHYS,211,"Covey, J.",3.03,-0.08
PHYS 211,PHYS,211,"Tsokaros, A.",3.02,-0.08
PHYS 211,PHYS,211,"Leite Noronha, J.",2.98,-0.12
PHYS 211,PHYS,211,"Willenbrock, S.",2.90,-0.20
PHYS 211,PHYS,211,"Rosenblatt, R.",2.84,-0.26
PHYS 212,PHYS,212,"Mahmood, F.",3.13,0.14
PHYS 212,PHYS,212,"Kahn, Y.",3.08,0.10
PHYS 212,PHYS,212,"Tsokaros, A.",3.05,0.07
PHYS 212,PHYS,212,"Potter, E.",3.05,0.07
PHYS 212,PHYS,212,"Vieira, J.",3.00,0.03
PHYS 212,PHYS,212,"Madhavan, V.",3.00,0.02
PHYS 212,PHYS,212,"Chamberlain, R.",2.98,0.01
PHYS 212,PHYS,212,"Stelzer, T.",2.96,-0.01
PHYS 212,PHYS,212,"Kwiat, P.",2.95,-0.02
PHYS 212,PHYS,212,"Koptieva, O.",2.93,-0.04
PHYS 212,PHYS,212,"Kou, A.",2.92,-0.05
PHYS 212,PHYS,212,"Hooberman, B.",2.85,-0.11
PHYS 213,PHYS,213,"Filippini, J.",3.35,0.13
PHYS 213,PHYS,213,"Wagner, L.",3.34,0.12
PHYS 213,PHYS,213,"Mahmood, F.",3.30,0.08
PHYS 213,PHYS,213,"Cohen, O.",3.28,0.06
PHYS 213,PHYS,213,"Covey, J.",3.24,0.02
PHYS 213,PHYS,213,"Makins, N.",3.08,-0.15
PHYS 213,PHYS,213,"Hassani, S.",3.05,-0.19
PHYS 213,PHYS,213,"Abboud, N.",3.03,-0.21
PHYS 213,PHYS,213,"Bradlyn, B.",2.97,-0.28
PHYS 213,PHYS,213,"Vishveshwara, S.",2.90,-0.35
PHYS 214,PHYS,214,"Tsokaros, A.",3.52,0.24
PHYS 214,PHYS,214,"Filippini, J.",3.51,0.23
PHYS 214,PHYS,214,"Mahmood, F.",3.41,0.11
PHYS 214,PHYS,214,"Cohen, O.",3.39,0.10
PHYS 214,PHYS,214,"Wagner, L.",3.37,0.08
PHYS 214,PHYS,214,"Covey, J.",3.34,0.04
PHYS 214,PHYS,214,"Makins, N.",3.23,-0.08
PHYS 214,PHYS,214,"Abboud, N.",3.19,-0.13
PHYS 214,PHYS,214,"Vishveshwara, S.",3.09,-0.25
PHYS 214,PHYS,214,"Bradlyn, B.",3.04,-0.30
PHYS 214,PHYS,214,"Hassani, S.",2.61,-0.78
PHYS 221,PHYS,221,"Lee, D.",3.75,
PHYS 225,PHYS,225,"Schulte, E.",3.72,0.52
PHYS 225,PHYS,225,"Koptieva, O.",3.41,0.12
PHYS 225,PHYS,225,"Hooberman, B.",3.18,-0.18
PHYS 225,PHYS,225,"Kahn, Y.",3.14,-0.24
PHYS 246,PHYS,246,"Clark, B.",3.85,0.03
PHYS 246,PHYS,246,"Wagner, L.",3.82,-0.04
PHYS 246,PHYS,246,"Noronha-Hostler, J.",3.79,
PHYS 280,PHYS,280,"Grosse Perdekam, M.",3.65,
PHYS 325,PHYS,325,"Okada Da Silva, H.",3.57,0.29
PHYS 325,PHYS,325,"Holder, G.",3.46,0.17
PHYS 325,PHYS,325,"Kuo, E.",3.39,0.10
PHYS 325,PHYS,325,"Witek, H.",3.28,-0.04
PHYS 325,PHYS,325,"Adshead, P.",3.15,-0.19
PHYS 326,PHYS,326,"Golding, I.",3.21,
PHYS 370,PHYS,370,"Covey, J.",3.63,0.22
PHYS 370,PHYS,370,"Beck, D.",3.16,-0.33
PHYS 371,PHYS,371,"Longo, R.",3.78,
PHYS 398,PHYS,398,"Gollin, G.",3.52,0.20
PHYS 398,PHYS,398,"Beck, D.",3.22,-0.18
PHYS 401,PHYS,401,"Filippini, J.",3.14,
PHYS 402,PHYS,402,"Cohen, O.",3.24,
PHYS 403,PHYS,403,"Colla, E.",3.85,
PHYS 404,PHYS,404,"Giannetta, R.",3.05,
PHYS 419,PHYS,419,"Phillips, P.",2.43,0.12
PHYS 419,PHYS,419,"Weaver, C.",2.12,-0.12
PHYS 427,PHYS,427,"Draper, P.",3.34,0.06
PHYS 427,PHYS,427,"Shelton, J.",3.33,0.03
PHYS 427,PHYS,427,"Dahmen, K.",3.28,-0.04
PHYS 435,PHYS,435,"Eckstein, J.",3.63,0.36
PHYS 435,PHYS,435,"Hooberman, B.",3.29,-0.08
PHYS 435,PHYS,435,"Abbamonte, P.",3.17,-0.24
PHYS 435,PHYS,435,"Kou, A.",2.96,-0.51
PHYS 436,PHYS,436,"Eckstein, J.",3.60,0.32
PHYS 436,PHYS,436,"Abbamonte, P.",3.33,-0.07
PHYS 436,PHYS,436,"Chung, S.",3.20,-0.25
PHYS 436,PHYS,436,"Kou, A.",3.17,-0.28
PHYS 446,PHYS,446,"Clark, B.",3.82,0.30
PHYS 446,PHYS,446,"Wagner, L.",3.46,-0.26
PHYS 460,PHYS,460,"Wagner, L.",3.57,0.09
PHYS 460,PHYS,460,"Mahmood, F.",3.53,0.02
PHYS 460,PHYS,460,"Lu, Y.",3.42,-0.15
PHYS 470,PHYS,470,"Neubauer, M.",3.03,
PHYS 485,PHYS,485,"Filippini, J.",3.11,0.01
PHYS 485,PHYS,485,"Vishveshwara, S.",3.09,-0.01
PHYS 486,PHYS,486,"Pfaff, W.",3.23,0.03
PHYS 486,PHYS,486,"Shelton, J.",3.22,0.02
PHYS 486,PHYS,486,"Faulkner, T.",3.22,0.02
PHYS 486,PHYS,486,"Madhavan, V.",2.98,-0.23
PHYS 487,PHYS,487,"Bradlyn, B.",3.27,0.09
PHYS 487,PHYS,487,"Makins, N.",3.24,0.06
PHYS 487,PHYS,487,"Shelton, J.",3.23,0.05
PHYS 487,PHYS,487,"Pfaff, W.",3.21,0.02
PHYS 487,PHYS,487,"Faulkner, T.",3.18,-0.01
PHYS 487,PHYS,487,"Madhavan, V.",3.09,-0.10
PHYS 496,PHYS,496,"Elliott, C.",3.81,
PHYS 498,PHYS,498,"Neubauer, M.",3.71,0.20
PHYS 498,PHYS,498,"Clark, B.",3.20,-0.45
PHYS 504,PHYS,504,"Leite Noronha, J.",3.82,0.15
PHYS 504,PHYS,504,"Noronha, J.",3.61,-0.26
PHYS 505,PHYS,505,"Abbamonte, P.",3.90,
PHYS 508,PHYS,508,"Draper, P.",3.51,
PHYS 513,PHYS,513,"Kwiat, P.",3.53,
PHYS 514,PHYS,514,"Goldschmidt, E.",3.85,
PHYS 515,PHYS,515,"Witek, H.",3.67,0.03
PHYS 515,PHYS,515,"Noronha, J.",3.63,-0.02
PHYS 516,PHYS,516,"Okada Da Silva, H.",3.83,
PHYS 560,PHYS,560,"Hughes, T.",3.92,
PHYS 561,PHYS,561,"Phillips, P.",3.86,
PHYS 580,PHYS,580,"Leite Noronha, J.",3.85,0.37
PHYS 580,PHYS,580,"Song, J.",3.58,-0.07
PHYS 580,PHYS,580,"Leigh, R.",3.29,-0.54
PHYS 581,PHYS,581,"Leigh, R.",3.54,
PHYS 582,PHYS,582,"Leigh, R.",3.83,
PHYS 596,PHYS,596,"Cooper, S.",3.96,
PHYS 598,PHYS,598,"Leigh, R.",3.97,
PHYS 598,PHYS,598,"Song, J.",3.79,
