course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
PS 100,PS,100,"Shen, S.",3.79,0.45
PS 100,PS,100,"Yin, T.",3.77,0.42
PS 100,PS,100,"Cho, J.",3.68,0.32
PS 100,PS,100,"Kim, M.",3.59,0.21
PS 100,PS,100,"Ksiazkiewicz, A.",3.56,0.17
PS 100,PS,100,"Bail, K.",3.55,0.17
PS 100,PS,100,"Yang, Y.",3.53,0.14
PS 100,PS,100,"Rha, Y.",3.50,0.11
PS 100,PS,100,"Mettler, M.",3.41,-0.01
PS 100,PS,100,"Griffin, C.",3.36,-0.07
PS 100,PS,100,"Lee, J.",3.29,-0.15
PS 100,PS,100,"Kourtikakis, K.",3.27,-0.17
PS 100,PS,100,"Jung, S.",2.80,-0.74
PS 101,PS,101,"Sin, G.",3.50,0.06
PS 101,PS,101,"Steur, J.",3.40,-0.04
PS 101,PS,101,"Ahn, S.",3.00,-0.45
PS 152,PS,152,"Livny, A.",3.40,
PS 170,PS,170,"Frost, S.",3.79,0.07
PS 170,PS,170,"Erlenbusch-Ande, V.",3.70,-0.08
PS 180,PS,180,"Yang, Y.",3.65,
PS 186,PS,186,"Grossman, N.",3.85,
PS 199,PS,199,"Grossman, N.",3.57,
PS 199,PS,199,"Mondak, J.",3.26,
PS 199,PS,199,"Mondak, J.",3.29,
PS 199,PS,199,"Mondak, J.",3.43,
PS 199,PS,199,"Prorok, A.",3.10,
PS 199,PS,199,"Grossman, N.",3.71,
PS 201,PS,201,"Acheampong, J.",3.92,0.56
PS 201,PS,201,"Tuhtasunov, I.",3.80,0.45
PS 201,PS,201,"Garcia, L.",3.71,0.35
PS 201,PS,201,"Leffingwell, S.",3.69,0.34
PS 201,PS,201,"Griffin, C.",3.67,0.32
PS 201,PS,201,"Wisnosky, D.",3.64,0.29
PS 201,PS,201,"Jung, S.",3.52,0.17
PS 201,PS,201,"Wong, C.",3.52,0.17
PS 201,PS,201,"Warland, S.",3.49,0.14
PS 201,PS,201,"Henson, A.",3.40,0.06
PS 201,PS,201,"Nie, Q.",3.35,0.01
PS 201,PS,201,"Raynal, I.",3.34,-0.01
PS 201,PS,201,"Pryor, M.",3.30,-0.05
PS 201,PS,201,"Lee, Y.",3.25,-0.09
PS 201,PS,201,"Mullins, S.",3.23,-0.11
PS 201,PS,201,"Hahm, J.",3.19,-0.15
PS 201,PS,201,"Moreira, J.",3.17,-0.17
PS 201,PS,201,"Lewis, A.",3.03,-0.31
PS 201,PS,201,"Cho, H.",2.98,-0.35
PS 201,PS,201,"Khan, A.",2.93,-0.40
PS 201,PS,201,"Steur, J.",2.30,-1.01
PS 202,PS,202,"Rudolph, T.",3.51,
PS 214,PS,214,"Pahre, R.",3.23,
PS 220,PS,220,"Ashley, J.",3.43,
PS 224,PS,224,"Pahre, R.",3.05,
PS 225,PS,225,"Pahre, R.",3.03,
PS 230,PS,230,"Cho, J.",3.79,0.35
PS 230,PS,230,"Ahn, S.",3.76,0.33
PS 230,PS,230,"Moreira, J.",3.42,-0.01
PS 230,PS,230,"Migotto Brandol, L.",3.31,-0.12
PS 230,PS,230,"Kim, S.",3.29,-0.14
PS 230,PS,230,"Cohen, E.",3.28,-0.14
PS 230,PS,230,"Lu, L.",3.20,-0.23
PS 231,PS,231,"Carroll, R.",3.39,
PS 240,PS,240,"Webb Williams, N.",3.49,0.01
PS 240,PS,240,"Livny, A.",3.48,0.00
PS 241,PS,241,"Leffingwell, S.",3.43,0.22
PS 241,PS,241,"Livny, A.",3.22,0.01
PS 241,PS,241,"Tuhtasunov, I.",3.10,-0.10
PS 241,PS,241,"Shen, S.",3.05,-0.16
PS 241,PS,241,"Winters, M.",3.40,
PS 244,PS,244,"Prorok, A.",3.05,
PS 250,PS,250,"Khoury, R.",3.68,
PS 250,PS,250,"Khoury, R.",3.62,
