course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
PSYC 100,PSYC,100,"Clint, E.",3.94,0.55
PSYC 100,PSYC,100,"Hu, Y.",3.66,0.23
PSYC 100,PSYC,100,"Venerable, W.",3.64,0.21
PSYC 100,PSYC,100,"Siler, J.",3.58,0.14
PSYC 100,PSYC,100,"Travis, L.",3.58,0.14
PSYC 100,PSYC,100,"Xu, J.",3.55,0.11
PSYC 100,PSYC,100,"Gardner, J.",3.53,0.09
PSYC 100,PSYC,100,"Lu, Y.",3.53,0.09
PSYC 100,PSYC,100,"Berson, T.",3.53,0.08
PSYC 100,PSYC,100,"Sanchez Hernand, F.",3.52,0.07
PSYC 100,PSYC,100,"Shao, Z.",3.52,0.07
PSYC 100,PSYC,100,"Mueller, R.",3.52,0.07
PSYC 100,PSYC,100,"Yuquimpo, J.",3.48,0.02
PSYC 100,PSYC,100,"Srull, T.",3.46,0.01
PSYC 100,PSYC,100,"Ding, H.",3.46,0.00
PSYC 100,PSYC,100,"Olshan, S.",3.46,0.00
PSYC 100,PSYC,100,"Unal, B.",3.46,0.00
PSYC 100,PSYC,100,"Hwang, S.",3.45,-0.01
PSYC 100,PSYC,100,"Caumiant, E.",3.44,-0.02
PSYC 100,PSYC,100,"Sutkus, L.",3.43,-0.03
PSYC 100,PSYC,100,"Flores, A.",3.42,-0.04
PSYC 100,PSYC,100,"La, R.",3.42,-0.04
PSYC 100,PSYC,100,"Lo, Y.",3.39,-0.07
PSYC 100,PSYC,100,"Chia, L.",3.34,-0.13
PSYC 100,PSYC,100,"Cerna, J.",3.34,-0.14
PSYC 100,PSYC,100,"Kelley, A.",3.32,-0.15
PSYC 100,PSYC,100,"Whitlock, J.",3.32,-0.15
PSYC 100,PSYC,100,"Mao, S.",3.29,-0.18
PSYC 100,PSYC,100,"Erens, J.",3.27,-0.21
PSYC 100,PSYC,100,"Zhang, J.",3.21,-0.28
PSYC 100,PSYC,100,"Saxsma, M.",3.20,-0.29
PSYC 100,PSYC,100,"Quan, X.",3.17,-0.33
PSYC 100,PSYC,100,"Guingrich, A.",3.17,-0.33
PSYC 100,PSYC,100,"Lozano, E.",3.12,-0.38
PSYC 100,PSYC,100,"Perriello, C.",3.02,-0.49
PSYC 100,PSYC,100,"Quasebarth, A.",2.97,-0.55
PSYC 100,PSYC,100,"Shenouda, C.",2.80,-0.74
PSYC 144,PSYC,144,"Dugan, K.",3.91,0.24
PSYC 144,PSYC,144,"Stern, C.",3.52,-0.25
PSYC 201,PSYC,201,"Pantin, K.",3.31,0.15
PSYC 201,PSYC,201,"Rios, K.",3.30,0.14
PSYC 201,PSYC,201,"Conroy, K.",3.27,0.11
PSYC 201,PSYC,201,"Vahedi, M.",3.27,0.10
PSYC 201,PSYC,201,"Fu, H.",3.19,0.02
PSYC 201,PSYC,201,"Hyland, W.",3.12,-0.06
PSYC 201,PSYC,201,"Dai, W.",3.08,-0.10
PSYC 201,PSYC,201,"Shenouda, C.",3.04,-0.14
PSYC 201,PSYC,201,"Vogt, R.",3.03,-0.15
PSYC 201,PSYC,201,"Pang, C.",3.02,-0.16
PSYC 201,PSYC,201,"Chen, F.",2.95,-0.23
PSYC 201,PSYC,201,"Cho, H.",2.90,-0.28
PSYC 201,PSYC,201,"Zarkada, S.",2.70,-0.48
PSYC 204,PSYC,204,"Dolcos, S.",3.46,
PSYC 207,PSYC,207,"Rios, K.",3.64,0.22
PSYC 207,PSYC,207,"Dugan, K.",3.45,-0.01
PSYC 207,PSYC,207,"Junkins, E.",3.43,-0.03
PSYC 207,PSYC,207,"Straka, B.",3.34,-0.14
PSYC 210,PSYC,210,"Sherrill, L.",3.09,0.23
PSYC 210,PSYC,210,"Gulley, J.",3.02,0.17
PSYC 210,PSYC,210,"Juraska, J.",2.69,-0.11
PSYC 214,PSYC,214,"Seaton, E.",2.69,
PSYC 216,PSYC,216,"Hyde, D.",3.34,0.24
PSYC 216,PSYC,216,"Yuile, A.",3.23,0.13
PSYC 216,PSYC,216,"Rizzo, M.",3.21,0.12
PSYC 216,PSYC,216,"Fisher, C.",3.14,0.04
PSYC 216,PSYC,216,"Wood, E.",3.03,-0.06
PSYC 216,PSYC,216,"Rudolph, K.",3.00,-0.09
PSYC 216,PSYC,216,"Yu, Y.",2.95,-0.14
PSYC 220,PSYC,220,"Steel, A.",3.34,
PSYC 224,PSYC,224,"Federmeier, K.",3.26,0.10
PSYC 224,PSYC,224,"Sahakyan, L.",3.14,-0.01
PSYC 224,PSYC,224,"Dulas, M.",3.00,-0.16
PSYC 224,PSYC,224,"Lo, Y.",2.96,-0.20
PSYC 230,PSYC,230,"Lleras Buetti, S.",3.46,0.05
PSYC 230,PSYC,230,"Lleras, A.",3.32,-0.09
PSYC 235,PSYC,235,"Simons, D.",3.12,0.12
PSYC 235,PSYC,235,"Cervantes Boter, V.",3.08,0.09
PSYC 235,PSYC,235,"He, S.",3.04,0.05
PSYC 235,PSYC,235,"Neu Line, E.",2.90,-0.06
PSYC 235,PSYC,235,"Regenwetter, M.",2.90,-0.06
PSYC 235,PSYC,235,"Huang, Y.",2.60,-0.31
PSYC 238,PSYC,238,"Hankin, B.",3.63,0.51
PSYC 238,PSYC,238,"Venerable, W.",3.47,0.34
PSYC 238,PSYC,238,"Berenbaum, H.",3.26,0.12
PSYC 238,PSYC,238,"Sbrilli, M.",3.19,0.05
PSYC 238,PSYC,238,"Kwapil, T.",3.17,0.03
PSYC 238,PSYC,238,"Lu, Y.",3.15,0.01
PSYC 238,PSYC,238,"Hohl, K.",2.99,-0.16
PSYC 238,PSYC,238,"Chia, T.",2.92,-0.24
PSYC 238,PSYC,238,"Han, J.",2.90,-0.25
PSYC 238,PSYC,238,"Ariss, T.",2.82,-0.34
PSYC 238,PSYC,238,"Caumiant, E.",2.79,-0.36
PSYC 238,PSYC,238,"MacNear, K.",2.78,-0.38
PSYC 238,PSYC,238,"Castro Leon, A.",2.71,-0.45
PSYC 238,PSYC,238,"Griffith, J.",2.71,-0.45
PSYC 238,PSYC,238,"Perriello, C.",2.70,-0.46
PSYC 238,PSYC,238,"Monette, M.",2.65,-0.51
PSYC 238,PSYC,238,"Shenouda, C.",2.52,-0.65
PSYC 238,PSYC,238,"Kemp, K.",2.46,-0.70
PSYC 239,PSYC,239,"Todd, N.",3.86,0.09
PSYC 239,PSYC,239,"Kwapil, T.",3.85,0.07
PSYC 239,PSYC,239,"La, R.",3.82,0.01
PSYC 239,PSYC,239,"Blackburn, A.",3.77,-0.10
PSYC 239,PSYC,239,"Jones, M.",3.56,-0.49
PSYC 245,PSYC,245,"Min, H.",3.75,0.20
PSYC 245,PSYC,245,"Lee, S.",3.71,0.16
PSYC 245,PSYC,245,"Adjei, K.",3.66,0.09
PSYC 245,PSYC,245,"Tang, C.",3.62,0.05
PSYC 245,PSYC,245,"Alzate Vanegas, J.",3.58,0.00
PSYC 245,PSYC,245,"Li, L.",3.55,-0.03
PSYC 245,PSYC,245,"Shenouda, C.",3.36,-0.26
PSYC 245,PSYC,245,"Chen, L.",3.24,-0.40
PSYC 245,PSYC,245,"Li, M.",3.24,-0.40
PSYC 248,PSYC,248,"Shipstead, Z.",3.85,0.30
PSYC 248,PSYC,248,"Adhimoolam, B.",3.77,0.20
PSYC 248,PSYC,248,"Yang, R.",3.54,-0.09
PSYC 248,PSYC,248,"Holden, L.",3.53,-0.10
PSYC 248,PSYC,248,"Kelley, A.",2.93,-0.87
PSYC 250,PSYC,250,"Roberts, B.",3.43,0.15
PSYC 250,PSYC,250,"Briskin, J.",3.35,0.06
PSYC 250,PSYC,250,"Piemonte, J.",3.16,-0.13
PSYC 255,PSYC,255,"Hotaling, J.",3.38,
PSYC 296,PSYC,296,"Roberts, B.",3.73,
PSYC 302,PSYC,302,"Rhodes, J.",3.34,
PSYC 306,PSYC,306,"Cohen, D.",3.80,
PSYC 308,PSYC,308,"Rios, K.",3.80,0.05
PSYC 308,PSYC,308,"Todd, N.",3.71,-0.12
PSYC 312,PSYC,312,"Rodriguez Palac, V.",3.79,0.16
PSYC 312,PSYC,312,"Lyubansky, M.",3.43,-0.38
PSYC 313,PSYC,313,"Gulley, J.",2.92,0.04
PSYC 313,PSYC,313,"Sherrill, L.",2.66,-0.20
PSYC 318,PSYC,318,"Travis, L.",3.54,
PSYC 320,PSYC,320,"Wood, E.",3.75,
PSYC 321,PSYC,321,"Adhimoolam, B.",3.92,
PSYC 324,PSYC,324,"Rudolph, K.",3.31,
PSYC 328,PSYC,328,"Briley, D.",3.84,0.26
PSYC 328,PSYC,328,"Shenouda, C.",3.26,-0.60
PSYC 331,PSYC,331,"Shipstead, Z.",3.60,0.23
PSYC 331,PSYC,331,"Montag, J.",3.12,-0.23
PSYC 332,PSYC,332,"Mischkowski, D.",3.76,0.39
PSYC 332,PSYC,332,"Vahedi, M.",3.75,0.38
PSYC 332,PSYC,332,"Weiner, D.",3.39,-0.11
PSYC 332,PSYC,332,"Javalagi, A.",3.20,-0.37
PSYC 332,PSYC,332,"Cohen, D.",2.85,-0.85
PSYC 333,PSYC,333,"Vahedi, M.",3.92,0.75
PSYC 333,PSYC,333,"Weiner, D.",3.20,-0.12
PSYC 333,PSYC,333,"Cohen, D.",3.11,-0.23
PSYC 336,PSYC,336,"Hankin, B.",3.04,
PSYC 336,PSYC,336,"Hunter, C.",3.67,
PSYC 336,PSYC,336,"Hunter, C.",3.51,
PSYC 336,PSYC,336,"Hunter, C.",3.79,
PSYC 336,PSYC,336,"Cohen, J.",3.27,
PSYC 336,PSYC,336,"Hunter, C.",3.80,0.33
PSYC 336,PSYC,336,"Lyubansky, M.",3.64,0.11
PSYC 336,PSYC,336,"Thakur, H.",3.52,-0.05
PSYC 336,PSYC,336,"Cohen, J.",3.43,-0.17
PSYC 339,PSYC,339,"Lyubansky, M.",3.73,
PSYC 340,PSYC,340,"Hunter, C.",3.97,0.31
PSYC 340,PSYC,340,"Graham, J.",3.86,0.00
PSYC 340,PSYC,340,"Schlesinger, R.",3.75,-0.31
PSYC 340,PSYC,340,"Menard, C.",3.59,
PSYC 341,PSYC,341,"Hunter, C.",3.90,0.17
PSYC 341,PSYC,341,"Graham, J.",3.65,-0.35
PSYC 350,PSYC,350,"Fraley, R.",3.77,
PSYC 353,PSYC,353,"Srull, T.",3.53,0.36
PSYC 353,PSYC,353,"Stern, C.",3.10,-0.08
PSYC 353,PSYC,353,"Kurdi, B.",2.96,-0.21
PSYC 355,PSYC,355,"Lleras Buetti, S.",3.55,
PSYC 361,PSYC,361,"Zimmerman, B.",3.32,0.00
PSYC 361,PSYC,361,"Fabiani, M.",3.32,0.00
PSYC 363,PSYC,363,"Yu, Y.",3.67,0.36
PSYC 363,PSYC,363,"Hyde, D.",3.60,0.29
PSYC 363,PSYC,363,"Shenouda, C.",3.16,-0.15
PSYC 379,PSYC,379,"Todd, N.",3.59,0.34
PSYC 379,PSYC,379,"Berenbaum, H.",3.19,-0.07
PSYC 396,PSYC,396,"Hotaling, J.",3.42,
PSYC 396,PSYC,396,"Dolcos, F.",3.53,
PSYC 396,PSYC,396,"Sleiman Haidar, B.",3.42,
PSYC 402,PSYC,402,"Dolcos, S.",3.66,
PSYC 403,PSYC,403,"Steel, A.",3.85,0.29
PSYC 403,PSYC,403,"Cohen, N.",3.62,-0.02
PSYC 403,PSYC,403,"Schwarb, H.",3.55,-0.11
PSYC 404,PSYC,404,"Dolcos, F.",3.52,
PSYC 408,PSYC,408,"Derringer, J.",3.51,
PSYC 413,PSYC,413,"Gulley, J.",3.78,
PSYC 413,PSYC,413,"Gulley, J.",2.98,
PSYC 414,PSYC,414,"Hinman, J.",3.07,
PSYC 417,PSYC,417,"Liang, N.",3.40,
PSYC 421,PSYC,421,"Dolcos, F.",3.34,
PSYC 423,PSYC,423,"Fisher, C.",2.89,
PSYC 425,PSYC,425,"Montag, J.",3.03,
PSYC 433,PSYC,433,"Rhodes, J.",3.01,
PSYC 445,PSYC,445,"Jun, S.",3.61,0.34
PSYC 445,PSYC,445,"Sadaghiani, S.",3.22,-0.12
PSYC 450,PSYC,450,"Federmeier, K.",3.70,
PSYC 453,PSYC,453,"Beck, D.",3.51,0.07
PSYC 453,PSYC,453,"Goense, J.",3.26,-0.23
PSYC 455,PSYC,455,"Choi, J.",3.43,0.08
PSYC 455,PSYC,455,"Liu, Y.",3.40,0.03
PSYC 455,PSYC,455,"Zhang, B.",3.24,-0.19
PSYC 462,PSYC,462,"Hyde, D.",3.12,
PSYC 465,PSYC,465,"Ruedas-Gracia, N.",3.74,0.29
PSYC 465,PSYC,465,"Ratner, K.",3.62,0.14
PSYC 465,PSYC,465,"Banerjee, S.",3.21,-0.38
PSYC 468,PSYC,468,"Derringer, J.",3.91,0.56
PSYC 468,PSYC,468,"Glass, S.",3.66,0.31
PSYC 468,PSYC,468,"Ashur, Y.",3.38,0.02
PSYC 468,PSYC,468,"Spielmann, J.",3.08,-0.28
PSYC 475,PSYC,475,"Chen, Y.",3.66,0.09
PSYC 475,PSYC,475,"Zhang, B.",3.60,-0.02
PSYC 489,PSYC,489,"Hummel, J.",3.64,
PSYC 490,PSYC,490,"Cervantes Boter, V.",3.68,
PSYC 496,PSYC,496,"Hankin, B.",3.96,0.11
PSYC 496,PSYC,496,"Schlesinger, R.",3.86,-0.11
PSYC 496,PSYC,496,"Longaker, J.",3.16,
PSYC 496,PSYC,496,"Lyubansky, M.",3.86,
PSYC 496,PSYC,496,"Adhimoolam, B.",3.95,
PSYC 496,PSYC,496,"Adhimoolam, B.",3.93,
PSYC 496,PSYC,496,"Lyubansky, M.",3.76,
PSYC 496,PSYC,496,"Lyubansky, M.",3.65,
PSYC 496,PSYC,496,"Kwapil, T.",3.80,
PSYC 506,PSYC,506,"Koehn, H.",3.79,
PSYC 507,PSYC,507,"Koehn, H.",3.83,
PSYC 514,PSYC,514,"Hummel, J.",3.66,
PSYC 534,PSYC,534,"Regenwetter, M.",3.94,
PSYC 594,PSYC,594,"Xia, Y.",3.96,
