course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
REL 101,REL,101,"Layton, R.",3.58,
REL 104,REL,104,"Van Kanegan, N.",3.57,0.32
REL 104,REL,104,"Stover, R.",3.48,0.24
REL 104,REL,104,"Tu, H.",3.43,0.19
REL 104,REL,104,"Werkheiser, A.",3.36,0.12
REL 104,REL,104,"Haight, N.",3.08,-0.14
REL 104,REL,104,"Rives, T.",2.98,-0.24
REL 104,REL,104,"Chmiel, A.",2.63,-0.56
REL 108,REL,108,"Ebel, J.",3.78,0.19
REL 108,REL,108,"Rosenstock, B.",3.77,0.17
REL 108,REL,108,"Thurston, S.",3.63,-0.05
REL 108,REL,108,"King, S.",3.51,-0.22
REL 109,REL,109,"Ebel, J.",3.84,0.12
REL 109,REL,109,"Thurston, S.",3.71,-0.07
REL 109,REL,109,"Rosenstock, B.",3.64,-0.17
REL 110,REL,110,"Karipek, A.",3.88,0.27
REL 110,REL,110,"LoBue, A.",3.87,0.27
REL 110,REL,110,"Saathoff, J.",3.85,0.24
REL 110,REL,110,"Watson, A.",3.84,0.23
REL 110,REL,110,"Fischer, E.",3.84,0.22
REL 110,REL,110,"Katz, M.",3.83,0.21
REL 110,REL,110,"Voo, S.",3.83,0.21
REL 110,REL,110,"Werkheiser, A.",3.80,0.18
REL 110,REL,110,"Abusharara, B.",3.79,0.17
REL 110,REL,110,"Redeker, E.",3.78,0.15
REL 110,REL,110,"Justice, D.",3.76,0.13
REL 110,REL,110,"Warren, C.",3.75,0.12
REL 110,REL,110,"Folkenroth, E.",3.75,0.11
REL 110,REL,110,"Jones, H.",3.74,0.10
REL 110,REL,110,"Stover, R.",3.72,0.07
REL 110,REL,110,"Tschirki, A.",3.72,0.07
REL 110,REL,110,"Tu, H.",3.71,0.07
REL 110,REL,110,"Lloyd, N.",3.71,0.06
REL 110,REL,110,"Robinson, S.",3.69,0.05
REL 110,REL,110,"Rives, T.",3.66,0.00
REL 110,REL,110,"Ward, M.",3.62,-0.04
REL 110,REL,110,"Karipek, Y.",3.61,-0.06
REL 110,REL,110,"Boyle, E.",3.55,-0.14
REL 110,REL,110,"Ebel, J.",3.42,-0.29
REL 110,REL,110,"Layton, R.",3.40,-0.32
REL 110,REL,110,"Haight, N.",3.38,-0.35
REL 120,REL,120,"Rosenblatt, E.",3.76,0.50
REL 120,REL,120,"Weiss, D.",2.91,-0.30
REL 132,REL,132,"Mayer, A.",3.62,
REL 134,REL,134,"McKinnis, L.",3.43,0.14
REL 134,REL,134,"Justice, D.",2.77,-0.43
REL 208,REL,208,"Mehta, R.",3.94,
REL 214,REL,214,"Aghighi, A.",3.74,0.03
REL 214,REL,214,"Ali, M.",3.72,0.00
REL 223,REL,223,"Ali, M.",3.92,0.40
REL 223,REL,223,"Aghighi, A.",3.60,-0.01
REL 223,REL,223,"Hoffman, V.",2.96,-0.82
REL 236,REL,236,"Ebel, J.",3.66,
REL 260,REL,260,"Ali, M.",3.83,
REL 286,REL,286,"Newman, A.",3.57,
REL 287,REL,287,"Mayer, A.",3.35,0.26
REL 287,REL,287,"Callahan, C.",3.01,-0.05
REL 350,REL,350,"Tosato, A.",3.00,
REL 403,REL,403,"Erten, H.",3.81,
REL 495,REL,495,"Tosato, A.",3.31,
