course_code,subject,course_number,instructor_name,instructor_avg_gpa,gpa_delta_from_course
SOC 100,SOC,100,"Miles, B.",3.86,0.36
SOC 100,SOC,100,"Chia, J.",3.85,0.35
SOC 100,SOC,100,"Jobe, F.",3.84,0.34
SOC 100,SOC,100,"Chica Duque, F.",3.77,0.24
SOC 100,SOC,100,"Gonzalez, K.",3.77,0.24
SOC 100,SOC,100,"Steward, D.",3.75,0.22
SOC 100,SOC,100,"Vogler, S.",3.74,0.21
SOC 100,SOC,100,"Teimourigerdeh, A.",3.73,0.19
SOC 100,SOC,100,"Jackson, B.",3.70,0.15
SOC 100,SOC,100,"Moon, C.",3.65,0.08
SOC 100,SOC,100,"Dill, B.",3.65,0.08
SOC 100,SOC,100,"Richardson, J.",3.64,0.07
SOC 100,SOC,100,"Gifford, H.",3.63,0.05
SOC 100,SOC,100,"Rodriguez-Reyes, M.",3.63,0.05
SOC 100,SOC,100,"Mansouri, S.",3.62,0.04
SOC 100,SOC,100,"Lu, Q.",3.61,0.02
SOC 100,SOC,100,"Eliyahu, M.",3.60,0.01
SOC 100,SOC,100,"Moqadam, M.",3.58,-0.02
SOC 100,SOC,100,"Karipek, Y.",3.58,-0.02
SOC 100,SOC,100,"Kaiser, A.",3.57,-0.03
SOC 100,SOC,100,"Elmeligy, N.",3.55,-0.05
SOC 100,SOC,100,"Sallah, I.",3.51,-0.11
SOC 100,SOC,100,"Leach, V.",3.50,-0.12
SOC 100,SOC,100,"Madani Ghahfarr, S.",3.50,-0.12
SOC 100,SOC,100,"Rijo Sanchez, V.",3.50,-0.13
SOC 100,SOC,100,"Xiao, Z.",3.49,-0.13
SOC 100,SOC,100,"Alexander, A.",3.47,-0.17
SOC 100,SOC,100,"Bircan Afsin, S.",3.46,-0.18
SOC 100,SOC,100,"Holmes, J.",3.45,-0.19
SOC 100,SOC,100,"Zahoor, M.",3.43,-0.21
SOC 100,SOC,100,"Jeffery, N.",3.39,-0.26
SOC 100,SOC,100,"Karipek, A.",3.38,-0.28
SOC 100,SOC,100,"Puckett, C.",3.36,-0.31
SOC 100,SOC,100,"Rasheed, U.",3.35,-0.32
SOC 100,SOC,100,"Zayed, H.",3.07,-0.70
SOC 101,SOC,101,"Bircan Afsin, S.",3.86,0.49
SOC 101,SOC,101,"Hernandez, J.",3.83,0.47
SOC 101,SOC,101,"Lovell, E.",3.64,0.29
SOC 101,SOC,101,"Lee, M.",3.42,0.07
SOC 101,SOC,101,"Vogler, S.",3.40,0.06
SOC 101,SOC,101,"Miller, L.",3.36,0.02
SOC 101,SOC,101,"Elmeligy, N.",3.22,-0.12
SOC 101,SOC,101,"Moussawi, G.",3.15,-0.18
SOC 101,SOC,101,"Lee, J.",3.07,-0.25
SOC 101,SOC,101,"Clarke, C.",2.82,-0.50
SOC 160,SOC,160,"Khneisser, M.",3.64,0.32
SOC 160,SOC,160,"O'Neill, B.",3.36,0.01
SOC 160,SOC,160,"Leicht, K.",3.28,-0.07
SOC 161,SOC,161,"Dill, B.",3.35,
SOC 163,SOC,163,"Redstone, I.",3.61,0.03
SOC 163,SOC,163,"Mendenhall, R.",3.50,-0.10
SOC 196,SOC,196,"Marshall, A.",3.32,
SOC 196,SOC,196,"Miles, B.",3.55,
SOC 196,SOC,196,"Buckley, C.",3.21,
SOC 196,SOC,196,"Gille, Z.",3.60,
SOC 199,SOC,199,"McNulty, D.",3.80,0.10
SOC 199,SOC,199,"Smith, M.",3.75,0.01
SOC 199,SOC,199,"Daniels, R.",3.65,-0.14
SOC 199,SOC,199,"Smith, M.",3.73,
SOC 199,SOC,199,"McNulty, D.",3.68,
SOC 200,SOC,200,"Holmes, J.",3.76,0.42
SOC 200,SOC,200,"O'Dowd, K.",3.70,0.36
SOC 200,SOC,200,"Wilkins, K.",3.56,0.23
SOC 200,SOC,200,"Zayed, H.",3.51,0.17
SOC 200,SOC,200,"Frumer, D.",3.49,0.16
SOC 200,SOC,200,"Teimourigerdeh, A.",3.41,0.07
SOC 200,SOC,200,"Soener, M.",3.21,-0.12
SOC 225,SOC,225,"Jones, C.",3.67,0.45
SOC 225,SOC,225,"Hernandez, J.",3.67,0.44
SOC 225,SOC,225,"Miles, B.",3.20,-0.05
SOC 225,SOC,225,"May, R.",3.11,-0.14
SOC 226,SOC,226,"Rasheed, U.",3.85,0.38
SOC 226,SOC,226,"Khneisser, M.",3.59,0.06
SOC 226,SOC,226,"Soener, M.",3.50,-0.05
SOC 226,SOC,226,"O'Neill, B.",3.21,-0.39
SOC 230,SOC,230,"Redstone, I.",3.54,
SOC 270,SOC,270,"Buckley, C.",2.86,
SOC 273,SOC,273,"Miles, B.",3.67,0.10
SOC 273,SOC,273,"Miller, L.",3.48,-0.10
SOC 274,SOC,274,"Kamis, C.",3.43,0.09
SOC 274,SOC,274,"Miller, L.",3.21,-0.15
SOC 275,SOC,275,"Marshall, A.",3.79,0.34
SOC 275,SOC,275,"Atiles Osoria, J.",3.69,0.22
SOC 275,SOC,275,"Vogler, S.",3.51,0.00
SOC 275,SOC,275,"Ladegaard, I.",3.37,-0.17
SOC 275,SOC,275,"Frumer, D.",3.27,-0.28
