course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
AFRO 100,AFRO,100,Intro to African American St,3 Hours,"Interdisciplinary introduction to the basic concepts and literature in the disciplines covered by African American studies; surveys the major approaches to the study of African Americans across several academic disciplines including economics, education, psychology, literature, political science, sociology and others.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,3.25
AFRO 101,AFRO,101,"Black America, 1619-Present",3 Hours,"Sociohistorical survey of African American experiences from the West African background to North America, from the 17th century to the present. Same as HIST 174.",,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,3.01
AFRO 103,AFRO,103,Black Women in the Diaspora,3 Hours,"Explores the historical, social, economic, cultural and political realities of black women in the African diaspora with an emphasis on the U.S., Canada, Britain, Africa and the English speaking Caribbean. How macro structures such as slavery, imperialism, colonialism, capitalism, and globalization shaped and continue to circumscribe the lives of black women across various geographic regions. Discussion of the multiple strategies/efforts that black women employ both in the past and present to ensure the survival of the self and the community. Same as AFST 103 and GWS 103.",,,,,,2.92
AFRO 105,AFRO,105,Black Literature in America,3 Hours,"Survey of the literary work of Black Americans from 1746 to the present. Exploration of the social, cultural, and political contexts that have shaped the Black American literary tradition by analyzing not only poetry, drama, autobiographical narratives, short stories, and novels, but also folktales, spirituals, and contemporary music. Same as ENGL 150.",,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,3.42
AFRO 106,AFRO,106,Hist Arch Americas,3 Hours,Same as ANTH 106. See ANTH 106.,,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,
AFRO 122,AFRO,122,Russia and Black America,3 Hours,Same as CWL 122 and RUSS 122. See RUSS 122.,,,Cultural Studies - US Minority,,,
AFRO 132,AFRO,132,African American Music,3 Hours,"Survey of African American music, from its origins to the present with a focus on understanding details of musical performance and the ways in which music interacts with its social and political context. Examines genres such as spirituals, the blues, jazz, R&B, soul, and hip-hop. No previous musical background is necessary.",,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,3.22
AFRO 134,AFRO,134,"Religion, Race, and Resistance",3 Hours,Same as REL 134. See REL 134.,,,Cultural Studies - US Minority,,,
AFRO 199,AFRO,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
AFRO 201,AFRO,201,US Racial & Ethnic Politics,3 Hours,"Same as AAS 201, LLS 201, and PS 201. See PS 201.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,
AFRO 211,AFRO,211,Intro to African-American Film,3 Hours,Same as MACS 211. See MACS 211.,,,Cultural Studies - US Minority,,,
AFRO 212,AFRO,212,Introduction to African American Theatre,3 Hours,Same as THEA 263. See THEA 263.,,,Cultural Studies - US Minority,,,
AFRO 215,AFRO,215,US Citizenship Comparatively,3 Hours,"Same as AAS 215, AIS 295, GWS 215, and LLS 215. See AAS 215.",,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,
AFRO 220,AFRO,220,Intro to Research Methods AfAm,3 Hours,Introduction to various methodologies to be employed in the interdisciplinary field of African American/Africana studies. Prerequisite: AFRO 100.,Prerequisite: AFRO 100.,,,,,
AFRO 221,AFRO,221,History of the Prison,3 Hours,Same as HIST 219 and LA 221. See LA 221.,,,,,,
AFRO 224,AFRO,224,Humanist Persp of Afro-Am Exp,3 Hours,"Presents the Afro-centric world view as it was manifested in traditional African society and in the Afro-American slave community. Shows that this world view merged with European notions of art and humanity, as revealed in modern Afro-American literature, art, and music. Same as CWL 226. Approved for both letter and S/U grading. Prerequisite: AFRO 100 or consent of instructor.",Prerequisite: AFRO 100 or consent of instructor.,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,3.85
AFRO 226,AFRO,226,Black Women Contemp US Society,3 Hours,"Sociological perspective of the experience of African American women in the contemporary United States. Specifically, an examination of relationships between the economy, state policy, culture, work and motherhood for this demographic group. Same as GWS 226 and SOC 223.",,,,,,3.61
AFRO 227,AFRO,227,Studies in Black Television,3 Hours,"Explores topics in black television in order to a) analyze the economic and political factors that lead to successful series; b) historicize black television of the Diaspora, including the U.S., Caribbean, UK, Canada, and Nigeria; c) identify conventions and define a ""black aesthetic;"" d) determine how black series in one genre (such as sitcoms or dramas) aid in mapping other genres; and e) discuss how these series navigate stereotypes and cultural shifts. Same as MACS 227.",,,,,,
