course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ARTH 110,ARTH,110,Introduction to the History of Art and Visual Culture,3 Hours,"This course introduces participants to foundational questions that shape the disciplines of art history and visual studies. It is not a comprehensive survey. Rather, it provides students critical frames for examining the visual world from various temporal, geographic, and methodological perspectives. Students will investigate the history, interpretation, and criticism of selected cultural objects, images, places, and spaces across time and around the globe.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
ARTH 111,ARTH,111,Ancient to Medieval Art,4 Hours,"[IAI Code: F2901] Development of the visual arts in Western Europe and the Near East in their cultural contexts from prehistoric times until the early fifteenth century; includes Egyptian, Greek, Roman, and medieval art and architecture. Same as MDVL 111.",,,,,,
ARTH 112,ARTH,112,Renaissance to Modern Art,4 Hours,[IAI Code: F2902] Development of the visual arts in Western Europe and the United States in their cultural contexts from the early fifteenth century to the present.,,,,,,
ARTH 211,ARTH,211,Design History Survey,3 Hours,"The historical, social and cultural context of design concentrating on manufactured products, communication, media and design from the Industrial Revolution to the present. Lectures, seminars and individual research projects.",,,,,,3.65
ARTH 212,ARTH,212,East Asian Art History,3 Hours,Same as EALC 212. See EALC 212.,,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
ARTH 214,ARTH,214,Art in China,3 Hours,"Introduction to the visual arts in China and the practices of their exhibition in public museums. The structure of the course, which follows that of our textbook, is both thematic and chronological. The themes encompass objects made for tombs; objects made at the imperial court; objects made for worship; objects exchanged among members of the elite; and objects bartered in a market place. Final projects involve designing an exhibition. Same as EALC 214.",,,Cultural Studies - Non-West,,,3.44
ARTH 215,ARTH,215,Greek Art,3 Hours,"Survey of architecture, sculpture, and painting of the Greek world from the geometric period to the beginning of the Christian era. Same as CLCV 217.",,,,,,
ARTH 218,ARTH,218,Ancient Greek Sanctuaries,3 Hours,Same as CLCV 232 and REL 232. See CLCV 232.,,,,,,
ARTH 219,ARTH,219,Islamic Gardens & Architecture,3 Hours,Same as ARCH 222 and LA 222. See LA 222.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
ARTH 220,ARTH,220,African Arts and Architecture,3 Hours,"Africa’s arts and architectural forms are as diverse and dynamic as its peoples. In chronological and thematic order, this course examines the emergence of some of Africa’s earliest rock arts, architectural forms, textiles/cloths, and more recent artistic expressions. We focus on internal and external influences such as long-distance trade, ancient Christianity, Islam, and European colonialism shaped local aesthetic innovations and the built environment. We also highlight Africa’s influences on global modernist artistic and cultural expressions.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
ARTH 222,ARTH,222,Medieval Art,3 Hours,The arts of Byzantium and Western Europe from the early Christian era to the Renaissance. Same as MDVL 222.,,,,,,
ARTH 230,ARTH,230,Italian Renaissance Art,3 Hours,"Architecture, painting, and sculpture of Italy during the Renaissance.",,,,,,2.62
ARTH 231,ARTH,231,Northern Renaissance Art,3 Hours,"Architecture, painting, sculpture, and minor arts of Europe outside Italy in the fifteenth and sixteenth centuries. Same as MDVL 231.",,,,,,
ARTH 235,ARTH,235,"Art, Power and Culture in 17th-Century Europe",3 Hours,"Explores the diverse functions of the visual arts in Europe in a period of religious strife; expanding global trade; the rise of early capitalism, and the consolidation of absolutist regimes.",,,,,,3.20
ARTH 240,ARTH,240,Art of the Nineteenth Century,3 Hours,"Architecture, painting, sculpture, and minor arts of France, Germany, Spain, and England in the nineteenth century.",,,,,,3.26
ARTH 241,ARTH,241,"Modern Art, 1880-1940",3 Hours,"How did artists reconceive how art looks and functions in response to social, political, and technological changes accompanying modernization in Europe from 1880 to 1940? Topics include the avant-garde, the relationships between modernism and “primitivism,” pure abstraction, responses to war and political upheaval, modern design, and realism. Although primarily focused in Europe, we also touch on related modern movements in Japan, Mexico, and the United States.",,,Humanities - Lit & Arts,,,3.28
ARTH 242,ARTH,242,Art Since 1940,3 Hours,"Considers questions that artists and critics faced in the decades between World War II and present: Should art focus on its own material processes or open to historical flux? Create cultural myths or deconstruct them? Who participates in the art world? How do differences in experience inform the work? We will consider, and reconsider, art-historical narratives of these decades, in order to construct a prehistory of our current moment.",,,Humanities - Lit & Arts,,,3.26
ARTH 250,ARTH,250,American Art,3 Hours,Surveys American art and architecture from the colonial period to the present.,,,,,,3.16
ARTH 257,ARTH,257,History of Photography,3 Hours,"Examines a history of photography from its origin to the present, including both documentary and artistic approaches; considers relationships with other arts.",,,,,,3.44
ARTH 260,ARTH,260,Graffiti and Murals,3 Hours,"From Bronx walls to the Berlin Wall, from ancient palatial decorations to spray-can art, murals and graffiti have been revolutionary political tools, objects of aesthetic contemplation, and vehicles for identity formation. Primarily a lecture course that examines ancient and early modern cases from different cultures, as well as focusing on modern examples from Latin America and the USA. Same as LLS 260.",,,,,,2.91
ARTH 299,ARTH,299,Spec Topics in Art History,3 Hours,Special topics in Art History Courses. Topics and subject matter to be published in course listings. May be repeated to a maximum of 12 hours but no more than 6 hours in any one term. Prerequisite: Sophomore standing in Art and Design.,Prerequisite: Sophomore standing in Art and Design.,,,,,3.13
