course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ATMS 100,ATMS,100,Introduction to Meteorology,3 Hours,"[IAI Code: P1910] Introduces the student to the basic concepts and principles of meteorology via the interpretation of weather maps and charts; uses current weather information to illustrate key concepts, emphasizes the physical atmospheric processes responsible for weather. By the end of the class students will be able to interpret and make basic weather forecasts as well as be able to explain basic atmospheric phenomena. Same as GGIS 100.",,,Nat Sci & Tech - Phys Sciences,,,
ATMS 120,ATMS,120,Severe and Hazardous Weather,3 Hours,"Most extreme manifestations of weather and climate are analyzed in terms of their physical basis and their historical, economic and human consequences. Emphasis is placed on the interplay between technological advances, the evolution of meteorology as a science, and the impacts of extreme weather (winter storms, floods, severe thunderstorms, hurricanes, El Nino). Technological advances include satellites, weather radars and profilers, and computer models used for weather prediction. Same as ESE 120.",,,"Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",,,
ATMS 140,ATMS,140,Climate and Global Change,3 Hours,"Introduces climate change and its interactions with the global environment; surveys the physical, chemical, biological and social factors contributing to global change; includes topics such as greenhouse warming, acid rain, ozone depletion, distinguishes anthropogenic influences and natural variability of the earth system; addresses societal impacts, mitigation strategies, policy options and other human responses to global change. Same as ESE 140.",,,Nat Sci & Tech - Phys Sciences,,,
ATMS 180,ATMS,180,Orientation to Atmospheric Sciences,0 Hours,"First semester atmospheric science majors meet with department faculty and other mentors, learn of department organizations and structure, become aware of professional development opportunities and internships, and learn of career possibilities in the discipline. Approved for S/U grading only. Prerequisite: Restricted to first-semester Atmospheric Sciences majors.",Prerequisite: Restricted to first-semester Atmospheric Sciences majors.,,,,,
ATMS 199,ATMS,199,Undergraduate Open Seminar,1 to 5 Hours,Special topics each term. May be repeated.,,,,,,
ATMS 201,ATMS,201,General Physical Meteorology,3 Hours,"Introduction to physical processes in the atmosphere, focusing on those relevant to weather and storms. Emphasizes quantitative problem solving. Topics include atmospheric structure, atmospheric thermodynamics, clouds, synoptic meteorology, weather forecasting, and storms. For students in atmospheric sciences, physics, mathematics, engineering, and other physical and natural sciences.",,,,,,
ATMS 202,ATMS,202,General Physical Climate,3 Hours,"Study of the physical process that govern Earth's climate. Students will learn basic principles of large-scale circulations, radiation and energy balances and the role of greenhouse gases, paleoclimate, how climate is changing in the present day, and how climate is projected to change in the future. Societal impacts of climate change and climate change policy are also addressed. Students gain hands-on experience by performing data analysis on historical and projected climate data. Prerequisite: MATH 220 or MATH 221.",Prerequisite: MATH 220 or MATH 221.,,Quantitative Reasoning II,,,
ATMS 207,ATMS,207,Weather and Climate Data Science,3 Hours,"Introduces python programming fundamentals as applied to real-world problems in the atmospheric sciences. Students will develop an understanding of the structure and use of weather and climate datasets; use computers for data representation, presentation, and visualization; and implement introductory methods for weather and climate data reduction and statistical analysis. Prerequisite: Prior enrollment in STAT 107 is recommended but not required.",Prerequisite: Prior enrollment in STAT 107 is recommended but not required.,,,,,
ATMS 270,ATMS,270,Communicating Disasters,3 Hours,"Why do people ignore tornado warnings? Who is most at risk when a heat wave hits, and why? Through the lens of disaster communication, students examine how risk perception, uncertainty, and social factors, including race, gender, class, and language, shape how communities receive and respond to warnings for severe storms, floods, hurricanes, winter storms, heat waves, wildfires, and climate change. The course culminates in the design of an original, evidence-based disaster communication campaign. Same as CMN 270.",,,Social & Beh Sci - Beh Sci,,,
ATMS 301,ATMS,301,Atmospheric Thermodynamics,3 Hours,"Introduction to fundamental thermodynamic processes that occur in Earth's atmosphere. Defines, describes, and derives various thermodynamic concepts including (1) the conservation of energy, (2) laws of thermodynamics, (3) kinetic theory, (4) phase transitions of water, and (5) thermodynamic processes of the atmosphere. Applies thermodynamic concepts to atmospheric structure and stability, water phase transformations, and energy and mass transport within the atmosphere. Prerequisite: ATMS 201, MATH 241, and PHYS 211.","Prerequisite: ATMS 201, MATH 241, and PHYS 211.",,,,,
