course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CLCV 100,CLCV,100,Vocabulary Building from Greek and Latin Roots,3 Hours,"Study of the Greek and Latin roots of English and vocabulary building. Analysis of Greek and Latin roots, prefixes, and suffixes in variety of disciplines and fields (humanities, social sciences, mathematics, science, politics).",,,,,,
CLCV 102,CLCV,102,Medical Terms-GRK & LAT Roots,3 Hours,Introduction to the study of Greek and Latin medical terms in various medical fields and to the linguistic patterns governing the combination of various roots through practical application of usage.,,,,,,
CLCV 111,CLCV,111,Mythology of Greece and Rome,2 Hours,"Study of the major myths of Greece and Rome and their impact upon later art, music, and literature. Credit is not given for both CLCV 111 and CLCV 115.",,Credit is not given for both CLCV 111 and CLCV 115.,,,,
CLCV 114,CLCV,114,Introduction to Ancient Greek Culture,3 Hours,"Introductory study of ancient Greek literature, art, and culture.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CLCV 115,CLCV,115,Mythology of Greece and Rome,3 Hours,"Studies the major myths of Greece and Rome and their impact upon later art, music, and literature. Shares two hours of lecture with CLCV 111; additional hour of lecture-discussion for a closer analysis of topics. Credit is not given for both CLCV 115 and CLCV 111.",,Credit is not given for both CLCV 115 and CLCV 111.,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CLCV 116,CLCV,116,Introduction to Ancient Roman Culture,3 Hours,"Introductory study of ancient Roman literature, art, and culture.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
CLCV 120,CLCV,120,The Classical Tradition,3 Hours,"Survey of the Greco-Roman tradition from late antiquity to the present. Examination of Greco-Roman culture in medieval Christianity and Islam, the literary tradition of the Troy tale, the rediscovery of Greek texts and the Florentine Renaissance, classical allusions in early modern literature, the foundations of modern political movements, and the persistence of the classical tradition in contemporary popular culture.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CLCV 131,CLCV,131,"Classical Archaeology, Greece",3 Hours,Introduction to the archaeology of ancient Greece and the Aegean world.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
CLCV 132,CLCV,132,"Class Archaeology, Rome-Italy",3 Hours,Introduction to the archaeology of Italy and Rome to the fall of the Roman Empire.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
CLCV 133,CLCV,133,Archaeology of Israel,3 Hours,"Exploration of the archaeology and history of the Near East with a specific focus on the development of Israel. Cultures of the Near East adapted to a rapidly changing world by pioneering the world's earliest innovations in agriculture, urbanism, bronze technology, and writing. We will investigate the Near Eastern background of the Israelites and their neighbors from the beginnings of agriculture during the ""Neolithic Revolution"", to the formation of the world's first cities in the Bronze Age, to the archaeological remnants of the Hebrew Bible. We will investigate the ramifications of wave after wave of military conflict and how this has shaped the Middle East, including the Babylonian Exile, the conquests of Alexander the Great, and the Jewish Revolts against the Romans.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
CLCV 160,CLCV,160,Ancient Greek & Roman Religion,3 Hours,Study of Greek and Roman Paganism and the rise of Christianity within that context. Readings are confined to ancient sources in English translation. Same as REL 160.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
CLCV 199,CLCV,199,Undergraduate Open Seminar,1 to 5 Hours,Approved for both letter and S/U grading. May be repeated.,,,,,,
CLCV 203,CLCV,203,Ancient Philosophy,4 Hours,Same as PHIL 203. See PHIL 203.,,,,,,
CLCV 206,CLCV,206,Classical Allusions in Cinema,3 Hours,"Examination of hundreds of contemporary films containing allusions to Greco-Roman antiquity. From the Matrix to Napoleon Dynamite, today's films often mention an ancient character, story or art object. These motifs are conscious and often essential to the theme of the film. We examine this interesting phenomenon by discussing film segments in class, reading about the history of the classical tradition in popular culture, and finally, forming into groups and examining specific types of films. Same as CWL 206. Prerequisite: CLCV 111 or CLCV 115 or consent of instructor.",Prerequisite: CLCV 111 or CLCV 115 or consent of instructor.,,,,,
CLCV 217,CLCV,217,Greek Art,3 Hours,Same as ARTH 215. See ARTH 215.,,,,,,
CLCV 220,CLCV,220,Exploring the Greek and Roman World,3 Hours,"Focused study of topics in ancient Greek and Roman literature, art, archaeology, and culture in their Mediterranean context. May also explore reflections in later literature and art. Same as CWL 220. May be repeated in separate terms, if topics vary.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CLCV 221,CLCV,221,Odysseus and Other Heroes,3 Hours,"Study of the heroes of ancient epics in relation to the cultures in which they were produced, taking Homer’s Odyssey as the point of departure and including near eastern heroes such as Gilgamesh, as well as female heroes such as Helen and Penelope; focuses on the epic and tragic tradition of ancient heroes and their successors. Same as CWL 263.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
