course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CW 100,CW,100,Intro to Creative Writing,3 Hours,"Acquaints students with the technical choices a writer makes in creating a story or a poem. Classes will consist of lectures on specific elements of poetry, fiction, and creative nonfiction. Students will also have the opportunity to talk with visiting writers and work in small groups to apply the course techniques and skills to a close reading of stories and poems.",,,Humanities - Lit & Arts,,,
CW 104,CW,104,Fiction Workshop I,3 Hours,"An introductory workshop in fiction, with a primary emphasis on short stories. Prerequisite: Completion of campus Composition I general education requirement.",Prerequisite: Completion of campus Composition I general education requirement.,,,,,
CW 106,CW,106,Poetry Workshop I,3 Hours,"Practice in the writing of poetry; experimentation with a number of fixed forms and free verse, but emphasis mainly on the student's freedom to develop a personal style. Prerequisite: Completion of campus Composition I general education requirement.",Prerequisite: Completion of campus Composition I general education requirement.,,,,,
CW 199,CW,199,Undergraduate Open Seminar,1 to 5 Hours,Topics course that varies each semester and by section. The topics offered each semester will be listed in the Class Schedule. Approved for Letter and S/U grading. May be repeated.,,,,,,
CW 200,CW,200,Reading for Writers,3 Hours,"Emphasizes the craft of short stories and poems through the study of formal elements central to the production of creative writing (e.g., plot, character, setting, point of view in short fiction and rhythm, meter, line break, imagery, simile, metaphor, formal patterns in poetry). Prerequisite: CW 104 or CW 106. For majors only.",Prerequisite: CW 104 or CW 106.,,,,,
CW 202,CW,202,Topics in Creative Writing,3 Hours,Independent writing projects and examination of literature as the cultural basis of the student's specialized fields. May be repeated as topics vary.,,,,,,
CW 204,CW,204,Fiction Workshop II,3 Hours,"An intermediate workshop in fiction, with a primary emphasis on short stories. Prerequisite: CW 104 or equivalent.",Prerequisite: CW 104 or equivalent.,,,,,
CW 206,CW,206,Poetry Workshop II,3 Hours,"Builds upon the workshop format of CW 106, with an emphasis on prosody and poetic technique. Students will deepen their sense of craft by putting into practice their study and understanding of a variety of poetic forms (e.g., syllabic poetry, dramatic monologue, sonnet, bound/free verse) and technical concerns (e.g., voice, tone, line, line break, image). The workshop component of the course typically includes 8-12 completed poems and their revisions. Prerequisite: CW 106.",Prerequisite: CW 106.,,,,,
CW 208,CW,208,Creative Nonfiction Workshop,3 Hours,"Types of nonfiction prose, including the personal essay, memoir, literary journalism, and historical writing.",,,,,,
CW 243,CW,243,"The Craft Essay: Creative Reading, Reflection, and Revision",3 Hours,"In this writing- and reading-intensive composition class, students will look at how creative writers—fiction writers, poets, and essayists—write about creative writing outside of the standard literary analysis model. Realizing that there are other methods of discussing, analyzing, and considering literature is a major goal of this class. As a complement to the production of creative work, students will focus on how we analyze, consider, and place that work within the greater context of creative writing. Prerequisite: Completion of campus Composition I general education requirement.",Prerequisite: Completion of campus Composition I general education requirement.,,Advanced Composition,,,
CW 404,CW,404,Fiction Workshop III,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","An advanced workshop in fiction, with a primary emphasis on short stories. 3 undergraduate hours. 4 graduate hours. May be repeated for a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: CW 204 or equivalent.",Prerequisite: CW 204 or equivalent.,,,,,
CW 406,CW,406,Poetry Workshop III,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.",Practice of the writing of poetry aided by intensive study of examples. 3 undergraduate hours. 4 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: CW 206 or equivalent.,Prerequisite: CW 206 or equivalent.,,,,,
CW 455,CW,455,Creative Writing Tutorial,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Personal direction in a writing project: fiction (novel or short stories), poetry or creative nonfiction. Frequency of conference to be determined by the type of project. 3 undergraduate hours. 4 graduate hours. May be repeated to a maximum of 6 undergraduate hours or 8 graduate hours. Prerequisite: CW 208, CW 404 or CW 406, and consent of the Director of Creative Writing.","Prerequisite: CW 208, CW 404 or CW 406, and consent of the Director of Creative Writing.",,,,,
CW 460,CW,460,Intro to Literary Editing,"3 Hours
3 undergraduate hours. No graduate credit.","Practicum in which students learn all the stages of developing and editing a literary publication. Students will solicit, read, and select poems and stories for an online supplement to the Ninth Letter literary journal. At the end of the semester, the supplement will be published on the Ninth Letter website (www.ninthletter.com). Students will gain experience in professional communications, copyediting, and marketing. 3 undergraduate hours. No graduate credit. May be repeated in separate semesters to a maximum of 6 hours. Prerequisite: CW 104 or CW 106.",Prerequisite: CW 104 or CW 106.,No graduate credit.,,,,
CW 463,CW,463,Adv Topics in Creative Writing,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Advanced topics course in Creative Writing. Students study selected topic through a workshop model, pursuing advanced development in one or more approaches to writing in a specialized field or genre. 3 undergraduate hours. 4 graduate hours. May be repeated, if topics vary. Prerequisite: Junior standing required.",Prerequisite: Junior standing required.,,,,,
CW 500,CW,500,The Craft of Fiction,4 Hours,"Examination of the creative process of fiction from the perspectives of aesthetics and techniques, illustrated from the work of selected authors. Prerequisite: Graduate standing in English.",Prerequisite: Graduate standing in English.,,,,,
CW 502,CW,502,Problems in Poetry Writing,4 Hours,"Examination of the creative process of poetry from the perspective of aesthetics and techniques, illustrated from the work of selected authors. Prerequisite: Graduate standing in English.",Prerequisite: Graduate standing in English.,,,,,
CW 504,CW,504,Writing Workshop in Fiction,4 Hours,"Directed individual projects, with group discussion in fiction. May be repeated to a maximum of 16 hours. Prerequisite: Admission to the MFA program, or graduate standing in English with advanced submission of creative work and consent of instructor.","Prerequisite: Admission to the MFA program, or graduate standing in English with advanced submission of creative work and consent of instructor.",,,,,
CW 506,CW,506,Writing Workshop in Poetry,4 Hours,"Directed individual projects, with group discussion in poetry. May be repeated to a maximum of 16 hours. Prerequisite: Admission to the MFA program, or graduate standing in English with advanced submission of creative work and consent of instructor.","Prerequisite: Admission to the MFA program, or graduate standing in English with advanced submission of creative work and consent of instructor.",,,,,
CW 560,CW,560,Literary Publishing &Promotion,0 to 4 Hours,"A working practicum designed to teach graduate students the basics of literary journal publishing and to introduce them to career and entrepreneurial opportunities in other types of literary arts organizations. Students will attend weekly editorial meetings, complete weekly reading assignments, and will work 2 hours per week in the 'Ninth Letter' office, reading manuscript submissions and completing various clerical tasks for the journal. Approved for both letter and S/U grading. May be repeated to a maximum of 8 hours. Prerequisite: MFA candidate standing.",Prerequisite: MFA candidate standing.,,,,,
CW 563,CW,563,Special Topics,0 to 4 Hours,Approved for both letter and S/U grading. May be repeated up to a maximum of 12 hours. Prerequisite: MFA candidate standing or consent of instructor.,Prerequisite: MFA candidate standing or consent of instructor.,,,,,
CW 591,CW,591,Independent Study,0 to 4 Hours,Approved for both letter and S/U grading. May be repeated up to a maximum of 12 hours. Prerequisite: MFA candidate standing.,Prerequisite: MFA candidate standing.,,,,,
CW 595,CW,595,Final Project,0 to 12 Hours,Guidance in writing final projects. Approved for S/U grading only. May be repeated in separate terms to a maximum of 12 hours. Prerequisite: MFA candidate standing.,Prerequisite: MFA candidate standing.,,,,,
