course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
CWL 111,CWL,111,Bible as Literature,3 Hours,Same as ENGL 114 and REL 101. See REL 101.,,,Humanities - Lit & Arts,,,
CWL 114,CWL,114,Global Consciousness and Lit,3 Hours,"Exploration of the cultural and historical roots of globalization and the development of global consciousness from ancient Greece to the present, as reflected primarily in literature, but also with reference to historiography, cartography, religion, art, politics, economics, and popular culture. Course materials including literary texts, articles, historical accounts, political tracts, films, and paintings focus on the mutual perception of, and historical relationships among Europe, the Arab world, Africa, Asia, and the Americas.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,3.50
CWL 117,CWL,117,Russ & E Euro Science Fiction,3 Hours,Same as SLAV 117. See SLAV 117.,,,Humanities - Lit & Arts,,,
CWL 119,CWL,119,Literature of Fantasy,3 Hours,Same as ENGL 119. See ENGL 119.,,,Humanities - Lit & Arts,,,
CWL 122,CWL,122,Russia and Black America,3 Hours,Same as AFRO 122 and RUSS 122. See RUSS 122.,,,Cultural Studies - US Minority,,,
CWL 151,CWL,151,Cross-Cultural Thematics,3 Hours,"Explores a combination of western and non-western literature through the focus on a shared theme, exploring differences in treatment both within and among different cultures. Several thematic focuses are offered in rotation, including concepts of love and death, environmental justice, catastrophe, gender, and others. All the themes introduce students to a wide array of famous texts from different cultures and also offer some varied perspectives for their own inevitable thoughts on these major topics. May be repeated to a maximum of 6 hours if topics vary. Students may register in more than one section per term.",,,Humanities - Lit & Arts,,,
CWL 189,CWL,189,Literatures of the Islamic World,3 Hours,"[IAI Code: H3908N] Comparative, cross-cultural study of major literary and cultural works from the Islamic world, broadly defined, including pre-Islamic cultures and their interactions with Islamic civilization. All readings in English.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,3.70
CWL 190,CWL,190,Modern Asian and African Literatures,3 Hours,"[IAI Code: H3908N] Comparative, cross-cultural study of major works from the postcolonial world. Topics may include pre-colonial cultures, the impact of colonialism, decolonization, modernization, and/or globalization. All readings in English.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
CWL 191,CWL,191,Freshman Honors Tutorial,1 to 3 Hours,Study of selected topics on an individually arranged basis. Open only to honors students or to Cohn Scholars and Associates. May be repeated one time. Prerequisite: Consent of departmental honors advisor.,Prerequisite: Consent of departmental honors advisor.,,,,,
CWL 199,CWL,199,Undergraduate Open Seminar,1 to 5 Hours,Credit: 1 to 5 hours. Approved for both letter and S/U grading. May be repeated.,,,,,,
CWL 201,CWL,201,Comparative Lit Studies,3 Hours,"Introduction to various methods in comparative literary study, including genres, thematics, literary relations, literary movements, and interdisciplinary approaches.",,,Humanities - Lit & Arts,,,
CWL 202,CWL,202,Literature and Ideas,3 Hours,"Exploration of the relation between literature and ideas through in depth study of modern thinkers, theorists, and philosophers who have greatly impacted the comparative study of literature, such as Marx, Freud, de Beauvoir, Foucault, and Said.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
CWL 204,CWL,204,US Border Literatures and Cultures,3 Hours,"Exploration of the cultures, experiences, and conditions of people living on and around the borders of the United States. The syllabus will place particular emphasis on the US-Mexico borderlands, a space of interaction, exchange, and confrontation between diverse communities that traverse national, racial, and linguistic borders. We will examine this dynamic space through a varied array of cultural texts, including literature, film, journalism, and scholarship. Through these texts, students will gain a deepened understanding and appreciation of the Latinx and indigenous communities that live along, around, and across today’s US-Mexico border. At the end of the semester, we will turn our attention briefly to the US-Canada border – and, in particular, to the political and cultural life of indigenous peoples living along and across the present-day US-Canada border.",,,,,,2.64
CWL 206,CWL,206,Classical Allusions in Cinema,3 Hours,Same as CLCV 206. See CLCV 206.,,,,,,
