course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
EALC 120,EALC,120,East Asian Civilizations,3 Hours,Same as HIST 120. See HIST 120.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
EALC 122,EALC,122,History East Asian Religions,3 Hours,"Introduction to East Asian religious traditions; emphasizes the ideas of Confucianism, Taoism, and Buddhism in China and their historical interactions. Same as REL 122.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
EALC 130,EALC,130,The Chinese Language,3 Hours,"An introduction to the scientific study of the Chinese language. We will explore where the Chinese language came from, its similarities to and differences from Japanese and Korean, and how the Chinese character writing system was invented, plus what is it like now. We will explore differences among Chinese dialects (e.g., Cantonese, Mandarin, Taiwanese and Shanghai) and learn where in China these are spoken, and also explore how the Chinese language operates in the brain. Finally, we will investigate how children in China learn to speak, read, and write, how adults learn to speak Chinese as a foreign language, and how Chinese can be used by different social groups in different settings in order to influence social power and distance. Approved for Letter and S/U grading. This course does not fulfill the campus foreign language requirement.",,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,
EALC 132,EALC,132,Zen,3 Hours,Same as REL 132. See REL 132.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
EALC 199,EALC,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
EALC 207,EALC,207,Classical Chinese Lit,3 Hours,"Surveys Chinese literary works from the classical tradition (history, philosophy, poetry, literary criticism) with attention to intellectual and artistic values. Same as CWL 217. No knowledge of Chinese is required.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
EALC 208,EALC,208,Chinese Cinema,3 Hours,"Explores the cinematic conventions and experiments employed by Chinese filmmakers over the past one hundred years. Unique Chinese film genres such as left-wing melodrama and martial arts, as well as three ""new waves"" in China’s recent avant-garde cinema, will be examined.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
EALC 212,EALC,212,East Asian Art History,3 Hours,"Introduction to East Asian art and architecture from prehistory to today. The major artistic and architectural traditions of China, Korea, and Japan are examined as are the basic tools of analysis with which one may learn why objects look the way they do. Attention will be given to placing the arts within their historical and cultural contexts and the interaction among arts, religions and other belief systems, and sociopolitical structures. Same as ARTH 212.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
EALC 214,EALC,214,Art in China,3 Hours,Same as ARTH 214. See ARTH 214.,,,Cultural Studies - Non-West,,,
EALC 220,EALC,220,Traditional China,3 Hours,Same as HIST 220. See HIST 220.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
EALC 221,EALC,221,Modern China,3 Hours,Same as HIST 221. See HIST 221.,,,Cultural Studies - Non-West,,,
EALC 222,EALC,222,Chinese Thought and Culture,3 Hours,"Examination of China's principal philosophical, religious, and political schools of thought - such as Confucianism, Taoism, Zen Buddhism, and Maoism - as ways of understanding one of the world's major civilizations; the period of the classical philosophers, the glory years of empire, and the troubled era of Western contact receive approximately equal attention. Same as HIST 222 and REL 224.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
