course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ECON 102,ECON,102,Microeconomic Principles,3 Hours,"[IAI Code: S3902] Introduction to the functions of individual decision-makers, both consumers and producers, within the larger economic system. Primary emphasis on the nature and functions of product markets, the theory of the firm under varying conditions of competition and monopoly, and the role of government in prompting efficiency in the economy. Credit is not given toward graduation for: ECON 102 and ACE 100.",,Credit is not given toward graduation for: ECON 102 and ACE 100.,Social & Beh Sci - Soc Sci,,,
ECON 103,ECON,103,Macroeconomic Principles,3 Hours,"[IAI Code: S3901] Introduction to the theory of determination of total or aggregate income, employment, output, price levels, and the role of money in the economy. Primary emphasis on monetary and fiscal policy, inflation, unemployment, economic growth, and international economics.",,,Social & Beh Sci - Soc Sci,,,
ECON 198,ECON,198,Economics at Illinois,1 Hour,An introductory course intended to help students explore the various fields of economics. Presents brief introductions to various faculty members within the Department of Economics at Illinois and an overview of their respective fields. Enrollment limited to undergraduate Economics majors only. Approved for S/U grading only.,,,,,,
ECON 199,ECON,199,Undergraduate Open Seminar,0 to 5 Hours,Approved for both letter and S/U grading. May be repeated.,,,,,,
ECON 202,ECON,202,Economic Statistics I,3 Hours,"Introduction of basic concepts in statistics including the presentation of data, descriptive statistics, probability theory, discrete and continuous distributions, sampling distributions, estimation, and hypothesis testing. The approach of the class includes both learning the concepts behind basic statistics and also how to apply these concepts in ""real-life"" situations. Utilizes a practical project format. To complete the Business Statistics sequence, students must also complete ECON 203. Credit is not given toward graduation for: Credit is not given for ECON 202 if credit for a college-level introductory statistics course such as PSYC 235, SOC 280, or STAT 100 has been earned. Prerequisite: Credit or registration in one of MATH 220, MATH 221, MATH 234.","Prerequisite: Credit or registration in one of MATH 220, MATH 221, MATH 234.","Credit is not given toward graduation for: Credit is not given for ECON 202 if credit for a college-level introductory statistics course such as PSYC 235, SOC 280, or STAT 100 has been earned.",,,,
ECON 203,ECON,203,Economic Statistics II,3 Hours,"Continuation of ECON 202. Builds upon point and interval estimation as well as hypothesis testing skills first introduced in ECON 202. Utilizes a practical project format to extend the student skill set to include simple and multiple linear regression and time series techniques. Students will: Understand the relevance of statistics in their future course-work and professions; Be trained to identify the proper statistical technique to apply to a problem; Be adept at finding the answers to statistical queries using excel; Be able to properly interpret the results of their analysis. Students must have completed a course on probability and statistical analysis before taking ECON 203. The best course to meet this requirement is ECON 202 at the University of Illinois. Prerequisite: ECON 202; one of MATH 220, MATH 221, or MATH 234.","Prerequisite: ECON 202; one of MATH 220, MATH 221, or MATH 234.",,,,,
ECON 210,ECON,210,Environmental Economics & Policy,3 Hours,"Same as ACE 210, ENVS 210, NRES 210, and UP 210. See ACE 210.",,,Social & Beh Sci - Soc Sci,,,
ECON 298,ECON,298,Professional Economics Internship,0 or 3 Hours,"Supervised, on or off-campus experience in a field directly pertaining to Economics, Econometrics & Quantitative Economics, or CS+ Economics. Students will complete course requirements along with a written report and possible presentation pertaining to their internship accomplishments at the end of the internship. Approved for S/U grading only. May be repeated in separate terms to a maximum of 6 credit hours. Prerequisite: Student must have secured a professional work experience related to economics which accompanies and enhances their academics. Restricted to Economics, Econometrics, or CS+Economics majors.",Prerequisite: Student must have secured a professional work experience related to economics which accompanies and enhances their academics.,,,,,
ECON 300,ECON,300,Everyday Economics for Non-Majors,3 Hours,"What does it mean to think like an economist? How can we use economic thinking to make the world a better place? This course provides a unique opportunity to go beyond introductory economics concepts without requiring prior economic study. Students will learn how to apply economic tools to evaluate policy proposals, solve complex problems, and predict the effect of real-life decisions. Does not count towards Economics major or minor requirements. Prerequisite: Not intended for Economics majors or minors.",Prerequisite: Not intended for Economics majors or minors.,,,,,
ECON 302,ECON,302,Inter Microeconomic Theory,3 Hours,"Microeconomic analysis including value and distribution theory; analysis of the pricing of the factors of production integrated in a micro-general equilibrium context which builds towards explaining the resource allocation process. Prerequisite: ECON 102 or equivalent. MATH 220, MATH 221, MATH 234 or equivalent.",Prerequisite: ECON 102 or equivalent.,,,,,
ECON 303,ECON,303,Inter Macroeconomic Theory,3 Hours,"The modern theory of the determination of the level and rate of growth of income, employment, output, and the price level; discusses alternate fiscal and monetary policies to facilitate full employment and economic growth. Prerequisite: ECON 102; ECON 103; and one of MATH 220, MATH 221, MATH 234.","Prerequisite: ECON 102; ECON 103; and one of MATH 220, MATH 221, MATH 234.",,,,,
ECON 397,ECON,397,Senior Research I,2 to 4 Hours,"Research and readings course for students majoring in economics; may be taken by students in the college honors program in partial fulfillment of the honors requirements. Prerequisite: Cumulative grade-point average of 3.0 or honors in the junior year, or consent of instructor; senior standing.","Prerequisite: Cumulative grade-point average of 3.0 or honors in the junior year, or consent of instructor; senior standing.",,,,,
ECON 398,ECON,398,Senior Research II,2 to 4 Hours,Research and readings course for students majoring in economics; may be taken by students in the college honors program in partial fulfillment of the honors requirements. Prerequisite: Cumulative grade-point average of 3.0 or honors in the junior year; senior standing.,Prerequisite: Cumulative grade-point average of 3.0 or honors in the junior year; senior standing.,,,,,
ECON 399,ECON,399,Advanced Undergraduate Open Seminar,0 to 8 Hours,Independent study course covering topics not treated by regular course offerings. This class does not satisfy departmental graduation requirements. Approved for Letter and S/U grading. May be repeated to a maximum of 8 hours. Prerequisite: Junior or senior standing; ECON 302; ECON 202.,Prerequisite: Junior or senior standing; ECON 302; ECON 202.,,,,,
ECON 402,ECON,402,American Economic History,"3 Hours
3 undergraduate hours. No graduate credit.",Survey of the history of the American economy from the colonial era to the present. Studies the features and development of the American economy and examines the watershed events that have transformed it over its history. 3 undergraduate hours. No graduate credit. Prerequisite: ECON 202; ECON 302; MATH 220/MATH 221 or other Calculus course are required.,Prerequisite: ECON 202; ECON 302; MATH 220/MATH 221 or other Calculus course are required.,No graduate credit.,,,,
ECON 411,ECON,411,Public Sector Economics,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Economic analysis of government tax and expenditure policies; topics include public good and externality theory, public choice theory, income distribution, cost-benefit analysis, principles of taxation, tax incidence, economic effects and optimal structures of major taxes, and taxation in developing economies. 3 undergraduate hours. 4 graduate hours. Prerequisite: ECON 202; ECON 302; and one of: MATH 220, MATH 221, or MATH 234 are required.","Prerequisite: ECON 202; ECON 302; and one of: MATH 220, MATH 221, or MATH 234 are required.",,,,,
ECON 414,ECON,414,Urban Economics,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Analyzes the urban economy. Topics include: economic reasons for the existence of cities; the theory of urban spatial structure; the effects of taxation on housing decisions; the economics of freeway congestion; economics analysis of local public goods and services; economic analysis of rent control, slum policies and land-use controls. 3 undergraduate hours. 4 graduate hours. Prerequisite: ECON 202; ECON 302; and one of: MATH 220, MATH 221, or MATH 234 are required.","Prerequisite: ECON 202; ECON 302; and one of: MATH 220, MATH 221, or MATH 234 are required.",,,,,
ECON 415,ECON,415,Environmental Economics,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Application of economic theory to topical issues such as pollution, climate change, and the environmental impacts of overpopulation. Both market-based and regulatory solutions to these problems are discussed. 3 undergraduate hours. 4 graduate hours. Prerequisite: ECON 202; ECON 302; MATH 220/MATH 221 or other Calculus course.",Prerequisite: ECON 202; ECON 302; MATH 220/MATH 221 or other Calculus course.,,,,,
ECON 418,ECON,418,Health Economics,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Introduction to the economics of the U.S. health care system. Analyzes the supply of and demand for health care, building upon models of consumer, producer, and insurer behavior. Covers public policy, including regulation and provision of services to the poor and elderly. Emphasizes empirical evidence on these topics. 3 undergraduate hours. 4 graduate hours. Credit is not given for ECON 482 and ECON 418. Prerequisite: ECON 202; ECON 302; MATH 220 or MATH 221 or other calculus course are required.",Prerequisite: ECON 202; ECON 302; MATH 220 or MATH 221 or other calculus course are required.,Credit is not given for ECON 482 and ECON 418.,,,,
ECON 420,ECON,420,International Economics,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Introduction to the theory of international trade and finance with selected application to current problems of trade policy, balance of payments adjustment, the international monetary system, and globalization issues. 3 undergraduate hours. 4 graduate hours. Prerequisite: ECON 202; ECON 302; ECON 303; and one of: MATH 220, MATH 221, or MATH 234 are required.","Prerequisite: ECON 202; ECON 302; ECON 303; and one of: MATH 220, MATH 221, or MATH 234 are required.",,,,,
ECON 422,ECON,422,International Macroeconomics,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","International macroeconomics and financial crises. Topics include balance of payments, exchange rates, business cycle risk, currency unions, and safe assets. Emphasis on understanding different types of financial crises from a positive and normative perspective. 3 undergraduate hours. 4 graduate hours. Prerequisite: ECON 202 or introductory statistics equivalent, ECON 303, MATH 220/MATH 221 or Calculus I equivalent.","Prerequisite: ECON 202 or introductory statistics equivalent, ECON 303, MATH 220/MATH 221 or Calculus I equivalent.",,,,,
