course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ENGL 101,ENGL,101,Intro to Poetry,3 Hours,"[IAI Code: H3903] Close reading and analysis of poetry and other literary texts. Introduction to argumentative strategies for writing about poetry. Addresses prosody, poetic language (diction, metaphor, image, tone), and major verse forms (the sonnet, elegy, ode, ballad, dramatic monologue, free verse). Students also study poems from a range of literary periods and movements to learn how formal qualities change and develop over time and are relevant to everyday life.",,,Humanities - Lit & Arts,,,
ENGL 103,ENGL,103,Intro to Fiction,3 Hours,"[IAI Code: H3901] Introduces students to the critical analysis of prose fiction. Explores a wide range of short and long-form fictions across historical periods and genres; examines narrative strategies such as plot, character, and point of view. Credit is not given toward graduation for: ENGL 103 and ENGL 109.",,Credit is not given toward graduation for: ENGL 103 and ENGL 109.,Humanities - Lit & Arts,,,
ENGL 104,ENGL,104,Introduction to Film,3 Hours,"[IAI Code: F2908] Thoughtful viewing of diverse films, along with ample discussion and critical reading and writing, to gain understanding of cinematic expression and of film's capacity to entertain and to exert artistic and social influence. Same as MACS 104.",,,Humanities - Lit & Arts,,,
ENGL 109,ENGL,109,Intro to Fiction-ACP,3 Hours,"Introduces students to the close reading of prose fiction from different eras in a variety of lengths and genres while exploring narrative elements such as characterization, structure, and viewpoint. While similar to ENGL 103 in content, ENGL 109 makes Advanced Composition strategies (drafting, peer review, revision, etc.) integral to the course framework. Credit is not given toward graduation for: ENGL 109 and ENGL 103. Prerequisite: Completion of campus Composition I general education requirement.",Prerequisite: Completion of campus Composition I general education requirement.,Credit is not given toward graduation for: ENGL 109 and ENGL 103.,"Advanced Composition
Humanities - Lit & Arts",,,
ENGL 114,ENGL,114,Bible as Literature,3 Hours,Same as CWL 111 and REL 101. See REL 101.,,,Humanities - Lit & Arts,,,
ENGL 115,ENGL,115,Intro to British Literature,3 Hours,"This survey of British literature introduces students to texts ranging from the early Middle Ages to the twenty-first century. Written from a diverse set of perspectives, these texts will cover multiple literary genres (including but not limited to prose narrative, lyric poetry, and drama) and will often be linked thematically.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
ENGL 116,ENGL,116,Introduction to American Literature,3 Hours,"American literature speaks in distinctive dialects that pre-date the arrival of European explorers in the Renaissance, range across centuries and continents, and intermingle a rich variety of racial, ethnic, and gendered perspectives. Genres examined in this course might include lyric poems, dystopian novels, horror stories, seduction narratives, slave narratives, political speeches, or postmodern plays. Writers studied might include Walt Whitman, Columbus, Jane Johnston Schoolcraft, Herman Melville, Edgar Allan Poe, Junot Díaz, Harriet Beecher Stowe, David Foster Wallace, Martin Luther King, and Lin-Manuel Miranda.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
ENGL 117,ENGL,117,Shakespeare on Film,3 Hours,"Explores the ongoing reinterpretation and appropriation of Shakespeare plays in twentieth- and twenty-first century film. Expect to read around five plays and analyze two productions of each play, and to consider how Shakespeare can be transformed to meet different cultural and contextual demands of the screen. Lecture and discussion. Same as MACS 117.",,,Humanities - Lit & Arts,,,
ENGL 119,ENGL,119,Literature of Fantasy,3 Hours,"Introduction to the rich traditions of fantasy writing in world literature. While the commercial category of fantasy post-Tolkien will often be the focal point, individual instructors may choose to focus on alternate definitions of the genre: literatures of the fantastic, the uncanny, and the weird; fantasy before the Enlightenment and the advent of realism; fantasy for young adult or child readers; and so on. Same as CWL 119.",,,Humanities - Lit & Arts,,,
ENGL 120,ENGL,120,Science Fiction,3 Hours,"Introduction to the study of science fiction, the genre that has both contributed to scientific knowledge and attempted to make sense of the changes that have taken place in the world since the Enlightenment, the onset of industrialization, and the acceleration of technology. Texts are taken from a variety of literary and pop culture sources: pulps and magazines, novels and films, comics and TV shows.",,,Humanities - Lit & Arts,,,
