course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
ESE 100,ESE,100,Sustainable Earth,3 Hours,"Provides an introduction to sustainability that explores how today's human societies can endure in the face of global change, ecosystem degradation, and limited resources. Emphasizes the fundamentals of the physical sciences and the scientific method while also exploring the special impact of sustainability challenges on minority cultures in the U.S. Prerequisite: This course is intended for first and second year students.",Prerequisite: This course is intended for first and second year students.,,"Grand Challenge-Sustainability
Nat Sci & Tech - Phys Sciences",,,
ESE 103,ESE,103,Earth's Physical Systems,4 Hours,Same as GGIS 103. See GGIS 103.,,,Nat Sci & Tech - Phys Sciences,,,
ESE 104,ESE,104,Geology of the National Parks,3 Hours,Same as GEOL 104. See GEOL 104.,,,Nat Sci & Tech - Phys Sciences,,,
ESE 106,ESE,106,Geographies of Globalization,3 Hours,Same as GGIS 106. See GGIS 106.,,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,
ESE 111,ESE,111,Emergence of Life,3 Hours,Same as GEOL 111. See GEOL 111.,,,Nat Sci & Tech - Life Sciences,,,
ESE 117,ESE,117,The Oceans,3 Hours,Same as GEOL 117. See GEOL 117.,,,Nat Sci & Tech - Phys Sciences,,,
ESE 118,ESE,118,Natural Disasters,3 Hours,Same as GEOL 118 and GLBL 118. See GEOL 118.,,,Nat Sci & Tech - Phys Sciences,,,
ESE 120,ESE,120,Severe and Hazardous Weather,3 Hours,Same as ATMS 120. See ATMS 120.,,,"Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",,,
ESE 140,ESE,140,Climate and Global Change,3 Hours,Same as ATMS 140. See ATMS 140.,,,Nat Sci & Tech - Phys Sciences,,,
ESE 143,ESE,143,History of Life,3 Hours,Same as GEOL 143. See GEOL 143.,,,Nat Sci & Tech - Life Sciences,,,
ESE 170,ESE,170,Nature Religion,3 Hours,Same as REL 170. See REL 170.,,,,,,
ESE 199,ESE,199,Undergraduate Open Seminar,1 to 5 Hours,"Special topics in Earth, Society, and the Environment; content is variable. May be repeated if topics vary.",,,,,,
ESE 200,ESE,200,Earth Systems,3 Hours,"Interdisciplinary lecture class intended to introduce Earth Systems studies, which focuses on integrating social and natural science approaches to studying the Earth and its environments.",,,,,,
ESE 202,ESE,202,American Environmental History,3 Hours,Same as HIST 202 and NRES 202. See HIST 202.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
ESE 208,ESE,208,History of the Earth System,4 Hours,Same as GEOL 208. See GEOL 208.,,,Nat Sci & Tech - Phys Sciences,,,
ESE 210,ESE,210,Social & Environmental Issues,3 Hours,Same as GGIS 210. See GGIS 210.,,,Social & Beh Sci - Soc Sci,,,
ESE 222,ESE,222,Big Rivers of the World,3 Hours,Same as GGIS 222. See GGIS 222.,,,,,,
ESE 254,ESE,254,"People, Places, and Environments of the US",3 Hours,Same as GGIS 254. See GGIS 254.,,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,
ESE 287,ESE,287,Environment and Society,3 Hours,"Same as GGIS 287, NRES 287 and PS 273. See NRES 287.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - Western",,,
ESE 289,ESE,289,Environment & Sustainability Field Study,1 Hour,"Group expedition to study environment and sustainability issues at a nearby field site. Includes in-class meetings, student-led presentation, and a field trip that may be short as part of a day or as long as several days. Field trip and field trip fee required. Additional fees may apply. See Class Schedule. Approved for letter and S/U grading. May be repeated in separate terms if topics vary. Prerequisite: For ESE majors, minors, and Sustainability Living Learning Community students. Non majors can apply to the waitlist.","Prerequisite: For ESE majors, minors, and Sustainability Living Learning Community students.",,,,,
ESE 311,ESE,311,Environmental Issues Today,3 Hours,"Seminar exposing students to different disciplinary perspectives on specific environmental issues, as revealed in the scholarly literature. Specific problems will vary from term to term. This seminar helps students make the transition from disciplinary to interdisciplinary thinking.",,,,,,
ESE 320,ESE,320,"Water Planet, Water Crisis",3 Hours,"Study of the science of water on planet earth, the developing water crisis, and some possible solutions to it. Topics include water's unique physical and chemical properties; how it profoundly shapes the earth/ocean/atmosphere system; dynamics of oceans, atmosphere, lakes, rivers, groundwater, and ice masses; current fresh water supplies and their distribution on earth relative to population; current and future water crises and the compounding effects of droughts, floods, and global change; and prospects for some technological and economic approaches to easing the crisis. Same as GEOL 370 and GGIS 370.",,,,,,
ESE 333,ESE,333,Earth Materials and the Env,4 Hours,Same as GEOL 333. See GEOL 333.,,,,,,
ESE 350,ESE,350,Sustainability and the City,3 Hours,Same as GGIS 350. See GGIS 350.,,,,,,
ESE 360,ESE,360,Environmental Writing,3 Hours,"Equips students to write about the environment for various audiences, with a focus on specific current efforts to promote sustainability on the Urbana-Champaign campus. We will practice effective techniques for each stage of the writing process-from defining topics, to gathering information, to crafting active, engaging prose. Readings will include models of effective environmental writing and ""how to"" pieces by experts. Research will include visits to campus sites and student-conducted interviews with subjects. Same as ENGL 360. Prerequisite: Completion of campus Composition I general education requirement.",Prerequisite: Completion of campus Composition I general education requirement.,,Advanced Composition,,,
ESE 379,ESE,379,Introduction to Geographic Information Systems,4 Hours,Same as GGIS 379. See GGIS 379.,,,,,,
ESE 380,ESE,380,Geographic Information Systems II,4 Hours,Same as GGIS 380. See GGIS 380.,,,Quantitative Reasoning II,,,
ESE 389,ESE,389,Environment and Sustainability Field Expedition,3 Hours,"Group expedition to study environment and sustainability issues at a field site. Includes in-class meetings, student-led presentation, and field trip; expeditions run during spring break, winter break, in mid-May or in intercession; dates depend on location. Field Trip and field trip fee required. Additional fees may apply. See Class Schedule. May be repeated up to 12 hours in separate terms if topics vary.",,,,,,
ESE 401,ESE,401,ESE Capstone,"3 Hours
3 undergraduate hours. No graduate credit.","Capstone experience for majors in Earth, Society, and Environment Sustainability. 3 undergraduate hours. No graduate credit. Approved for Letter and S/U grading. May be repeated once.",,No graduate credit.,,,,
ESE 410,ESE,410,Green Development,4 Hours,Same as GGIS 410. See GGIS 410.,,,,,,
ESE 411,ESE,411,Geomorphology,4 Hours,Same as GEOL 401. See GEOL 401.,,,,,,
ESE 421,ESE,421,Earth Systems Modeling,4 Hours,"Same as ATMS 421, GEOL 481, GGIS 421 and NRES 422. See ATMS 421.",,,,,,
