course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
GWS 100,GWS,100,Intro Gender & Women's Studies,3 Hours,"Interdisciplinary introduction to the study of gender, women, and sexuality. Addresses issues such as social experience, representation and popular culture, femininities and masculinities, family structure, education, employment, economics, literature and the arts, religion, history, and technology. Explores interrelationships of race, ethnicity, sexuality, gender, ability, and age from a transnational perspective. Same as SOC 130.",,,Social & Beh Sci - Soc Sci,,,
GWS 103,GWS,103,Black Women in the Diaspora,3 Hours,Same as AFRO 103 and AFST 103. See AFRO 103.,,,,,,
GWS 199,GWS,199,Undergraduate Open Seminar,0 to 5 Hours,Approved for letter and S/U grading. May be repeated.,,,,,,
GWS 201,GWS,201,"Race, Gender & Power",3 Hours,"Presents multiple windows into perceptions and perspectives upon gender, sexuality, power, identity and culture, and their multiple intersections. The concept of race in its many manifestations is used to examine relationships of self to society, state institutions and cultures. By paying greater attention to race and power, nuanced understandings of the way the gender systems are maintained, patrolled and formed will be examined. Topics may include: film, media, technology, culture, religion, identities, sexualities. Same as SOC 201.",,,Cultural Studies - Western,,,
GWS 202,GWS,202,Sexualities,3 Hours,"Surveys sexualities from multiple perspectives, standpoints, disciplines, and theories. How have different cultures, different people, and different viewpoints understood, shaped, and interpreted sex, sexualities and genders? Course places the concept of sexuality at its core to examine citizenship, education, reproduction, science, tourism, urban/rural space, and politics. Topics may include: gender, race, identities, power, transformation, reproduction. Same as SOC 202.",,,Cultural Studies - Western,,,
GWS 204,GWS,204,Gender in Gaming,3 Hours,"Same as ENGL 277, GSD 204, and MACS 204. See GSD 204.",,,,,,
GWS 215,GWS,215,US Citizenship Comparatively,3 Hours,"Same as AAS 215, AIS 295, AFRO 215, and LLS 215. See AAS 215.",,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,
GWS 218,GWS,218,Intro to Social Issues Theatre,3 Hours,Same as THEA 218. See THEA 218.,,,,,,
GWS 226,GWS,226,Black Women Contemp US Society,3 Hours,Same as AFRO 226 and SOC 223. See AFRO 226.,,,,,,
GWS 230,GWS,230,Latina/o Genders & Sexualities,3 Hours,Same as LLS 230. See LLS 230.,,,Cultural Studies - US Minority,,,
GWS 235,GWS,235,Race and the Politics of Reproduction,3 Hours,Same as LLS 235. See LLS 235.,,,,,,
GWS 240,GWS,240,Gender & Sexuality in Greco-Roman Antiquity,3 Hours,Same as CLCV 240 and CWL 262. See CLCV 240.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
GWS 245,GWS,245,"Wives, Workers and Witches in Pre-Modern Europe",3 Hours,Same as HIST 245 and MDVL 245. See HIST 245.,,,,,,
GWS 250,GWS,250,Gender and Representation,3 Hours,"Focusing primarily on gender, race, sexuality, and their intersections, this introductory course analyzes the politics of representation drawn from popular culture, painting, television and film, literature, music, religion, and new media.",,,Social & Beh Sci - Soc Sci,,,
