course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
HIST 100,HIST,100,Global History,3 Hours,"Broad introduction to global history, by exploring the global structures and transnational forces that have shaped human history, from the emergence of agriculture and urban centers to our contemporary global village.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,,"[HIST 100 Global History credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/100>)

Broad introduction to global history, by exploring the global structures and transnational forces that have shaped human history, from the emergence of agriculture and urban centers to our contemporary global village.
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
HIST 103,HIST,103,A History of Everything: The Big Bang to Big Data,3 Hours,"This introductory survey in ""Big History"" explores different scales of time as it places human history in larger geological, ecological, and cosmic contexts. Topics include the big bang, planet formation, the origin and development of life, mass extinctions, the emergence of Homo sapiens, the development of agriculture and cities, wars, plagues, and natural disasters, the advent of religion and science, political revolutions, industrialization and globalization, and human impact on the environment.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,,"[HIST 103 A History of Everything: The Big Bang to Big Data credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/103>)

This introductory survey in ""Big History"" explores different scales of time as it places human history in larger geological, ecological, and cosmic contexts. Topics include the big bang, planet formation, the origin and development of life, mass extinctions, the emergence of Homo sapiens, the development of agriculture and cities, wars, plagues, and natural disasters, the advent of religion and science, political revolutions, industrialization and globalization, and human impact on the environment.
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
HIST 104,HIST,104,Black Music,3 Hours,"What is black music, and how do we know what we think we know about it? Together, we will examine musical creations pioneered by Africans and individuals of African descent over several centuries and across hemispheres. Doing so will allow us to consider the unity of the African Diaspora and its music, and also examine internal differences and diversity. Special focus is given to Latin America and the U.S., but, depending on the semester, we will also read about, listen to, and talk about music and musicians in Asia, Africa, and Europe.",,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,,"[HIST 104 Black Music credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/104>)

What is black music, and how do we know what we think we know about it? Together, we will examine musical creations pioneered by Africans and individuals of African descent over several centuries and across hemispheres. Doing so will allow us to consider the unity of the African Diaspora and its music, and also examine internal differences and diversity. Special focus is given to Latin America and the U.S., but, depending on the semester, we will also read about, listen to, and talk about music and musicians in Asia, Africa, and Europe.
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - US Minority",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
HIST 105,HIST,105,Latin America to Independence,3 Hours,[IAI Code: H2903N] Survey of Latin American history from the discovery of America to 1824.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,,"[HIST 105 Latin America to Independence credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/105>)

[IAI Code: H2903N] Survey of Latin American history from the discovery of America to 1824.
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
HIST 106,HIST,106,Modern Latin America,3 Hours,"[IAI Code: H2903N] History of the Latin American republics from their independence to the present; emphasis on Argentina, Brazil, Chile, Colombia, Cuba, and Mexico.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,,"[HIST 106 Modern Latin America credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/106>)

[IAI Code: H2903N] History of the Latin American republics from their independence to the present; emphasis on Argentina, Brazil, Chile, Colombia, Cuba, and Mexico.
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
HIST 111,HIST,111,History of Africa to 1800,3 Hours,"Survey of African history to 1800, or rather African ""histories."" Along with historical knowledge, it seeks to give students a basic familiarity with the geography of the continent, as well as to provide an overview of African languages. Through the analysis of secondary as well as of primary sources, students will be introduced to and further examine the development of pre-colonial African societies. Same as AFST 111.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,,"[HIST 111 History of Africa to 1800 credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/111>)

Survey of African history to 1800, or rather African ""histories."" Along with historical knowledge, it seeks to give students a basic familiarity with the geography of the continent, as well as to provide an overview of African languages. Through the analysis of secondary as well as of primary sources, students will be introduced to and further examine the development of pre-colonial African societies. Same as [AFST 111](<https://catalog.illinois.edu/search/?P=AFST%20111>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
HIST 112,HIST,112,History of Africa from 1800,3 Hours,"Survey of Africa's history from 1800 to the present day. Topics include the Atlantic slave trade, agricultural exchange, growth of Christianity, origins and effects of nineteenth-century European expansion culminating in the ""Scramble for Africa,"" the transformations wrought by European colonial rule during the twentieth century, anticolonial nationalism, decolonization, and postcolonial political, economic, social, and cultural developments. Same as AFST 112.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,,"[HIST 112 History of Africa from 1800 credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/112>)

Survey of Africa's history from 1800 to the present day. Topics include the Atlantic slave trade, agricultural exchange, growth of Christianity, origins and effects of nineteenth-century European expansion culminating in the ""Scramble for Africa,"" the transformations wrought by European colonial rule during the twentieth century, anticolonial nationalism, decolonization, and postcolonial political, economic, social, and cultural developments. Same as [AFST 112](<https://catalog.illinois.edu/search/?P=AFST%20112>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
HIST 120,HIST,120,East Asian Civilizations,3 Hours,"[IAI Code: H2903N] Surveys the three major East Asian civilizations from ancient and classical times, through the period of Western influence, political revolution, and modernization, to the contemporary age and the emergence of East Asian superpowers. Same as EALC 120.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,,"[HIST 120 East Asian Civilizations credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/120>)

[IAI Code: H2903N] Surveys the three major East Asian civilizations from ancient and classical times, through the period of Western influence, political revolution, and modernization, to the contemporary age and the emergence of East Asian superpowers. Same as [EALC 120](<https://catalog.illinois.edu/search/?P=EALC%20120>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
HIST 130,HIST,130,History of South Asia,3 Hours,"[IAI Code: H2903N] Multidisciplinary introduction to the history of modern South Asia from the consolidation of early modern state formations, the negotiation of religious, cultural and linguistic formations, European colonial interactions, and the rise of the modern nation states of Bangladesh, India, Pakistan and Sri Lanka. Same as ANTH 130.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,,"[HIST 130 History of South Asia credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/130>)

[IAI Code: H2903N] Multidisciplinary introduction to the history of modern South Asia from the consolidation of early modern state formations, the negotiation of religious, cultural and linguistic formations, European colonial interactions, and the rise of the modern nation states of Bangladesh, India, Pakistan and Sri Lanka. Same as [ANTH 130](<https://catalog.illinois.edu/search/?P=ANTH%20130>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
HIST 135,HIST,135,History of Islamic Middle East,3 Hours,"[IAI Code: H2903N] Introduction to fourteen centuries of Middle East history from the rise of Islam to modern times. Examines the development of Islamic thought, and of religious, social, and political institutions; as well as the transformations of the 19th and 20th centuries in the area consisting of Egypt, the Fertile Crescent, Arabia, Turkey, and Iran.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,,"[HIST 135 History of Islamic Middle East credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/HIST/135>)

[IAI Code: H2903N] Introduction to fourteen centuries of Middle East history from the rise of Islam to modern times. Examines the development of Islamic thought, and of religious, social, and political institutions; as well as the transformations of the 19th and 20th centuries in the area consisting of Egypt, the Fertile Crescent, Arabia, Turkey, and Iran.
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/hist/,2026–2027
