course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
JS 108,JS,108,Religion & Society in West I,3 Hours,"Same as ANTH 108, PHIL 108, and REL 108. See REL 108.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
JS 120,JS,120,A History of Judaism,3 Hours,Same as HIST 168 and REL 120. See REL 120.,,,"Advanced Composition
Humanities - Hist & Phil",,,
JS 199,JS,199,Undergraduate Open Seminar,1 to 5 Hours,Faculty offer seminars in a range of areas that provide an opportunity for undergraduates to be exposed to key dimensions of Jewish Studies. May be repeated in the same or separate terms to a maximum of 10 hours.,,,,,,
JS 201,JS,201,History of Antisemitism,3 Hours,Studies the negative representations of Judaism and Jews from antiquity to the modern world. Topics include: Greco-Roman concepts of the Jewish religion; medieval Christian symbolization of the demonic Jew; Jews and negative attitudes to capitalism; blood purity and blood libel; the rise of racial prejudice in the modern nation state; totalitarianism and genocide; antisemitism and anti-Zionism. Same as REL 212.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
JS 209,JS,209,Jewish American and US Minority Literatures in Dialogue,3 Hours,"How does Jewish American Literature compare with/influence/be influenced by other U.S. Minority Literatures? What can we say about the similarities and differences between the Jewish American experience and that of many other US minority literatures? What does the dialogue between them sound like? By looking at some examples of Jewish American Literature and comparing and analyzing the dialogue between Jewish American Literature and myriad U.S. Minority literatures this course aims to grapple with these and other questions. We will explore the experiences, conditions, and perspectives of the U.S. Minority literatures we are able to peruse. We will encourage comparison across these different contexts while also preserving the distinctions inherent in each minority group. Same as CWL 209 and ENGL 222.",,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,
JS 211,JS,211,The Arab-Israeli Conflict,3 Hours,Same as CWL 211 and SAME 211. See CWL 211.,,,,,,
JS 212,JS,212,Israeli Cinema and Television,3 Hours,"Examination of Israeli cinema from its documentary beginnings to its internationally award winning feature films. First established as a way to record the developments of the Jewish community in Palestine, after Independence in 1948, it became a way to explore the ideals and values of the new state. Trapped between Eastern and Western cinematic tradition, we will view heroic cinema, new wave, and bourekas films. Through lectures, readings and film screenings this seminar examines the diversity of Israeli society, including religious/secular divisions, the Arab-Israeli Conflict, the Holocaust, gay cinema and the country's ethnic diversity including Palestinian, Russian, and Mizrachi identity. All films are subtitled and no previous knowledge of cinema or Israel is required. Same as CWL 212 and SAME 212.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
JS 220,JS,220,Jewish Storytelling,3 Hours,"Same as CWL 221, ENGL 223, REL 220, and YDSH 220. See YDSH 220.",,,,,,
JS 231,JS,231,Development of Ancient Cities,3 Hours,Same as CLCV 231. See CLCV 231.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
JS 252,JS,252,The Holocaust,3 Hours,Same as HIST 252. See HIST 252.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
JS 261,JS,261,The Holocaust in Context,3 Hours,"Same as CWL 273, ENGL 269, and GER 261. See GER 261.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
JS 262,JS,262,Zionism: A Global History,3 Hours,Same as HIST 262. See HIST 262.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
