course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
LAST 170,LAST,170,"Que Pasa in Latin America? Cultures, Histories and Politics South of the Rio Grande",3 Hours,"Interdisciplinary introduction to the ways of life of Latin American peoples, their origins and current expressions; discusses social, economic issues, and domestic and international policies related to them in the context of other societies in developing countries.",,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,3.27
LAST 180,LAST,180,Immigration: A Global Phenomenon with Local Implications,3 Hours,"Offers a historical perspective of migration as a human condition through the exploration of social, cultural, and economic implications of U.S. immigration policies from colonial times to the present. Immigration laws and policies that have recently impacted immigrants and the communities in which they settle will be studied. Prerequisite: Restricted to Campus Honors Program students.",Prerequisite: Restricted to Campus Honors Program students.,,,,,
LAST 199,LAST,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
LAST 210,LAST,210,Life in the Andes,3 Hours,"An overview of contemporary Andean culture, as practiced by the people in Peru, Bolivia, and Ecuador. This culture is the result of the resilience of the pre-Hispanic Andean heritage, and the continuous adaptation Andean people have practiced, first, to control their environment and, then, to survive and overcome colonial and postcolonial forms of subordination. No prior knowledge of Spanish, Quechua, or the Andes is required.",,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,3.78
LAST 220,LAST,220,Q'anjob'al Community and Language,3 Hours,Introduction to the Mayan language and community of Guatemala known as Q’anjob’al. Provides an overview of the Q’anjob’al speakers and their complex sociocultural interactions and includes the use of the Q’anjob’al language in context for students to become familiar with its spoken sounds. Course will be of interest to those who wish to study the cultures and histories of Maya peoples and those preparing for work with Q’anjob’al-speaking communities.,,,,,,
LAST 232,LAST,232,Spanish in the Community,3 Hours,Same as SPAN 232. See SPAN 232.,,,Cultural Studies - US Minority,,,
LAST 240,LAST,240,Constr Afr and Carib Identity,3 Hours,"Same as AFST 209, CWL 225, and FR 240. See FR 240.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,
LAST 308,LAST,308,The Caribbean Since 1492: From Columbus to Castro,3 Hours,Same as HIST 308. See HIST 308.,,,,,,
LAST 342,LAST,342,Arts of Colonial Latin America,3 Hours,Same as ARTH 342. See ARTH 342.,,,,,,
LAST 343,LAST,343,Arts of Modern Latin America,3 Hours,Same as ARTH 343. See ARTH 343.,,,,,,
LAST 395,LAST,395,Special Topics,2 to 4 Hours,"Topical survey of cultural, social, economic, and political factors in Latin American life. Each term a particular topic is considered. Prerequisite: A basic course in a humanities or social science discipline.",Prerequisite: A basic course in a humanities or social science discipline.,,,,,
LAST 445,LAST,445,Native Latin Amer Languages,"2 to 4 Hours
2 to 4 undergraduate hours. 2 to 4 graduate hours.","Upon the consent of the Director of the Center for Latin American and Caribbean Studies, tutorials are available in special native Latin American languages not regularly offered by the University (ie. Quechua, Kagchikel Mayan). Tutorials at the elementary, intermediate, and advanced levels may be arranged. Students registering for unit credit for the first two terms must first present satisfactory evidence of knowledge of the language at the elementary level, either in the form of credit earned at another institution or by passing a proficiency examination. 2 to 4 undergraduate hours. 2 to 4 graduate hours. May be repeated in 6 terms successively, to a maximum of 16 hours. Graduate credit is given only for work beyond the elementary level. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,,,,,
LAST 490,LAST,490,Individual Study,"1 to 5 Hours
1 to 5 undergraduate hours. 1 to 5 graduate hours.",Major tutorial normally taken in the senior year. Students read the works from list devised in consultation with a faculty tutor and write a term paper. 1 to 5 undergraduate hours. 1 to 5 graduate hours. May be repeated as topics vary to a maximum of 6 hours. Prerequisite: LAST 170; a declared major in Latin American and Caribbean Studies; consent of instructor.,Prerequisite: LAST 170; a declared major in Latin American and Caribbean Studies; consent of instructor.,,,,,
LAST 550,LAST,550,Interdisc Seminar Latin Am St,4 Hours,Examines the interconnections among research approaches and problems in the field of Latin American and CaribbeanStudies. May be repeated to a maximum of 8 hours if topics vary. Prerequisite: M.A. standing in Latin American and Caribbean Studies or consent of instructor.,Prerequisite: M.A. standing in Latin American and Caribbean Studies or consent of instructor.,,,,,
LAST 590,LAST,590,Global STEAM Graduate Seminar,0 Hours,"Provides graduate students with weekly explorations into the relationship between the sciences, humanities, and the arts in addressing issues of global significance through an interdisciplinary inquiry. Each week, Global STEAM Working Group faculty members will introduce a new topic that crosses disciplinary and geographical boundaries to provide insights and new perspectives on the global challenges of the 21st century. Approved for S/U grading only.",,,,,,
LAST 597,LAST,597,M.A. Research,4 Hours,Open to students who choose to complete their M.A. by submitting two departmental papers. May be repeated in the same or subsequent terms to a maximum of 8 hours. Prerequisite: M.A. standing in Latin American Studies and consent of instructor and advisor.,Prerequisite: M.A. standing in Latin American Studies and consent of instructor and advisor.,,,,,
LAST 599,LAST,599,Thesis Research,4 Hours,"Preparation of M.A. thesis. Students may register in more than one section per term. Approved for S/U grading only. May be repeated in the same term or in separate terms up to a maximum of 8 hours, with approval. Prerequisite: M.A. standing in Latin American and Caribbean Studies and consent of instructor.",Prerequisite: M.A. standing in Latin American and Caribbean Studies and consent of instructor.,,,,,
