course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
LAT 101,LAT,101,Elementary Latin I,4 Hours,Grammar and reading for students who have had no work in Latin.,,,,,,
LAT 102,LAT,102,Elementary Latin II,4 Hours,Grammar and reading of easy prose. Prerequisite: LAT 101 or one year of high school Latin.,Prerequisite: LAT 101 or one year of high school Latin.,,,,,
LAT 199,LAT,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
LAT 201,LAT,201,Intermediate Latin,4 Hours,Review of grammar; reading of easy narrative prose. Prerequisite: LAT 102 or two years of high school Latin.,Prerequisite: LAT 102 or two years of high school Latin.,,,,,
LAT 202,LAT,202,Intro to Latin Literature,4 Hours,"Continuation of LAT 201, with readings chiefly in Latin poetic literature.",,,,,,
LAT 401,LAT,401,Survey of Latin Literature,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Advanced level readings in classical Latin literature. 3 undergraduate hours. 4 graduate hours. May be repeated for a total of 6 undergraduate hours or 8 graduate hours in separate semesters, if topics vary. Prerequisite: LAT 202 or four years of high school Latin.",Prerequisite: LAT 202 or four years of high school Latin.,,,,,
LAT 411,LAT,411,Intermediate Prose Composition,"3 Hours
3 undergraduate hours. 3 graduate hours.",Practice in the writing of Latin prose. 3 undergraduate hours. 3 graduate hours. Prerequisite: LAT 202 or the equivalent.,Prerequisite: LAT 202 or the equivalent.,,,,,
LAT 460,LAT,460,Medieval Latin,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.",Literary and historical texts in prose and poetry will be read in the original; the course will also cover patristic writings. Same as MDVL 460. 3 undergraduate hours. 4 graduate hours. Prerequisite: Two years of college Latin or consent of instructor.,Prerequisite: Two years of college Latin or consent of instructor.,,,,,
LAT 491,LAT,491,Readings in Latin Literature,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Readings in authors or special topics chosen by the instructor from the entire extant literature in Latin. 3 undergraduate hours. 4 graduate hours. May be repeated in separate terms, if topics vary. Prerequisite: Three years of college Latin or equivalent, or consent of instructor.","Prerequisite: Three years of college Latin or equivalent, or consent of instructor.",,,,,
LAT 492,LAT,492,Senior Thesis,"2 or 4 Hours
2 or 4 undergraduate hours. No graduate credit.",Thesis and honors. For candidates for honors in Latin and for other seniors. 2 or 4 undergraduate hours. No graduate credit. Prerequisite: Senior standing and consent of Classics Honors Program.,Prerequisite: Senior standing and consent of Classics Honors Program.,No graduate credit.,,,,
LAT 493,LAT,493,Independent Reading,"1 to 4 Hours
1 to 4 undergraduate hours. 1 to 4 graduate hours.",See Department of the Classics for information. 1 to 4 undergraduate hours. 1 to 4 graduate hours. May be repeated in separate terms to a maximum of 8 undergraduate hours or 12 graduate hours. Prerequisite: LAT 401 and consent of instructor.,Prerequisite: LAT 401 and consent of instructor.,,,,,
LAT 511,LAT,511,Advanced Prose Composition,1 Hour,"Practice in writing Latin prose, with special attention to stylistic questions.",,,,,,
LAT 520,LAT,520,Proseminar,4 Hours,"Alternating poetry and prose, concentrates on a major author from one of the following areas: epic, oratory, lyric and elegiac poetry, history, drama, philosophy, satire, or epistolography. Areas normally follow this sequence in successive years. May be repeated to a maximum of 20 hours if topics vary. Prerequisite: LAT 491 or equivalent.",Prerequisite: LAT 491 or equivalent.,,,,,
LAT 531,LAT,531,Special Disciplines,4 Hours,Same as GRK 531. See GRK 531.,,,,,,
LAT 580,LAT,580,Latin Seminar,4 Hours,Research on special problems of Latin literature; required of all majors in classical philology. May be repeated if topics vary. Prerequisite: A Latin proseminar.,Prerequisite: A Latin proseminar.,,,,,
LAT 595,LAT,595,Intro to Classical Studies,4 Hours,Same as GRK 595. See GRK 595.,,,,,,
LAT 599,LAT,599,Thesis Research,0 to 16 Hours,Guidance in writing theses for advanced degrees. Approved for S/U grading only. May be repeated in the same term or in separate terms.,,,,,,
