course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
LLS 100,LLS,100,Intro Latina/Latino Studies,3 Hours,"Interdisciplinary introduction to the basis for a Latina/Latino ethnicity in the United States. Topics include immigration and acculturation experiences and their commonalities and differences, comparison of Latina/Latino experiences to those of other racial, ethnic and immigrant groups, and the potential for a pan-ethnic identity.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,3.53
LLS 199,LLS,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,
LLS 200,LLS,200,U.S. Race and Empire,3 Hours,Same as AAS 200. See AAS 200.,,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,
LLS 201,LLS,201,US Racial & Ethnic Politics,3 Hours,"Same as AAS 201, AFRO 201, and PS 201. See PS 201.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,
LLS 215,LLS,215,US Citizenship Comparatively,3 Hours,"Same as AAS 215, AFRO 215, AIS 295, and GWS 215. See AAS 215.",,,"Humanities - Hist & Phil
Cultural Studies - US Minority",,,
LLS 220,LLS,220,Latina/o Migration,3 Hours,"General overview of international migration to the United States, using Latin American migration to the U.S. as the focal point. Topics discussed include the history of international migration to the United States, the relationship between history and the contemporary context, the development of U.S. immigration policy, the incorporation of Latino immigrants in U.S. society, and immigrant and community responses to migration. Same as SOC 221.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,3.48
LLS 230,LLS,230,Latina/o Genders & Sexualities,3 Hours,"Survey of major theories and debates surrounding the gendered and sexualized dimensions of the Latina/o experience in the United States. The course is comprised of three major units: Gender, Sexuality, and Sex. In these units, students will read about and discuss issues pertaining to femininity/marianismo, masculinity/machismo, family/familism, desire, sexual behavior, sex work, sexual and gendered violence, and gendered and sexualized representations in pop culture. Same as GWS 230.",,,Cultural Studies - US Minority,,,3.43
LLS 235,LLS,235,Race and the Politics of Reproduction,3 Hours,"Interdisciplinary exploration of the racial politics of reproduction in the United States with an emphasis on how ideologies of race, class, and citizenship shape meanings and experiences of reproduction, pregnancy, and motherhood. Topics include contraception, sterilization abuse, and abortion. Students will also learn how women of color have both been affected by the racial politics of reproduction and how they have advanced the movement for reproductive rights and justice in the United States. Same as GWS 235.",,,,,,3.22
LLS 238,LLS,238,Latina/o Social Movements,3 Hours,"Focuses on the history and theory of Latina/o social movements. Topics include immigrant mobilizations, transnational organizing, agrarian and farm worker movements, political representation, feminisms and reproductive rights, environmental justice, labor and educational struggles, and urban social movements. Same as HIST 292.",,,,,,3.68
LLS 240,LLS,240,Latina/o Popular Culture,3 Hours,"Provides an introduction to Latina/o popular culture in the United States. Specific modes of popular culture might include mass media, music, film, video, performance, and other expressive forms. Lecture and readings are in English. Same as ENGL 224 and SPAN 240.",,,Cultural Studies - US Minority,,,3.83
LLS 242,LLS,242,Intro to Latina/o Literature,3 Hours,"Survey of literature by and about people of Mexican, Puerto Rican, Cuban, and other Latina/o descent in the United States. Taught in English. Same as ENGL 225 and SPAN 242.",,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,3.65
LLS 246,LLS,246,Gender & Sexuality in Latina/o Literature,3 Hours,Same as SPAN 246. See SPAN 246.,,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,
LLS 248,LLS,248,"Latin American Diaspora through Film: Beyond Braceros, Narcos, and Latin Lovers",3 Hours,Same as SPAN 248. See SPAN 248.,,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,
LLS 250,LLS,250,Latina/os on the Bronze Screen,3 Hours,"Critical, historical, and theoretical exploration of Latina/o representations in U.S. film from the 1900s to the present. Examination of cinematic representations as well as the social, political, and cultural context in which those representations are produced. The focus is on Mexican American and Puerto Rican images, but Hollywood's treatment of other Latina/o communities and ethnic groups will be discussed. Students will be required to attend weekly movie screenings. Same as MACS 250.",,,"Humanities - Lit & Arts
Cultural Studies - US Minority",,,3.62
