course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
MATH 101,MATH,101,Thinking Mathematically,3 Hours,"Designed for students in majors that do not specifically require a mathematics course beyond the level of precalculus. Focus is on critical thinking and applications. All topics are covered from a contextual standpoint. Topics include proportional reasoning and modeling, functions, sets, consumer math, probability, and statistics. Other topics may be covered as time permits. Prerequisite: Three years of high school mathematics. Undergraduates only.",Prerequisite: Three years of high school mathematics.,,,,,2.95
MATH 103,MATH,103,Theory of Arithmetic,4 Hours,"Analyses of the mathematical issues and methodology underlying elementary mathematics in grades K-5. Topics include sets, arithmetic algorithms, elementary number theory, rational and irrational numbers, measurement, and probability. There is an emphasis on problem solving. Priority registration will be given to students enrolled in teacher education programs leading to certification in elementary or childhood education. Prerequisite: MATH 112 (formerly MATH 012) or equivalent.",Prerequisite: MATH 112 (formerly MATH 012) or equivalent.,,Quantitative Reasoning I,,,3.27
MATH 112,MATH,112,Algebra,3 Hours,"Rapid review of basic techniques of factoring, rational expressions, equations and inequalities; functions and graphs; exponential and logarithm functions; systems of equations; matrices and determinants; polynomials; and the binomial theorem. Prerequisite: 1.5 units of high school algebra and 1 unit of high school geometry.",Prerequisite: 1.5 units of high school algebra and 1 unit of high school geometry.,,,,,2.97
MATH 115,MATH,115,Preparation for Calculus,3 Hours,"Reviews trigonometric, rational, exponential, and logarithmic functions; provides a full treatment of limits, definition of derivative, and an introduction to finding area under a curve. Intended for students who need preparation for MATH 220, either because they lack the content background or because they are not prepared for the rigor of a university calculus course. Credit is not given toward graduation for: Credit is not given for both MATH 115 and MATH 114. Credit is not given for MATH 115 if credit for either MATH 220 or MATH 221 has been earned. Prerequisite: MATH 112.",Prerequisite: MATH 112.,"Credit is not given toward graduation for: Credit is not given for both MATH 115 and MATH 114.

Credit is not given for MATH 115 if credit for either MATH 220 or MATH 221 has been earned.",Quantitative Reasoning I,,,2.66
MATH 117,MATH,117,Elementary Mathematics,4 Hours,"Analyses of the mathematical issues and methodology underlying elementary mathematics in grades 6-8. Topics include the Real number system and field axioms, sequences and series, functions and math modeling with technology, Euclidean and non-Euclidean geometry, probability and statistics. Priority registration will be given to students enrolled in teacher education programs leading to certification in elementary education. Prerequisite: MATH 112 or equivalent.",Prerequisite: MATH 112 or equivalent.,,Quantitative Reasoning I,,,3.38
MATH 119,MATH,119,Ideas in Geometry,3 Hours,"General education course in mathematics, for students who do not have mathematics as a central part of their studies. The goal is to convey the spirit of mathematical thinking through topics chosen mainly from plane geometry. Prerequisite: Two units of high school algebra; one unit of high school geometry; or equivalent.",Prerequisite: Two units of high school algebra; one unit of high school geometry; or equivalent.,,Quantitative Reasoning I,,,3.27
MATH 124,MATH,124,Finite Mathematics,3 Hours,"[IAI Code: M1906] Introduction to finite mathematics for students in the social sciences; introduces the student to the basic ideas of logic, set theory, probability, vectors and matrices, and Markov chains. Problems are selected from social sciences and business. Prerequisite: MATH 112 (formerly MATH 012) or an adequate ALEKS score.",Prerequisite: MATH 112 (formerly MATH 012) or an adequate ALEKS score.,,Quantitative Reasoning I,,,2.89
MATH 181,MATH,181,A Mathematical World,3 Hours,"Introduction to selected areas of mathematical sciences through application to modeling and solution of problems involving networks, circuits, trees, linear programming, random samples, regression, probability, inference, voting systems, game theory, symmetry and tilings, geometric growth, comparison of algorithms, codes and data management. Prerequisite: Three years of high school mathematics, including two years of algebra and one year of geometry.","Prerequisite: Three years of high school mathematics, including two years of algebra and one year of geometry.",,Quantitative Reasoning I,,,3.47
MATH 199,MATH,199,Undergraduate Open Seminar,1 to 5 Hours,Approved for both letter and S/U grading. May be repeated.,,,,,,3.83
MATH 213,MATH,213,Basic Discrete Mathematics,3 Hours,"[IAI Code: M1905] Beginning course on discrete mathematics, including sets and relations, functions, basic counting techniques, recurrence relations, graphs and trees, and matrix algebra; emphasis throughout is on algorithms and their efficacy. Credit is not given toward graduation for: Credit is not given for both MATH 213 and CS 173. Prerequisite: MATH 220 or MATH 221, or equivalent.","Prerequisite: MATH 220 or MATH 221, or equivalent.",Credit is not given toward graduation for: Credit is not given for both MATH 213 and CS 173.,Quantitative Reasoning II,,,3.12
