course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
MDVL 111,MDVL,111,Ancient to Medieval Art,4 Hours,Same as ARTH 111. See ARTH 111.,,,,,,
MDVL 122,MDVL,122,The Middle Ages in Popular Culture,3 Hours,Same as ENGL 122. See ENGL 122.,,,Humanities - Lit & Arts,,,
MDVL 201,MDVL,201,Medieval Literature and Culture,3 Hours,Same as CWL 253 and ENGL 202. See ENGL 202.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
MDVL 216,MDVL,216,Legends of King Arthur,3 Hours,Same as CWL 216 and ENGL 216. See ENGL 216.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
MDVL 222,MDVL,222,Medieval Art,3 Hours,Same as ARTH 222. See ARTH 222.,,,,,,
MDVL 231,MDVL,231,Northern Renaissance Art,3 Hours,Same as ARTH 231. See ARTH 231.,,,,,,
MDVL 240,MDVL,240,Italy Middle Ages & Renaiss,3 Hours,Same as CWL 240 and ITAL 240. See ITAL 240.,,,Humanities - Lit & Arts,,,
MDVL 245,MDVL,245,"Wives, Workers and Witches in Pre-Modern Europe",3 Hours,Same as GWS 245 and HIST 245. See HIST 245.,,,,,,
MDVL 247,MDVL,247,Medieval Europe,3 Hours,Same as HIST 247. See HIST 247.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
MDVL 251,MDVL,251,Viking Mythology,3 Hours,"Same as CWL 251, REL 251, and SCAN 251. See SCAN 251.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
MDVL 252,MDVL,252,Viking Sagas in Translation,3 Hours,Same as CWL 252 and SCAN 252. See SCAN 252.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,
MDVL 255,MDVL,255,British Isles to 1688,3 Hours,Same as HIST 255. See HIST 255.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
MDVL 344,MDVL,344,Jewish Intellectual History: Encounters with Islam and Christianity,3 Hours,Same as JS 344 and REL 344. See REL 344.,,,,,,
MDVL 345,MDVL,345,Medieval Civilization,3 Hours,Same as HIST 345 and REL 345. See HIST 345.,,,,,,
MDVL 346,MDVL,346,The Age of the Renaissance,3 Hours,Same as HIST 346 and REL 346. See HIST 346.,,,,,,
MDVL 407,MDVL,407,Introduction to Old English,3 or 4 Hours,Same as ENGL 407. See ENGL 407.,,,,,,
MDVL 410,MDVL,410,Topics in Medieval British and Irish Literature,3 or 4 Hours,Same as CWL 417 and ENGL 412. See ENGL 412.,,,,,,
MDVL 411,MDVL,411,Chaucer,3 or 4 Hours,Same as ENGL 411. See ENGL 411.,,,,,,
MDVL 412,MDVL,412,Medieval Architecture,3 Hours,Same as ARCH 412 and ARTH 412. See ARCH 412.,,,,,,
MDVL 413,MDVL,413,Dante,3 or 4 Hours,Same as CWL 413 and ITAL 413. See ITAL 413.,,,,,,
MDVL 414,MDVL,414,Petrarch & Boccaccio,3 or 4 Hours,Same as CWL 414 and ITAL 414. See ITAL 414.,,,,,,
MDVL 417,MDVL,417,Topics in the History of Romance Languages,3 or 4 Hours,Same as FR 417 and RMLG 417. See FR 417.,,,,,,
MDVL 420,MDVL,420,Masterpieces Renaiss Lit,3 or 4 Hours,Same as CWL 420 and ITAL 420. See ITAL 420.,,,,,,
MDVL 423,MDVL,423,Romanesque Art,3 or 4 Hours,Same as ARTH 423. See ARTH 423.,,,,,,
MDVL 424,MDVL,424,Gothic Art,3 or 4 Hours,Same as ARTH 424. See ARTH 424.,,,,,,
MDVL 431,MDVL,431,Topics: Northern Art 1300-1500,3 or 4 Hours,Same as ARTH 431. See ARTH 431.,,,,,,
MDVL 433,MDVL,433,Fifteenth-Century Italian Art,3 or 4 Hours,Same as ARTH 433. See ARTH 433.,,,,,,
MDVL 440,MDVL,440,Early Christian Thought,3 or 4 Hours,Same as REL 440. See REL 440.,,,,,,
MDVL 443,MDVL,443,Byzantine Empire AD 284-717,3 or 4 Hours,Same as HIST 443. See HIST 443.,,,,,,
MDVL 444,MDVL,444,Medieval England,2 to 4 Hours,Same as HIST 445. See HIST 445.,,,,,,
MDVL 460,MDVL,460,Medieval Latin,3 or 4 Hours,Same as LAT 460. See LAT 460.,,,,,,
MDVL 470,MDVL,470,Middle Ages to Baroque,3 Hours,Same as GER 470. See GER 470.,,,,,,
MDVL 500,MDVL,500,Seminar in Medieval Studies,4 Hours,"Team-taught, interdisciplinary seminar on varying topics in Medieval Studies drawing on faculty from UIUC and invited scholars from other universities. Approved for letter and S/U grading. May be repeated to a maximum of 12 hours.",,,,,,
MDVL 504,MDVL,504,Genesis in History,4 Hours,Same as REL 504. See REL 504.,,,,,,
MDVL 505,MDVL,505,Old Norse-Icelandic I,4 Hours,Same as SCAN 505. See SCAN 505.,,,,,,
MDVL 506,MDVL,506,Old Norse-Icelandic II,4 Hours,Same as SCAN 506. See SCAN 506.,,,,,,
MDVL 512,MDVL,512,Seminar in Medieval Architecture,3 Hours,Same as ARCH 512. See ARCH 512.,,,,,,
MDVL 514,MDVL,514,Seminar in Medieval Literature,4 Hours,Same as ENGL 514. See ENGL 514.,,,,,,
MDVL 515,MDVL,515,Middle High German,4 Hours,Same as GER 515. See GER 515.,,,,,,
MDVL 522,MDVL,522,Seminar in Medieval Art,4 Hours,Same as ARTH 522. See ARTH 522.,,,,,,
MDVL 530,MDVL,530,Old High German,4 Hours,Same as GER 530. See GER 530.,,,,,,
MDVL 540,MDVL,540,Seminar in N. Renaissance Art,4 Hours,Same as ARTH 531. See ARTH 531.,,,,,,
MDVL 542,MDVL,542,Problems in Medieval History,4 Hours,Same as HIST 542. See HIST 542.,,,,,,
MDVL 543,MDVL,543,Research Seminar: Medieval,4 Hours,Same as HIST 543. See HIST 543.,,,,,,
MDVL 570,MDVL,570,Seminar Old French Literature,4 Hours,Same as FR 570. See FR 570.,,,,,,
MDVL 571,MDVL,571,Medieval German Studies,4 Hours,Same as GER 571. See GER 571.,,,,,,
