course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
NEUR 302,NEUR,302,Applied Neuroscience,3 Hours,Same as PSYC 302. See PSYC 302.,,,,,,
NEUR 313,NEUR,313,"Drugs, Brain and Behavior",3 Hours,Same as PSYC 313. See PSYC 313.,,,,,,
NEUR 314,NEUR,314,Introduction to Neurobiology,3 Hours,Same as MCB 314. See MCB 314.,,,,,,
NEUR 403,NEUR,403,Memory and Amnesia,3 or 4 Hours,Same as PSYC 403. See PSYC 403.,,,,,,
NEUR 405,NEUR,405,Cognitive Neuroscience,3 or 4 Hours,Same as PSYC 404. See PSYC 404.,,,,,,
NEUR 413,NEUR,413,Advanced Neuropsychopharmacology,3 or 4 Hours,Same as PSYC 413. See PSYC 413.,,,,,,
NEUR 414,NEUR,414,"Brain, Learning, and Memory",3 or 4 Hours,Same as PSYC 414. See PSYC 414.,,,,,,
NEUR 417,NEUR,417,Neuroscience of Eating & Drinking,3 or 4 Hours,"Same as FSHN 417, NUTR 417 and PSYC 417. See PSYC 417.",,,,,,
NEUR 421,NEUR,421,Principles of Psychophysiology,3 or 4 Hours,Same as PSYC 421. See PSYC 421.,,,,,,
NEUR 432,NEUR,432,Genes and Behavior,3 Hours,"Same as ANTH 432, IB 432, and PSYC 432. See IB 432.",,,,,,
NEUR 433,NEUR,433,Evolutionary Neuroscience,3 or 4 Hours,"Same as IB 436, PHIL 433 and PSYC 433. See PSYC 433.",,,,,,
NEUR 445,NEUR,445,Cognitive Neuroscience Lab,4 Hours,Same as PSYC 445. See PSYC 445.,,,,,,
NEUR 450,NEUR,450,Cognitive Psychophysiology,3 or 4 Hours,Same as PSYC 450. See PSYC 450.,,,,,,
NEUR 451,NEUR,451,Neurobio of Aging,0 to 4 Hours,Same as PSYC 451. See PSYC 451.,,,,,,
NEUR 453,NEUR,453,Cog Neuroscience of Vision,3 or 4 Hours,Same as PSYC 453. See PSYC 453.,,,,,,
NEUR 454,NEUR,454,Neuroimmunology,3 Hours,Same as ANSC 454. See ANSC 454.,,,,,,
NEUR 461,NEUR,461,Cell & Molecular Neuroscience,3 Hours,Same as MCB 461. See MCB 461.,,,,,,
NEUR 462,NEUR,462,Integrative Neuroscience,3 Hours,Same as MCB 462. See MCB 462.,,,,,,
NEUR 500,NEUR,500,Topics in Neuroscience,1 Hour,"Critical reading and discussion of current papers from the neuroscience literature, and discussion of other relevant topics such as ethics and career and professional skills development. Grading based on attendance and participation. Approved for letter and S/U grading. May be repeated to a maximum of 2 hours. Prerequisite: Enrollment in Neuroscience Ph.D. program or consent of instructor.",Prerequisite: Enrollment in Neuroscience Ph.D. program or consent of instructor.,,,,,
NEUR 520,NEUR,520,Advanced Topics in Neuroscience,0 or 1 Hours,Survey of current research in modern neuroscience. Approved for S/U grading only. May be repeated.,,,,,,
NEUR 529,NEUR,529,Professional Development Program,1 Hour,Preparation of professional materials and development of professional competencies essential for success in neuroscience careers. Approved for S/U grading only. Prerequisite: Restricted to graduate students in the Neuroscience Program.,Prerequisite: Restricted to graduate students in the Neuroscience Program.,,,,,
NEUR 542,NEUR,542,Interdisciplinary Approaches to Neuroscience I,"3 Hours
3 graduate hours.","The first course in a two-course series. An introduction for graduate students to the breadth and inter-disciplinary nature of neuroscience, focusing on fundamental papers in the field, as well as current research by faculty of the Neuroscience Program (NSP). Multiple NSP faculty participate. Topics include molecular and cellular neuroscience, behavioral neuroscience, neurogenomics, and neuroimmunology. Emphasizes critical thinking, concepts, and methods rather than facts, and is discussion-based. The last two weeks comprise student research presentations. Same as MCB 542 and PSYC 542. 3 graduate hours. No professional credit.",,,,,,
NEUR 543,NEUR,543,Interdisciplinary Approaches to Neuroscience II,3 Hours,"The second course in a two-course series. An introduction for graduate students to the breadth and inter-disciplinary nature of neuroscience, focusing on fundamental papers in the field, as well as current research by faculty of the Neuroscience Program (NSP). Multiple NSP faculty participate. Topics include cognitive and clinical neuroscience, auditory and systems neuroscience, and neural engineering. Emphasizes critical thinking, concepts, and methods rather than facts, and is discussion-based. The last two weeks comprise student-led teaching modules. Same as MCB 543 and PSYC 543. Prerequisite: NEUR 542 or consent of instructor.",Prerequisite: NEUR 542 or consent of instructor.,,,,,
NEUR 590,NEUR,590,Indiv Topics Neuroscience,1 to 16 Hours,"Individual topics of research supervised by Neuroscience faculty. Usually taken in one of the eight Neuroscience concentration areas: 1) neuroanatomy, 2) neurophysiology, 3) cognitive and behavioral neuroscience, 4) neurochemistry, neuropharmacology and neurotoxicology, 5) neuroendocrinology and neuroimmunology, 6) developmental genetic and molecular neuroscience, 7) clinical and biomedical neuroscience, 8) computational neuroscience. Typically taken by students before they choose their thesis topic. Approved for S/U grading only. May be repeated in the same or subsequent terms. Prerequisite: Consent of instructor.",Prerequisite: Consent of instructor.,,,,,
NEUR 598,NEUR,598,Proseminar in Psychology,0 to 2 Hours,Same as PSYC 598. See PSYC 598.,,,,,,
NEUR 599,NEUR,599,Thesis Research,0 to 16 Hours,Research on the thesis topic and preparation of the thesis. Approved for S/U grading only. May be repeated in the same term or in separate terms. Prerequisite: Consent of instructor.,Prerequisite: Consent of instructor.,,,,,
