course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
PHYS 100,PHYS,100,Thinking About Physics,2 Hours,Conceptual and problem solving skills in preparation for PHYS 211: --analysis and mathematical descriptions of physical situations --understanding the meaning of the solutions Prerequisite: Credit or concurrent registration in MATH 220 or MATH 221.,Conceptual and problem solving skills in preparation for PHYS 211: --analysis and mathematical descriptions of physical situations --understanding the meaning of the solutions Prerequisite: Credit or concurrent registration in MATH 220 or MATH 221.,,,,,,"[PHYS 100 Thinking About Physics credit: 2 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/100>)

Conceptual and problem solving skills in preparation for [PHYS 211](<https://catalog.illinois.edu/search/?P=PHYS%20211>): --analysis and mathematical descriptions of physical situations --understanding the meaning of the solutions Prerequisite: Credit or concurrent registration in [MATH 220](<https://catalog.illinois.edu/search/?P=MATH%20220>) or [MATH 221](<https://catalog.illinois.edu/search/?P=MATH%20221>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 101,PHYS,101,College Physics: Mech & Heat,5 Hours,"[IAI Code: P1900L] Newton's Laws, work and energy, rotational motion, fluids, thermodynamics, and waves. A noncalculus-based approach for majors in the life sciences, preprofessional health programs, agriculture, and veterinary medicine. Credit is not given toward graduation for: Credit is not given for both PHYS 101 and either PHYS 211 or PHYS 213. Prerequisite: Trigonometry.",Prerequisite: Trigonometry.,Credit is not given toward graduation for: Credit is not given for both PHYS 101 and either PHYS 211 or PHYS 213.,"Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",,,,"[PHYS 101 College Physics: Mech & Heat credit: 5 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/101>)

[IAI Code: P1900L] Newton's Laws, work and energy, rotational motion, fluids, thermodynamics, and waves. A noncalculus-based approach for majors in the life sciences, preprofessional health programs, agriculture, and veterinary medicine. Credit is not given toward graduation for: Credit is not given for both [PHYS 101](<https://catalog.illinois.edu/search/?P=PHYS%20101>) and either [PHYS 211](<https://catalog.illinois.edu/search/?P=PHYS%20211>) or [PHYS 213](<https://catalog.illinois.edu/search/?P=PHYS%20213>). Prerequisite: Trigonometry.
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 102,PHYS,102,College Physics: E&M & Modern,5 Hours,"Electric forces and fields, electric potential, electric circuits, magnetic forces and fields, geometrical optics, relativity, and modern physics. A noncalculus-based approach for majors in the life sciences, preprofessional health programs, agriculture, and veterinary medicine. Credit is not given for both PHYS 102 and either PHYS 212 or PHYS 214. Prerequisite: PHYS 101.",Prerequisite: PHYS 101.,Credit is not given for both PHYS 102 and either PHYS 212 or PHYS 214.,"Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",,,,"[PHYS 102 College Physics: E&M & Modern credit: 5 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/102>)

Electric forces and fields, electric potential, electric circuits, magnetic forces and fields, geometrical optics, relativity, and modern physics. A noncalculus-based approach for majors in the life sciences, preprofessional health programs, agriculture, and veterinary medicine. Credit is not given for both [PHYS 102](<https://catalog.illinois.edu/search/?P=PHYS%20102>) and either [PHYS 212](<https://catalog.illinois.edu/search/?P=PHYS%20212>) or [PHYS 214](<https://catalog.illinois.edu/search/?P=PHYS%20214>). Prerequisite: [PHYS 101](<https://catalog.illinois.edu/search/?P=PHYS%20101>).
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 110,PHYS,110,Physics Careers,0 Hours,"Exploration of careers founded on physics undergraduate training. Introduction to the Physics Department, faculty, research and curricula. Outside speaker presentations. Approved for S/U grading only.",,,,,,,"[PHYS 110 Physics Careers credit: 0 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/110>)

Exploration of careers founded on physics undergraduate training. Introduction to the Physics Department, faculty, research and curricula. Outside speaker presentations. Approved for S/U grading only.",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 140,PHYS,140,How Things Work,3 Hours,"Nonmathematical approach underscoring the generality and ubiquity of basic physical laws in understanding commonplace phenomena: musical instruments, photography, electric and electronic circuits, television, motors, engines, etc. Credit is not given to engineering majors.",,Credit is not given to engineering majors.,,,,,"[PHYS 140 How Things Work credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/140>)

Nonmathematical approach underscoring the generality and ubiquity of basic physical laws in understanding commonplace phenomena: musical instruments, photography, electric and electronic circuits, television, motors, engines, etc. Credit is not given to engineering majors.",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 150,PHYS,150,Physics of Societal Issues,3 Hours,"[IAI Code: P1901] Physics topics and applications relevant in the modern world: energy, quantum mechanics, electricity and magnetism, nuclear physics, waves, light, and outer space. Application to satellites, alternative energy, medical imaging, radiation, nuclear weapons, climate change, and electronics. Emphasis on analytical thinking and the applicability to modern societal issues.",,,,,,,"[PHYS 150 Physics of Societal Issues credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/150>)

[IAI Code: P1901] Physics topics and applications relevant in the modern world: energy, quantum mechanics, electricity and magnetism, nuclear physics, waves, light, and outer space. Application to satellites, alternative energy, medical imaging, radiation, nuclear weapons, climate change, and electronics. Emphasis on analytical thinking and the applicability to modern societal issues.",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 199,PHYS,199,Undergraduate Open Seminar,0 to 5 Hours,Approved for letter and S/U grading. May be repeated.,,,,,,,"[PHYS 199 Undergraduate Open Seminar credit: 0 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/199>)

Approved for letter and S/U grading. May be repeated.",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 211,PHYS,211,University Physics: Mechanics,4 Hours,"[IAI Code: P2900L and PHY911] Newton's Laws, work and energy, static properties and fluids, oscillations, transverse waves, systems of particles, and rotations. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given toward graduation for: Credit is not given for both PHYS 211 and PHYS 101. Prerequisite: Credit or concurrent registration in MATH 231.",Prerequisite: Credit or concurrent registration in MATH 231.,Credit is not given toward graduation for: Credit is not given for both PHYS 211 and PHYS 101.,"Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",,,,"[PHYS 211 University Physics: Mechanics credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/211>)

[IAI Code: P2900L and PHY911] Newton's Laws, work and energy, static properties and fluids, oscillations, transverse waves, systems of particles, and rotations. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given toward graduation for: Credit is not given for both [PHYS 211](<https://catalog.illinois.edu/search/?P=PHYS%20211>) and [PHYS 101](<https://catalog.illinois.edu/search/?P=PHYS%20101>). Prerequisite: Credit or concurrent registration in [MATH 231](<https://catalog.illinois.edu/search/?P=MATH%20231>).
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 212,PHYS,212,University Physics: Elec & Mag,4 Hours,"[IAI Code: PHY912] Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,Credit is not given toward graduation for: Credit is not given for both PHYS 212 and PHYS 102.,"Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",,,,"[PHYS 212 University Physics: Elec & Mag credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/212>)

[IAI Code: PHY912] Coulomb's Law, electric fields, Gauss' Law, electric potential, capacitance, circuits, magnetic forces and fields, Ampere's law, induction, electromagnetic waves, polarization, and geometrical optics. A calculus-based approach for majors in engineering, mathematics, physics, and chemistry. Credit is not given toward graduation for: Credit is not given for both [PHYS 212](<https://catalog.illinois.edu/search/?P=PHYS%20212>) and [PHYS 102](<https://catalog.illinois.edu/search/?P=PHYS%20102>). Prerequisite: [PHYS 211](<https://catalog.illinois.edu/search/?P=PHYS%20211>); credit or concurrent registration in [MATH 241](<https://catalog.illinois.edu/search/?P=MATH%20241>).
This course satisfies the General Education Criteria for:
Nat Sci & Tech - Phys Sciences
Quantitative Reasoning II",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
PHYS 213,PHYS,213,Univ Physics: Thermal Physics,2 Hours,"First and second laws of thermodynamics including kinetic theory of gases, heat capacity, heat engines, introduction to entropy and statistical mechanics, and introduction to application of free energy and Boltzmann factor. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given for both PHYS 213 and PHYS 101. Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.",Prerequisite: PHYS 211; credit or concurrent registration in MATH 241.,Credit is not given for both PHYS 213 and PHYS 101.,,,,,"[PHYS 213 Univ Physics: Thermal Physics credit: 2 Hours.](<https://courses.illinois.edu/schedule/terms/PHYS/213>)

First and second laws of thermodynamics including kinetic theory of gases, heat capacity, heat engines, introduction to entropy and statistical mechanics, and introduction to application of free energy and Boltzmann factor. A calculus-based approach for majors in engineering, mathematics, physics and chemistry. Credit is not given for both [PHYS 213](<https://catalog.illinois.edu/search/?P=PHYS%20213>) and [PHYS 101](<https://catalog.illinois.edu/search/?P=PHYS%20101>). Prerequisite: [PHYS 211](<https://catalog.illinois.edu/search/?P=PHYS%20211>); credit or concurrent registration in [MATH 241](<https://catalog.illinois.edu/search/?P=MATH%20241>).",https://catalog.illinois.edu/courses-of-instruction/phys/,2026–2027
