course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
PSYC 100,PSYC,100,Intro Psych,4 Hours,"[IAI Code: S6900] Study of human behavior with special reference to perception, learning, memory, thinking, emotional life, and individual differences in intelligence, aptitude, and personality; emphasis on the scientific nature of psychological investigations; and discussion of research methods and the relation of their results to daily life and everyday problems. Lectures, discussions, and six hours of participation as a subject in psychological experiments.",,,Social & Beh Sci - Beh Sci,,,3.46
PSYC 102,PSYC,102,Psych Orientation,0 Hours,"Lectures designed to acquaint the psychology major with the various specializations available in the field, career exploration procedures, and a wide range of opportunities of special interest to psychology students. Recommended for freshmen in psychology. Approved for S/U grading only.",,,,,,
PSYC 144,PSYC,144,"Stereotypes, Prejudice & Discrimination",3 Hours,"Course in Inequality & Cultural Understanding provides an interdisciplinary introduction to questions related to societal inequality. Each section emphasizes experiential learning through, for example, field trips or hands-on, community-based research projects. Prerequisite: This course is intended for first and second year students.",Prerequisite: This course is intended for first and second year students.,,"Social & Beh Sci - Beh Sci
Cultural Studies - US Minority",,,3.72
PSYC 199,PSYC,199,Undergraduate Open Seminar,1 to 5 Hours,Approved for letter and S/U grading. May be repeated.,,,,,,
PSYC 201,PSYC,201,Intro to Social Psych,3 Hours,"[IAI Code: S8900 and PSY908] Systematic study of social factors in individual and group behavior; attention to social perception, motivation, and learning; attitudes, norms, and social influence processes; the development and dynamics of groups; and the effects of social and cultural factors on the individual. Prerequisite: PSYC 100.",Prerequisite: PSYC 100.,,Social & Beh Sci - Beh Sci,,,3.17
PSYC 204,PSYC,204,Intro to Brain and Cognition,3 Hours,"Introduction to the interdisciplinary field of cognitive neuroscience, which is concerned with how the cognitive systems supporting a broad range of capacities including memory, attention, and social and emotional processing, arise from the functioning of specific brain modules and brain mechanisms. Emphasizes how functional brain imaging and other cognitive neuroscience methods can be brought to bear on answering these questions. Prerequisite: PSYC 100.",Prerequisite: PSYC 100.,,,,,3.46
PSYC 207,PSYC,207,Psychology of Prejudice and Discrimination,3 Hours,"Examines the psychological causes and social consequences of prejudice and discrimination in society. Learn about the current state of prejudice and discrimination in the U.S., empirical methods for studying prejudice and discrimination, and psychological interventions for reducing prejudice and discrimination. Topics include stereotyping, cognitive biases, group conflict, ideology, implicit associations, subtle and benevolent forms of prejudice, and microaggressions.",,,Social & Beh Sci - Beh Sci,,,3.46
PSYC 210,PSYC,210,Behavioral Neuroscience,3 Hours,"Survey of current knowledge and speculation regarding the brain's role in perception, motivation, sexual behavior, thinking, memory, and learning, based upon human clinical data and research in animal models. Prerequisite: PSYC 100 or consent of instructor.",Prerequisite: PSYC 100 or consent of instructor.,,,,,2.82
PSYC 214,PSYC,214,The Psychology of Racism in the United States,3 Hours,"Introduction to the conceptual foundation of racism and how racism impacts racially marginalized individuals within the United States. Empirical research from psychology, sociology, and public health will be reviewed to understand the origin and historical underpinnings of racism, analyze the multidimensional and multilevel nature of racism, examine the impact of racism on racially marginalized groups, and understand the resilience of racially marginalized groups within the United States.",,,,,,2.69
PSYC 216,PSYC,216,Child Psych,3 Hours,[IAI Code: S6903] Study of the psychological development of the child. Credit is not given toward graduation for: Credit is not given for both PSYC 216 and EPSY 236. Prerequisite: PSYC 100.,Prerequisite: PSYC 100.,Credit is not given toward graduation for: Credit is not given for both PSYC 216 and EPSY 236.,,,,3.09
PSYC 220,PSYC,220,Images of Mind,3 Hours,"Introduction to neuroimaging and cognitive neuroscience, with a particular emphasis on critically evaluating neuroscience in the media. In addition to surveying reports in the popular press and their corresponding science articles, covers basic neuroanatomy, neuroimaging techniques, and a range of topics from cognitive neuroscience. Prerequisite: PSYC 100 or consent of instructor.",Prerequisite: PSYC 100 or consent of instructor.,,,,,3.34
PSYC 224,PSYC,224,Cognitive Psych,3 Hours,"Introduction to the psychological study of human information processing and memory; acquisition, retrieval, and forgetting; and general knowledge, concepts, reasoning, and related issues in cognition. Prerequisite: PSYC 100.",Prerequisite: PSYC 100.,,,,,3.16
PSYC 225,PSYC,225,"Language, Mind, and Brain",3 Hours,Same as LING 225. See LING 225.,,,Social & Beh Sci - Beh Sci,,,
PSYC 230,PSYC,230,Perception & Sensory Processes,3 Hours,Survey of the experimental psychology of sensory and perceptual processes and behavior; emphasis on the contribution of behavior science to understanding subjective experience of the physical and social environment.,,,Social & Beh Sci - Beh Sci,,,3.41
PSYC 235,PSYC,235,Intro to Statistics,3 Hours,"[IAI Code: M1902] Development of skill and understanding in the application of statistical methods to problems in psychological research; topics include descriptive statistics, probability theory and distributions, point and interval estimation, and hypothesis testing. Credit is not given toward graduation for: both PSYC 235 and any of STAT 100, ECON 202, EPSY 480, PSYC 301, SOC 485. Prerequisite: PSYC 100; college algebra or equivalent; or consent of academic advisor.",Prerequisite: PSYC 100; college algebra or equivalent; or consent of academic advisor.,"Credit is not given toward graduation for: both PSYC 235 and any of STAT 100, ECON 202, EPSY 480, PSYC 301, SOC 485.",Quantitative Reasoning I,,,2.97
PSYC 236,PSYC,236,Madness and Modern Society,3 Hours,Same as HIST 236. See HIST 236.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
PSYC 238,PSYC,238,Psychopathology and Problems in Living,3 Hours,"Conceptions and facts about disordered behavior, including psychoses, neuroses, and other patterns of psychological disturbance. Prerequisite: PSYC 100.",Prerequisite: PSYC 100.,,,,,3.14
PSYC 239,PSYC,239,Community Psych,3 Hours,"Redefines human and social problems and the implications for social programs and policies; reviews the historical antecedents, conceptual models, strategies and tactics of social and community programs; and employs examples from selected social systems (e.g., criminal justice, education, employment, and mental health). Prerequisite: PSYC 100.",Prerequisite: PSYC 100.,,Social & Beh Sci - Soc Sci,,,3.82
PSYC 245,PSYC,245,Industrial Org Psych,3 Hours,Systematic study of the application of psychological methods and principles in business and industry; emphasis on personnel selection and factors influencing efficiency. Prerequisite: PSYC 100; credit or concurrent registration in a statistics course.,Prerequisite: PSYC 100; credit or concurrent registration in a statistics course.,,,,,3.58
PSYC 248,PSYC,248,Learning and Memory,3 Hours,Survey of basic phenomena in learning and memory emphasizing experimental data from animal and human research. Prerequisite: PSYC 100.,Prerequisite: PSYC 100.,,,,,3.61
PSYC 250,PSYC,250,Psych of Personality,3 Hours,"Study of personality from various points of view: biological, experimental, social, and humanistic; surveys theory and empirical research in the study of personality. Prerequisite: PSYC 100.",Prerequisite: PSYC 100.,,,,,3.29
PSYC 255,PSYC,255,Decisions & Judgement,3 Hours,"Survey of research into human decision making and judgment. Students will learn to apply and test normative, descriptive, and cognitive theories of choice. Through readings and lectures, students will examine topics including optimality, bounded rationality, heuristics & biases, preference reversals, consumer choice, and experience-based decision making.",,,,,,3.38
PSYC 290,PSYC,290,Research Experience in Psych,1 to 4 Hours,"Supervised participation in research and scholarly activities, usually as an assistant to an investigator. Approved for S/U grading only. May be repeated to a maximum of 9 hours. Prerequisite: Ten hours of psychology or cognate area, or written consent of instructor.","Prerequisite: Ten hours of psychology or cognate area, or written consent of instructor.",,,,,
PSYC 296,PSYC,296,Introduction to Current Topics in Psychology,0 to 3 Hours,"Introductory treatment of current topics in the field of psychology. May be repeated up to 6 hours in the same semester, to a total of 9 hours in subsequent semesters. Prerequisite: PSYC 100 or consent of instructor.",Prerequisite: PSYC 100 or consent of instructor.,,,,,3.73
PSYC 301,PSYC,301,Psychological Statistics,5 Hours,"Development of skill and understanding of statistical methods for problems in psychological research; topics include descriptive statistics, probability theory and distributions, point and interval estimation, and hypothesis testing. The class also involves a computer laboratory. Strongly recommended to students who plan to pursue graduate studies in Psychology. Credit is not given toward graduation for both PSYC 301 and any of STAT 100, ECON 202, EPSY 480, PSYC 235, SOC 485.",,"Credit is not given toward graduation for both PSYC 301 and any of STAT 100, ECON 202, EPSY 480, PSYC 235, SOC 485.",Quantitative Reasoning I,,,
PSYC 302,PSYC,302,Applied Neuroscience,3 Hours,"Examines topics in neuroscience highly relevant to our daily lives, especially as it pertains to mental health. Topics include neurobiology related to anxiety, depression, addiction, exercise, learning, memory, and personality characteristics. Special attention will be paid to race, sex, and socioeconomic differences and their influence on both genetic risk and environmental stress. The class will emphasize critical thinking and conceptualization and will frequently include open discussions. Same as NEUR 302. Prerequisite: PSYC 100 or equivalent.",Prerequisite: PSYC 100 or equivalent.,,,,,3.34
PSYC 306,PSYC,306,Psychology of Morality,3 Hours,"Presents an overview and analysis of historical and current theory and research on moral psychology. Explores development of morality, moral reasoning and decision-making, rational and biased inputs to moral judgments, moral emotions, moral impression formation and person perception. Emphasis is on the social psychology of morality, but other perspectives such as developmental, cognitive, political, and individual differences will be explored. Prerequisite: PSYC 100 or equivalent.",Prerequisite: PSYC 100 or equivalent.,,,,,3.80
PSYC 308,PSYC,308,Psychology of Religion and Spirituality,3 Hours,"Examines major topics in the psychology of religion and spirituality to promote reflection on how religion shapes attitudes, behavior, and contemporary U.S. society. Through the lens of psychology, we explore questions such as: Why are some people religious and spiritual? How do we study religion and spirituality from a psychological perspective? What do religion and spirituality look like across the lifespan? Does religion shape prejudice, morality, violence, or altruism? What is the role of religion in promoting health? Overall, we will examine these and other questions to promote greater understanding regarding the role of religion and spirituality in the lives of individuals and larger society. Same as REL 308. Prerequisite: PSYC 100 or equivalent.",Prerequisite: PSYC 100 or equivalent.,,,,,3.77
PSYC 311,PSYC,311,Behavioral Neuroscience Lab,4 Hours,"Introduction to the research techniques used in behavioral neuroscience: includes behavioral analysis of drug effects, anatomy of the brain, hormones and behavior, neural circuits and related topics. Students will have direct experience working with laboratory rats to understand their importance in the advancement of our knowledge about how the brain functions. Prerequisite: Credit or concurrent registration in PSYC 210, or consent of instructor.","Prerequisite: Credit or concurrent registration in PSYC 210, or consent of instructor.",,,,,
PSYC 312,PSYC,312,Psychology of Race & Ethnicity,3 Hours,"Exploration of the theoretical, empirical, and experiential writings concerning the issues of race and ethnicity as they relate to human behavior from the perspective of the individual in various social contexts. Same as AFRO 312. Prerequisite: PSYC 100.",Prerequisite: PSYC 100.,,,,,3.68
PSYC 313,PSYC,313,"Drugs, Brain and Behavior",3 Hours,"Drugs are ubiquitous in our society, whether used for medicinal or recreational purposes. We may be led to believe that chemical substances can be the cure for all that ails us, or the source of our demise. In this course, we cut through the noise by introducing key concepts critical for understanding how drugs can impact behavior: where drugs come from, how they get into the brain, what they do once they are there, and how drug action can lead to complex behavioral responses. Same as NEUR 313. Prerequisite: PSYC 210 or the consent of the instructor.",Prerequisite: PSYC 210 or the consent of the instructor.,,,,,2.88
PSYC 318,PSYC,318,Psych of the Infant,3 Hours,"Early infant behavior, emphasizing critical evaluation of the various research techniques; prenatal and perinatal influences, ontogeny of psychological processes, environmental determinants, and infant assessment. Prerequisite: PSYC 216.",Prerequisite: PSYC 216.,,,,,3.54
PSYC 320,PSYC,320,The Teenage Years,3 Hours,"An introduction to development during the teenage years (12-18). The course will cover research on biological, cognitive, social, and emotional development. Topics will include pubertal development and its social consequences, changing relationships with parents, identity development, the increasingly important role of peers, school adjustment, the emergence of psychopathologies, and high risk behaviors such as substance use. The course will focus on normative development in the U.S., but it will also cover cross-cultural development. Prerequisite: PSYC 100 and PSYC 216.",Prerequisite: PSYC 100 and PSYC 216.,,,,,3.75
PSYC 321,PSYC,321,Human Memory,3 Hours,"Advanced treatment of human memory. Examines basic theory and methodology; types of memory; semantic, episodic, procedural, memory for language, places, and events; knowledge and memory; autobiographical memory; exceptional memory; mnemonics. Prerequisite: Six hours in psychology at or above the 200 level, such as PSYC 224 or PSYC 248.","Prerequisite: Six hours in psychology at or above the 200 level, such as PSYC 224 or PSYC 248.",,,,,3.92
PSYC 322,PSYC,322,Introduction to Intellectual Disability,3 Hours,Same as SPED 322. See SPED 322.,,,Social & Beh Sci - Beh Sci,,,
PSYC 324,PSYC,324,Developmental Psychopathology,3 Hours,"Overview of major theories and research in the field of developmental psychopathology. An emphasis will be placed on understanding how psychopathology is conceptualized from a developmental perspective. Topics will involve issues related to etiology, assessment, classification/diagnosis, and intervention. A range of psychological problems in childhood and adolescence will be discussed to illustrate the central themes. Prerequisite: PSYC 100 and either PSYC 216 or PSYC 238, or consent of instructor.","Prerequisite: PSYC 100 and either PSYC 216 or PSYC 238, or consent of instructor.",,,,,3.31
PSYC 328,PSYC,328,Psychology of Gender,3 Hours,"Discusses the similarities and differences between males and females across the lifespan, looking at possible biological and social explanations. Some of the topics covered include how children learn gender roles, similarities and differences across cognitive and social abilities, mental and physical health, and gender in different settings, including at work, at school, and at home. The course will also focus on agents of socialization, including the media, peers, and family. Prerequisite: PSYC 100 or equivalent.",Prerequisite: PSYC 100 or equivalent.,,,,,3.67
PSYC 329,PSYC,329,Animal Behavior,3 Hours,"Same as ANSC 366, ANTH 342, and IB 329. See IB 329.",,,,,,
