course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
REES 115,REES,115,Intro to Polish Culture,3 Hours,Same as POL 115. See POL 115.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,,"[REES 115 Intro to Polish Culture credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/REES/115>)

Same as [POL 115](<https://catalog.illinois.edu/search/?P=POL%20115>). See [POL 115](<https://catalog.illinois.edu/search/?P=POL%20115>).
This course satisfies the General Education Criteria for:
Humanities - Lit & Arts
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
REES 116,REES,116,Intro to Russian Culture,3 Hours,Same as RUSS 115. See RUSS 115.,,,"Humanities - Lit & Arts
Cultural Studies - Western",,,,"[REES 116 Intro to Russian Culture credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/REES/116>)

Same as [RUSS 115](<https://catalog.illinois.edu/search/?P=RUSS%20115>). See [RUSS 115](<https://catalog.illinois.edu/search/?P=RUSS%20115>).
This course satisfies the General Education Criteria for:
Humanities - Lit & Arts
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
REES 200,REES,200,Intro to Russia and Eurasia,3 Hours,"Survey of the societies and states formerly constituted as the Soviet Union. Interdisciplinary and team-taught. Combines lectures, discussions, and films covering the history, political science, economics, sociology, and culture of the area.",,,Social & Beh Sci - Soc Sci,,,,"[REES 200 Intro to Russia and Eurasia credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/REES/200>)

Survey of the societies and states formerly constituted as the Soviet Union. Interdisciplinary and team-taught. Combines lectures, discussions, and films covering the history, political science, economics, sociology, and culture of the area.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
REES 201,REES,201,Introduction to Eastern Europe,3 Hours,"Interdisciplinary survey of Eastern Europe focusing mostly on the 20th century to the present, exploring issues of nationalism, socialism, post socialism and EU accession. Focuses on Central Europe and the Balkans, but also references the Baltic States, Belarus, Ukraine, and Russia. Students will learn about the region using perspectives and methodology from historical, economic, political, sociological and anthropological texts.",,,Social & Beh Sci - Soc Sci,,,,"[REES 201 Introduction to Eastern Europe credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/REES/201>)

Interdisciplinary survey of Eastern Europe focusing mostly on the 20th century to the present, exploring issues of nationalism, socialism, post socialism and EU accession. Focuses on Central Europe and the Balkans, but also references the Baltic States, Belarus, Ukraine, and Russia. Students will learn about the region using perspectives and methodology from historical, economic, political, sociological and anthropological texts.
This course satisfies the General Education Criteria for:
Social & Beh Sci - Soc Sci",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
REES 228,REES,228,From Genghis Khan to the Taliban: War and Peace in Central Asia,3 Hours,Same as HIST 228. See HIST 228.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,,"[REES 228 From Genghis Khan to the Taliban: War and Peace in Central Asia credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/REES/228>)

Same as [HIST 228](<https://catalog.illinois.edu/search/?P=HIST%20228>). See [HIST 228](<https://catalog.illinois.edu/search/?P=HIST%20228>).
This course satisfies the General Education Criteria for:
Humanities - Hist & Phil
Cultural Studies - Non-West",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
REES 296,REES,296,Special Topics,3 Hours,"Topics in the interdisciplinary study of Russia, Eastern Europe, and Eurasia. Approved for letter and S/U grading. May be repeated in separate terms to a maximum of 6 hours.",,,,,,,"[REES 296 Special Topics credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/REES/296>)

Topics in the interdisciplinary study of Russia, Eastern Europe, and Eurasia. Approved for letter and S/U grading. May be repeated in separate terms to a maximum of 6 hours.",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
REES 390,REES,390,Individual Study or Research,3 Hours,Directed reading or research on selected topics. May be repeated to a maximum of 6 hours. Prerequisite: Consent of instructor supervising the work.,Prerequisite: Consent of instructor supervising the work.,,,,,,"[REES 390 Individual Study or Research credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/REES/390>)

Directed reading or research on selected topics. May be repeated to a maximum of 6 hours. Prerequisite: Consent of instructor supervising the work.",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
REES 477,REES,477,Post-Communist Fiction,3 or 4 Hours,Same as SLAV 477 and CWL 477. See SLAV 477.,,,,,,,"[REES 477 Post-Communist Fiction credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/REES/477>)

Same as [SLAV 477](<https://catalog.illinois.edu/search/?P=SLAV%20477>) and [CWL 477](<https://catalog.illinois.edu/search/?P=CWL%20477>). See [SLAV 477](<https://catalog.illinois.edu/search/?P=SLAV%20477>).",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
REES 493,REES,493,Honors Senior Thesis,"3 Hours
3 undergraduate hours. No graduate credit.",Undergraduate honors thesis. 3 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: REES major with senior standing and 3.5 grade-point average; consent of instructor supervising the work and the REEEC director.,Prerequisite: REES major with senior standing and 3.5 grade-point average; consent of instructor supervising the work and the REEEC director.,No graduate credit.,,,,,"[REES 493 Honors Senior Thesis credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/REES/493>)

Undergraduate honors thesis. 3 undergraduate hours. No graduate credit. May be repeated to a maximum of 6 hours. Prerequisite: REES major with senior standing and 3.5 grade-point average; consent of instructor supervising the work and the REEEC director.",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
REES 495,REES,495,Senior Seminar,"3 Hours
3 undergraduate hours. No graduate credit.","Interdisciplinary seminar normally taken in the senior year. Involving faculty in a number of disciplines, this course approaches understanding Russia, Eastern Europe, and Eurasia and the methodologies of its study through questions of identities, cultural values, and change. Taught in conjunction with REES 550. 3 undergraduate hours. No graduate credit. Prerequisite: Declared major in Russian, East European, and Eurasian Studies or consent of instructor; junior or senior standing.","Prerequisite: Declared major in Russian, East European, and Eurasian Studies or consent of instructor; junior or senior standing.",No graduate credit.,,,,,"[REES 495 Senior Seminar credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/REES/495>)

Interdisciplinary seminar normally taken in the senior year. Involving faculty in a number of disciplines, this course approaches understanding Russia, Eastern Europe, and Eurasia and the methodologies of its study through questions of identities, cultural values, and change. Taught in conjunction with [REES 550](<https://catalog.illinois.edu/search/?P=REES%20550>). 3 undergraduate hours. No graduate credit. Prerequisite: Declared major in Russian, East European, and Eurasian Studies or consent of instructor; junior or senior standing.",https://catalog.illinois.edu/courses-of-instruction/rees/,2026–2027
