course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
REL 101,REL,101,Bible as Literature,3 Hours,"[IAI Code: H5901] Themes and literary genres in the Bible, emphasizing content important in Western culture. Same as CWL 111 and ENGL 114.",,,Humanities - Lit & Arts,,,3.58
REL 104,REL,104,Asian Mythology,3 Hours,"Introductory survey of the mythologies of India, China, and Japan. Same as ASST 104.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,3.23
REL 106,REL,106,Archaeology and the Bible,3 Hours,"Examination of archaeological evidence, especially from Syria-Palestine, and discussion of its use in the interpretation of Biblical literature.",,,,,,
REL 108,REL,108,Religion & Society in West I,3 Hours,"Introduction to classic writers and texts in Western religious and social thought from antiquity to the Enlightenment, with emphasis on their social and historical contexts. Same as JS 108, ANTH 108, and PHIL 108.",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,3.66
REL 109,REL,109,Religion & Society in West II,3 Hours,"Introduction to classic writers and texts in Western religious and social thought from the Enlightenment to the present, with emphasis on their social and historical contexts. Same as ANTH 109 and PHIL 109..",,,"Humanities - Hist & Phil
Cultural Studies - Western",,,3.76
REL 110,REL,110,World Religions,3 Hours,"[IAI Code: H5904N] Survey of the leading living religions, including Hinduism, Buddhism, Confucianism, Taoism, Judaism, Christianity, and Islam; examination of basic texts and of philosophic theological elaborations of each religion. Same as PHIL 110.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,3.66
REL 111,REL,111,Elementary Greek I,4 Hours,Same as GRK 101. See GRK 101.,,,,,,
REL 112,REL,112,Elementary Greek II,4 Hours,Same as GRK 102. See GRK 102.,,,,,,
REL 115,REL,115,Language and Culture in India,3 Hours,Same as HNDI 115 and LING 115. See LING 115.,,,Cultural Studies - Non-West,,,
REL 116,REL,116,Faith & Self in Global Context,3 Hours,"Whether in fourth-century North African, tenth-century Japan, fourteenth-century Spain, or twentieth-century America, men and women have wrestled with the question of who they are and how they are to relate to the world. Through autobiographic writings, by reading the words of women and men attempting to make sense of the world and their place in it, we hope to focus attention on the personal dimensions of faith and of cross cultural contact at the same time that we provide an introduction to the worlds' major religions.",,,,,,
REL 120,REL,120,A History of Judaism,3 Hours,"Examines the social, political, economic, and intellectual history of the Jews from Abraham to the present-day, with particular attention to Jewish thought and society. Same as HIST 168 and JS 120.",,,"Advanced Composition
Humanities - Hist & Phil",,,3.23
REL 121,REL,121,Introduction to Christianity,3 Hours,"Typological and historical approaches to major forms of Christianity: Eastern Orthodoxy, Catholicism, and Protestantism.",,,,,,
REL 122,REL,122,History East Asian Religions,3 Hours,Same as EALC 122. See EALC 122.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
REL 132,REL,132,Zen,3 Hours,"Introduces the history, teachings, and practice of Zen Buddhism in China and Japan. Same as EALC 132.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,3.62
REL 134,REL,134,"Religion, Race, and Resistance",3 Hours,"Examination of religiously-informed responses to and rejections of racialized oppression in the history of North America, focusing on Native American, African American, and Muslim American experiences. Same as AFRO 134.",,,Cultural Studies - US Minority,,,3.26
REL 160,REL,160,Ancient Greek & Roman Religion,3 Hours,Same as CLCV 160. See CLCV 160.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
REL 170,REL,170,Nature Religion,3 Hours,"Introductory survey of religious traditions that locate sacred realities in the natural world, and of ecological traditions that attribute spiritual significance to nature. Same as ESE 170.",,,,,,
REL 199,REL,199,Undergraduate Open Seminar,1 to 5 Hours,Undergraduate Open Seminar. May be repeated.,,,,,,
REL 200,REL,200,Classical & Koine Greek I,4 Hours,Same as GRK 201. See GRK 201.,,,,,,
REL 201,REL,201,Hebrew Bible in English,3 Hours,[IAI Code: H5901] Analyzes the critical issues in the interpretation of the literature of the Hebrew Bible/Old Testament; surveys the history and religion of Ancient Israel with special reference to Israel's setting in the ancient Near East. Prerequisite: Sophomore standing or consent of instructor.,Prerequisite: Sophomore standing or consent of instructor.,,Humanities - Hist & Phil,,,
REL 202,REL,202,New Testament in English,3 Hours,"[IAI Code: H5901] Analyzes the literature of the New Testament in its social and religious setting, with special reference to the ministry and teaching of Jesus, the emergence of the church as a sect within ancient Judaism, and the development of Christian institutions in the Graeco-Roman world. Prerequisite: Sophomore standing or consent of instructor.",Prerequisite: Sophomore standing or consent of instructor.,,,,,
REL 204,REL,204,Classical & Koine Greek II,4 Hours,Same as GRK 202. See GRK 202.,,,,,,
REL 205,REL,205,Intensive Biblical Hebrew,5 Hours,Acquisition of reading knowledge of biblical Hebrew and a familiarity with all major aspects of biblical Hebrew grammar. Same as HEBR 205.,,,,,,
REL 208,REL,208,Cultures & Literatures of South Asia,3 Hours,"Introduction to the literary traditions of South Asia from the beginnings to the end of the Mughal era. Students will read - in translation - selections from a wide range of texts beginning with the earliest Vedic Hymns to the seventeenth and eighteenth century Sufi poetry and songs. Provides students an understanding of the heterogeneous and rich literary and cultural past of the region. Same as ASST 208, CWL 208, and SAME 208.",,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,3.94
REL 212,REL,212,History of Antisemitism,3 Hours,Same as JS 201. See JS 201.,,,"Humanities - Hist & Phil
Cultural Studies - Western",,,
REL 214,REL,214,Introduction to Islam,3 Hours,"History of Islamic thought from the time of Muhammad to the present, including the prophethood of Muhammad, the Qur'an, theology and law, mysticism and philosophy, sectarian movements, modernism and legal reform, and contemporary resurgence. Same as SAME 214.",,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,3.73
REL 215,REL,215,African Muslim Societies,3 Hours,Same as AFST 213 and HIST 213. See HIST 213.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
REL 220,REL,220,Jewish Storytelling,3 Hours,"Same as CWL 221, ENGL 223, JS 220, and YDSH 220. See YDSH 220.",,,,,,
REL 223,REL,223,The Qur'an (Koran),3 Hours,"Introduction to the Qur'an (Koran), the holy scripture of Islam, examining its major doctrines, thematic development, literary style, and its relationship to pre-Qur'anic, especially Biblical, traditions. Special attention is given to various methods Muslims have used to interpret the Qur'an. Same as CWL 223 and SAME 223. Prerequisite: REL 214.",Prerequisite: REL 214.,,"Humanities - Lit & Arts
Cultural Studies - Non-West",,,3.61
REL 224,REL,224,Chinese Thought and Culture,3 Hours,Same as EALC 222 and HIST 222. See EALC 222.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
REL 225,REL,225,Japanese Religions: Thought and Practice,3 Hours,Same as EALC 225. See EALC 225.,,,"Humanities - Hist & Phil
Cultural Studies - Non-West",,,
REL 230,REL,230,Philosophy of Religion Intro,3 Hours,Same as PHIL 230. See PHIL 230.,,,,,,
REL 231,REL,231,Happiness and the Good Life,3 Hours,"Explores the foundational question of what it means to live well or to live a good, meaningful, and happy life. This course introduces students to resources and concepts from Western philosophical and theological traditions to explore this central question. Students will critically and charitably engage these traditions, determining what resources they might offer and what considerations they might neglect. Same as PHIL 231.",,,Humanities - Hist & Phil,,,
REL 232,REL,232,Ancient Greek Sanctuaries,3 Hours,"Same as ARTH 218, and CLCV 232. See CLCV 232.",,,,,,
