course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
RUSS 101,RUSS,101,First-Year Russian I,4 Hours,"Oral-aural practice and elements of grammar, reading, and writing. For students who have no credit in Russian.",,For students who have no credit in Russian.,,,,,"[RUSS 101 First-Year Russian I credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/101>)

Oral-aural practice and elements of grammar, reading, and writing. For students who have no credit in Russian.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 102,RUSS,102,First-Year Russian II,4 Hours,"Continuation of RUSS 101. Oral-aural practice and elements of grammar, reading, and writing. Prerequisite: RUSS 101.",Prerequisite: RUSS 101.,,,,,,"[RUSS 102 First-Year Russian II credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/102>)

Continuation of [RUSS 101](<https://catalog.illinois.edu/search/?P=RUSS%20101>). Oral-aural practice and elements of grammar, reading, and writing. Prerequisite: [RUSS 101](<https://catalog.illinois.edu/search/?P=RUSS%20101>).",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 115,RUSS,115,Intro to Russian Culture,3 Hours,"Introduction to the culture of Russia and the USSR. Course addresses two central themes. First, the very distinctiveness of Russian culture, and the functions of that notion within Russia and for outsiders; Second, Russia as a cultural space between East and West. We will explore Russian culture through the following, the language(s); foundational narratives of collective memory going back to the medieval times; the cultural impact of colonial subjugation both by and of peoples to the East, South, and West; Russian Orthodoxy's connection with the political and cultural spheres; peak achievements in literature, music, architecture and visual arts. Same as REES 116.",,,"Humanities - Lit & Arts
Cultural Studies - Western",,,,"[RUSS 115 Intro to Russian Culture credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/115>)

Introduction to the culture of Russia and the USSR. Course addresses two central themes. First, the very distinctiveness of Russian culture, and the functions of that notion within Russia and for outsiders; Second, Russia as a cultural space between East and West. We will explore Russian culture through the following, the language(s); foundational narratives of collective memory going back to the medieval times; the cultural impact of colonial subjugation both by and of peoples to the East, South, and West; Russian Orthodoxy's connection with the political and cultural spheres; peak achievements in literature, music, architecture and visual arts. Same as [REES 116](<https://catalog.illinois.edu/search/?P=REES%20116>).
This course satisfies the General Education Criteria for:
Humanities - Lit & Arts
Cultural Studies - Western",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 122,RUSS,122,Russia and Black America,3 Hours,"A survey of the interactions and intersections between key African American figures and cultural practices, and Russian imperial, Soviet, and post-Soviet culture, in a historical, social, and political context, with emphasis on Russian-sourced cultural transfers that influenced and sometimes shaped the Black American experience and which functioned as the currency and medium of the African American–Russian connection. Same as AFRO 122 and CWL 122.",,,Cultural Studies - US Minority,,,,"[RUSS 122 Russia and Black America credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/122>)

A survey of the interactions and intersections between key African American figures and cultural practices, and Russian imperial, Soviet, and post-Soviet culture, in a historical, social, and political context, with emphasis on Russian-sourced cultural transfers that influenced and sometimes shaped the Black American experience and which functioned as the currency and medium of the African American–Russian connection. Same as [AFRO 122](<https://catalog.illinois.edu/search/?P=AFRO%20122>) and [CWL 122](<https://catalog.illinois.edu/search/?P=CWL%20122>).
This course satisfies the General Education Criteria for:
Cultural Studies - US Minority",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 199,RUSS,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,,"[RUSS 199 Undergraduate Open Seminar credit: 1 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/199>)

May be repeated.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 201,RUSS,201,Second-Year Russian I,4 Hours,"Oral-aural practice, systematic functional grammar, reading, and writing. Prerequisite: RUSS 102 or equivalent.",Prerequisite: RUSS 102 or equivalent.,,,,,,"[RUSS 201 Second-Year Russian I credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/201>)

Oral-aural practice, systematic functional grammar, reading, and writing. Prerequisite: [RUSS 102](<https://catalog.illinois.edu/search/?P=RUSS%20102>) or equivalent.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 202,RUSS,202,Second-Year Russian II,4 Hours,"Systematic review of the structure of Russian covered in RUSS 101, RUSS 102, and RUSS 201 through class lectures, drills, and homework exercises. Prerequisite: RUSS 201.",Prerequisite: RUSS 201.,,,,,,"[RUSS 202 Second-Year Russian II credit: 4 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/202>)

Systematic review of the structure of Russian covered in [RUSS 101](<https://catalog.illinois.edu/search/?P=RUSS%20101>), [RUSS 102](<https://catalog.illinois.edu/search/?P=RUSS%20102>), and [RUSS 201](<https://catalog.illinois.edu/search/?P=RUSS%20201>) through class lectures, drills, and homework exercises. Prerequisite: [RUSS 201](<https://catalog.illinois.edu/search/?P=RUSS%20201>).",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 219,RUSS,219,Soviet and Post-Soviet Cinema Survey,3 Hours,"Survey of Soviet and Post-Soviet film, from Eisenstein to the present. Weekly film screenings. No knowledge of Russian required.",,,,,,,"[RUSS 219 Soviet and Post-Soviet Cinema Survey credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/219>)

Survey of Soviet and Post-Soviet film, from Eisenstein to the present. Weekly film screenings. No knowledge of Russian required.",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 220,RUSS,220,Golden Age of Russian Literature,3 Hours,"Survey of Russian literature in the long 19th century; romanticism, realism, nationalism, orientalism, empire; writers may include Pushkin, Gogol, Lermontov, Pavlova, Turgenev, Dostoevsky, Tolstoy, Chekhov, and others; reading and discussion in English. Same as CWL 227.",,,"Advanced Composition
Humanities - Lit & Arts",,,,"[RUSS 220 Golden Age of Russian Literature credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/220>)

Survey of Russian literature in the long 19th century; romanticism, realism, nationalism, orientalism, empire; writers may include Pushkin, Gogol, Lermontov, Pavlova, Turgenev, Dostoevsky, Tolstoy, Chekhov, and others; reading and discussion in English. Same as [CWL 227](<https://catalog.illinois.edu/search/?P=CWL%20227>).
This course satisfies the General Education Criteria for:
Advanced Composition
Humanities - Lit & Arts",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
RUSS 225,RUSS,225,Soviet and Post-Soviet Lit,3 Hours,"[IAI Code: H3909] Major works from 1900 to the present; futurism, modernism, Stalinism, post-modernism, and after; writers may include Mayakovsky, Babel, Olesha, Akhmatova, Bulgakov, Nabokov, Solzhenitsyn, Tolstaya, and others; readings and discussion in English. Same as CWL 249.",,,Humanities - Lit & Arts,,,,"[RUSS 225 Soviet and Post-Soviet Lit credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/RUSS/225>)

[IAI Code: H3909] Major works from 1900 to the present; futurism, modernism, Stalinism, post-modernism, and after; writers may include Mayakovsky, Babel, Olesha, Akhmatova, Bulgakov, Nabokov, Solzhenitsyn, Tolstaya, and others; readings and discussion in English. Same as [CWL 249](<https://catalog.illinois.edu/search/?P=CWL%20249>).
This course satisfies the General Education Criteria for:
Humanities - Lit & Arts",https://catalog.illinois.edu/courses-of-instruction/russ/,2026–2027
