course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa,catalog_text,source_url,catalog_year
SLAV 117,SLAV,117,Russ & E Euro Science Fiction,3 Hours,"Survey of the science fiction writing of Russia and the countries of Eastern Europe since 1750, with particular emphasis on the post-World War II period. The role of the Science Fiction tradition in the respective national cultures. The influence on Russian and East European Science Fiction of Anglo-American Science Fiction. All readings are in English. Same as CWL 117.",,,Humanities - Lit & Arts,,,,"[SLAV 117 Russ & E Euro Science Fiction credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/SLAV/117>)

Survey of the science fiction writing of Russia and the countries of Eastern Europe since 1750, with particular emphasis on the post-World War II period. The role of the Science Fiction tradition in the respective national cultures. The influence on Russian and East European Science Fiction of Anglo-American Science Fiction. All readings are in English. Same as [CWL 117](<https://catalog.illinois.edu/search/?P=CWL%20117>).
This course satisfies the General Education Criteria for:
Humanities - Lit & Arts",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
SLAV 120,SLAV,120,Russian & E Euro Folktales,3 Hours,"Introduction to Russian and East European folktales, focusing on folk beliefs, fairy tales, and folk narratives in Slavic languages from a comparative perspective, with an emphasis on methods of analysis and the role of gender.",,,,,,,"[SLAV 120 Russian & E Euro Folktales credit: 3 Hours.](<https://courses.illinois.edu/schedule/terms/SLAV/120>)

Introduction to Russian and East European folktales, focusing on folk beliefs, fairy tales, and folk narratives in Slavic languages from a comparative perspective, with an emphasis on methods of analysis and the role of gender.",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
SLAV 199,SLAV,199,Undergraduate Open Seminar,1 to 5 Hours,May be repeated.,,,,,,,"[SLAV 199 Undergraduate Open Seminar credit: 1 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/SLAV/199>)

May be repeated.",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
SLAV 300,SLAV,300,Languages and Literatures Career Preparation,1 Hour,"Explores career and educational opportunities for foreign language and literature majors; the skills gained in the major; long-term career planning and preparation; researching jobs and organizations, graduate school options; resume preparation and interviewing skills. Career fair participation. Same as SLCL 300. Students may not receive credit for both SLAV 300 and HUM 275.",,Students may not receive credit for both SLAV 300 and HUM 275.,,,,,"[SLAV 300 Languages and Literatures Career Preparation credit: 1 Hour.](<https://courses.illinois.edu/schedule/terms/SLAV/300>)

Explores career and educational opportunities for foreign language and literature majors; the skills gained in the major; long-term career planning and preparation; researching jobs and organizations, graduate school options; resume preparation and interviewing skills. Career fair participation. Same as [SLCL 300](<https://catalog.illinois.edu/search/?P=SLCL%20300>). Students may not receive credit for both [SLAV 300](<https://catalog.illinois.edu/search/?P=SLAV%20300>) and [HUM 275](<https://catalog.illinois.edu/search/?P=HUM%20275>).",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
SLAV 399,SLAV,399,Advanced Undergraduate Open Seminar,1 to 5 Hours,"Topics will vary. May be repeated, if topics vary.",,,,,,,"[SLAV 399 Advanced Undergraduate Open Seminar credit: 1 to 5 Hours.](<https://courses.illinois.edu/schedule/terms/SLAV/399>)

Topics will vary. May be repeated, if topics vary.",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
SLAV 417,SLAV,417,11th-17thC Literature & Lang,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Historical grammar, origin, and development of the East Slavic literary languages (Russian, Ukrainian, Belarusian), survey of literary genres of the period. 3 undergraduate hours. 4 graduate hours. Prerequisite: Graduate standing; for undergraduates, completion of or placement beyond RUSS 301-RUSS 302; or, consent of instructor.","Prerequisite: Graduate standing; for undergraduates, completion of or placement beyond RUSS 301-RUSS 302; or, consent of instructor.",,,,,,"[SLAV 417 11th-17thC Literature & Lang credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/SLAV/417>)

Historical grammar, origin, and development of the East Slavic literary languages (Russian, Ukrainian, Belarusian), survey of literary genres of the period. 3 undergraduate hours. 4 graduate hours. Prerequisite: Graduate standing; for undergraduates, completion of or placement beyond [RUSS 301](<https://catalog.illinois.edu/search/?P=RUSS%20301>)-[RUSS 302](<https://catalog.illinois.edu/search/?P=RUSS%20302>); or, consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
SLAV 418,SLAV,418,Language & Minorities in Europe,3 or 4 Hours,"Same as EURO 418, FR 418, GER 418, ITAL 418, LING 418, PS 418, and SPAN 418. See FR 418.",,,,,,,"[SLAV 418 Language & Minorities in Europe credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/SLAV/418>)

Same as [EURO 418](<https://catalog.illinois.edu/search/?P=EURO%20418>), [FR 418](<https://catalog.illinois.edu/search/?P=FR%20418>), [GER 418](<https://catalog.illinois.edu/search/?P=GER%20418>), [ITAL 418](<https://catalog.illinois.edu/search/?P=ITAL%20418>), [LING 418](<https://catalog.illinois.edu/search/?P=LING%20418>), [PS 418](<https://catalog.illinois.edu/search/?P=PS%20418>), and [SPAN 418](<https://catalog.illinois.edu/search/?P=SPAN%20418>). See [FR 418](<https://catalog.illinois.edu/search/?P=FR%20418>).",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
SLAV 419,SLAV,419,Russian & East European Film,"3 or 4 Hours
3 undergraduate hours. 3 or 4 graduate hours.","Study and analysis of major film makers, genres, trends, and theories, including the 1920's Soviet avant garde and the Polish and Czech ""New Wave"" since 1953; lectures, discussions, screenings, term paper. No reading knowledge of Russian required, except for majors in Slavic Languages and Literatures. Same as MACS 419. 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: RUSS 219; or a college level course REES or in CINE; or consent of instructor.",Prerequisite: RUSS 219; or a college level course REES or in CINE; or consent of instructor.,,,,,,"[SLAV 419 Russian & East European Film credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/SLAV/419>)

Study and analysis of major film makers, genres, trends, and theories, including the 1920's Soviet avant garde and the Polish and Czech ""New Wave"" since 1953; lectures, discussions, screenings, term paper. No reading knowledge of Russian required, except for majors in Slavic Languages and Literatures. Same as [MACS 419](<https://catalog.illinois.edu/search/?P=MACS%20419>). 3 undergraduate hours. 3 or 4 graduate hours. Prerequisite: [RUSS 219](<https://catalog.illinois.edu/search/?P=RUSS%20219>); or a college level course REES or in CINE; or consent of instructor.",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
SLAV 420,SLAV,420,Jewish Life-Writing,3 or 4 Hours,"Same as CWL 421, HIST 436, REL 420, and YDSH 420. See YDSH 420.",,,,,,,"[SLAV 420 Jewish Life-Writing credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/SLAV/420>)

Same as [CWL 421](<https://catalog.illinois.edu/search/?P=CWL%20421>), [HIST 436](<https://catalog.illinois.edu/search/?P=HIST%20436>), [REL 420](<https://catalog.illinois.edu/search/?P=REL%20420>), and [YDSH 420](<https://catalog.illinois.edu/search/?P=YDSH%20420>). See [YDSH 420](<https://catalog.illinois.edu/search/?P=YDSH%20420>).",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
SLAV 430,SLAV,430,History of Translation,"3 or 4 Hours
3 undergraduate hours. 4 graduate hours.","Study of the historical development of translation ideas and practices in Europe and in particular cases across major global regions. Reading and analysis of key texts in the development of translation theory and case studies of practices and roles played by translation in different periods and geographical regions. Instruction in English. Same as CLCV 430, CWL 430, ENGL 486, GER 405, SPAN 436, and TRST 431. 3 undergraduate hours. 4 graduate hours.",,,,,,,"[SLAV 430 History of Translation credit: 3 or 4 Hours.](<https://courses.illinois.edu/schedule/terms/SLAV/430>)

Study of the historical development of translation ideas and practices in Europe and in particular cases across major global regions. Reading and analysis of key texts in the development of translation theory and case studies of practices and roles played by translation in different periods and geographical regions. Instruction in English. Same as [CLCV 430](<https://catalog.illinois.edu/search/?P=CLCV%20430>), [CWL 430](<https://catalog.illinois.edu/search/?P=CWL%20430>), [ENGL 486](<https://catalog.illinois.edu/search/?P=ENGL%20486>), [GER 405](<https://catalog.illinois.edu/search/?P=GER%20405>), [SPAN 436](<https://catalog.illinois.edu/search/?P=SPAN%20436>), and [TRST 431](<https://catalog.illinois.edu/search/?P=TRST%20431>). 3 undergraduate hours. 4 graduate hours.",https://catalog.illinois.edu/courses-of-instruction/slav/,2026–2027
