course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
SOC 100,SOC,100,Introduction to Sociology,4 Hours,"[IAI Code: S7900] Sociology offers a unique lens through which we can examine the world around us. In this course you will develop a perspective that will allow you to analyze the social world in a way that reveals the hidden and/or overlooked social forces that shape our lives. This approach, the sociological imagination, will enable you to explore how social forces influence the ways we view and navigate our social world. We will discuss how sociologists use theory and research to better understand important social issues such as inequalities of race, class, gender, sexualities and how social order and social change are possible. We will discuss how society affects individuals and in turn how individuals can affect society.",,,Social & Beh Sci - Soc Sci,,,
SOC 101,SOC,101,Sociology of Gender,3 Hours,"An exploration of current questions of gender and their applications to students today. The course will focus primarily on the United States emphasizing individual, interactional, and institutional aspects of the social world. Topics for study include sociological research on femininities, masculinities, gendered bodies, socialization, work, family, politics, sport, and sexualities.",,,Social & Beh Sci - Soc Sci,,,
SOC 130,SOC,130,Intro Gender & Women's Studies,3 Hours,Same as GWS 100. See GWS 100.,,,Social & Beh Sci - Soc Sci,,,
SOC 160,SOC,160,Global Ineq and Social Change,3 Hours,"Introduces sociological concepts of poverty, inequality, and social change within a global context. Themes explored include basic food security, poverty and hunger; population and resource distribution; foreign aid and development institutions; and social policies and movements for change. Course approach is historical and transnational, and typically includes case studies from Africa, Asia, Latin America, and the United States.",,,"Cultural Studies - Non-West
Social & Beh Sci - Soc Sci",,,
SOC 161,SOC,161,Introduction to Poverty,3 Hours,"Introduction to sociological research about the views, experiences, causes, and consequences of poverty in both advanced and developing countries. The purpose of the course is to set the facts straight about who experiences poverty, why poverty remains pervasive, and what is being done, at home and abroad, to alleviate poverty.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - Western",,,
SOC 163,SOC,163,Social Problems,3 Hours,"A study of social problems in the United States necessarily entails a discussion of global issues. To that end, this course will examine many contemporary social issues such as crime, war and terrorism, the environment, inequality, poverty, discrimination, the economic recession, and others, through a global framework. Many of the topics we will cover could motivate an entire semester's study in their own right; indeed, some scholars devote their entire careers to but one of these topics. However, this breadth allows us to think broadly about the issues that are identified as social problems and the ways in which individuals and groups attempt to resolve those problems; both processes are revealing about the time and society in which we live. One of the main objectives of this class is to learn about how sociologists examine social problems through analysis and research. Alongside that process, you will improve your critical thinking skills and become a better/more informed consumer of information.",,,,,,
SOC 180,SOC,180,Stress and Health in African American Communities,3 Hours,"Using an interdisciplinary approach, students will explore the environmental and social determinants of health/wellbeing (ex. community violence), and their affects, within African American communities. Students will use the concepts of resistance and resiliency to explore factors that protect African Americans from the negative consequences of stress.",,,"Social & Beh Sci - Soc Sci
Cultural Studies - US Minority",,,
SOC 196,SOC,196,Issues in Sociology,3 Hours,"[IAI Code: S7901] Origin of problems; consequences of ameliorative strategies. Typical topics include crime, mental illness, drug use, suicide, sexual behavior, violence, and intergroup conflict. May be repeated as topics vary.",,,,,,
SOC 199,SOC,199,Undergraduate Open Seminar,1 to 5 Hours,Approved for both letter and S/U grading. May be repeated.,,,,,,
SOC 200,SOC,200,Introduction to Sociological Theory,3 Hours,This course is an introduction to the foundations of sociological theory. Topics may include the problem of social order and the nature of social conflict; capitalism and bureaucracy; the relationship between social structure and politics; and the evolution of modern societies. Prerequisite: Sophomore standing.,Prerequisite: Sophomore standing.,,,,,
