course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
SPAN 101,SPAN,101,Elementary Spanish I,4 Hours,"Intensive course for beginner students of Spanish. Students will develop basic listening, speaking, reading and writing skills and awareness of the various cultures of the Spanish-speaking world, including the US. This is considered a first-level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Credit is not given towards graduation for SPAN 101 for students who have the equivalent of four or more years credit in Spanish at the secondary level. Prerequisite: None or assignment by placement exam.",Prerequisite: None or assignment by placement exam.,Credit is not given towards graduation for SPAN 101 for students who have the equivalent of four or more years credit in Spanish at the secondary level.,,,,2.30
SPAN 102,SPAN,102,Elementary Spanish II,4 Hours,"Continuation of SPAN 101. Students continue developing basic listening, speaking, reading and writing skills in Spanish and awareness of the various cultures of the Spanish-speaking world, including the US. This is considered a second level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Credit is not given towards graduation for both SPAN 102 and SPAN 122; students who have the equivalent of four or more years credit in Spanish at the secondary level will not receive credit towards graduation for SPAN 102. Prerequisite: SPAN 101 or equivalent.",Prerequisite: SPAN 101 or equivalent.,Credit is not given towards graduation for both SPAN 102 and SPAN 122; students who have the equivalent of four or more years credit in Spanish at the secondary level will not receive credit towards graduation for SPAN 102.,,,,2.84
SPAN 122,SPAN,122,Intensive Elementary Spanish,4 Hours,"Intensive beginning Spanish, equivalent to SPAN 101 and 102, for students with little or no experience in Spanish or whose skills need refreshing. This is considered a second level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Credit is not given toward graduation for: Credit is not given towards graduation for both SPAN 122 and SPAN 102; students who have the equivalent of four or more years credit in Spanish at the secondary level will not receive credit towards graduation for SPAN 122. . Prerequisite: None or assignment by placement exam.",Prerequisite: None or assignment by placement exam.,Credit is not given toward graduation for: Credit is not given towards graduation for both SPAN 122 and SPAN 102; students who have the equivalent of four or more years credit in Spanish at the secondary level will not receive credit towards graduation for SPAN 122. .,,,,
SPAN 150,SPAN,150,Language and Identity in Latinx Communities in the US,3 Hours,"Exploration of the complicated relationship between language and identity among Latinx in the US. You will develop an understanding of why there is a continuum of language ability in English and Spanish and why language shift to English is a natural phenomenon. You will learn about bilingualism at an individual, cognitive, and social level, and understand how language and identity are interconnected. In addition, you will learn the role that culture plays in the manner in which language is approached and practiced and how that interaction impacts identity constructions as related to race and gender. Instruction in English.",,,,,,
SPAN 199,SPAN,199,Undergraduate Open Seminar,1 to 5 Hours,"Undergraduate seminar in topics related to Spanish. Additional fees may apply. See Class Schedule. Approved for both Letter and S/U grading. May be repeated in separate terms up to 6 hours, if topics vary.",,,,,,
SPAN 201,SPAN,201,Intermediate Spanish,4 Hours,"Continued development of reading, writing and conversational skills. This is considered a third level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Credit is not given toward graduation for: SPAN 130 and SPAN 201. Prerequisite: SPAN 102, SPAN 122 or equivalent placement score.","Prerequisite: SPAN 102, SPAN 122 or equivalent placement score.",Credit is not given toward graduation for: SPAN 130 and SPAN 201.,,,,
SPAN 203,SPAN,203,Spanish Grammar through Communication,4 Hours,"Introduction to the major structures of Spanish, from a linguistic perspective and will develop students' communicative skills through speaking, listening, reading and writing. This is considered a fourth level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Credit is not given toward graduation for: Credit is not given towards graduation for both SPAN 141 and SPAN 203 or for both SPAN 203 and SPAN 205. Prerequisite: SPAN 201, equivalent course, or placement score.","Prerequisite: SPAN 201, equivalent course, or placement score.",Credit is not given toward graduation for: Credit is not given towards graduation for both SPAN 141 and SPAN 203 or for both SPAN 203 and SPAN 205.,,,,
SPAN 205,SPAN,205,Spanish in the Professions,4 Hours,"Introduction to Spanish in business, law, medical, education & social service fields, with a focus on the importance of bilingualism in the U.S., strategies for lifelong learning, and cultural considerations. The development of functional use of Spanish within the professional context is the major focus of the course. This is considered a fourth level course for the purposes of fulfilling the Language Other Than English (LOTE) requirement. Instruction in Spanish. Credit is not given toward graduation for: Credit is not given towards graduation for both SPAN 142 and SPAN 205 or for both SPAN 203 and SPAN 205. Prerequisite: SPAN 201, equivalent course, or placement score.","Prerequisite: SPAN 201, equivalent course, or placement score.",Credit is not given toward graduation for: Credit is not given towards graduation for both SPAN 142 and SPAN 205 or for both SPAN 203 and SPAN 205.,,,,
SPAN 210,SPAN,210,Readings in Hispanic Texts,3 Hours,"Readings and discussion in Spanish of a variety of texts by leading Hispanic and Hispanic-American writers covering genres and themes; designed to emphasize reading, discussion, and enjoyment rather than literary criticism. Instruction in Spanish. Credit may be received through Spanish Advanced Placement Language or Spanish Literature examinations. Credit is not given toward graduation for: SPAN 200 and SPAN 210. Prerequisite: SPAN 203, SPAN 205, equivalent or consent of instructor.","Prerequisite: SPAN 203, SPAN 205, equivalent or consent of instructor.",Credit is not given toward graduation for: SPAN 200 and SPAN 210.,,,,
SPAN 212,SPAN,212,Spanish for Business,3 Hours,"Introduction to vocabulary of Hispanic commerce; composition of business letters and similar texts. Instruction in Spanish. Credit is not given toward graduation for: SPAN 202 and SPAN 212. Prerequisite: SPAN 203, SPAN 205, equivalent or consent of instructor.","Prerequisite: SPAN 203, SPAN 205, equivalent or consent of instructor.",Credit is not given toward graduation for: SPAN 202 and SPAN 212.,,,,
