course_code,instructor_name,instructor_avg_gpa,gpa_delta_from_course
STAT 100,"Clement, K.",3.40,0.12
STAT 100,"Rao, V.",3.37,0.10
STAT 100,"Nguyen, H.",3.24,-0.04
STAT 100,"Cardenas-Torres, E.",3.21,-0.08
STAT 100,"Flanagan, K.",3.20,-0.08
STAT 100,"Williams, T.",3.06,-0.23
STAT 100,"Reger, W.",2.99,-0.30
STAT 107,"Flanagan, K.",3.57,0.01
STAT 107,"Nguyen, H.",3.02,-0.65
STAT 200,"Yu, A.",3.67,0.15
STAT 200,"Findley, K.",3.64,0.11
STAT 200,"Fireman, E.",3.56,0.00
STAT 200,"Clement, K.",3.53,-0.03
STAT 200,"Ellison, V.",3.47,-0.10
STAT 200,"Gao, H.",2.92,-0.79
STAT 207,"Ellison, V.",3.64,0.06
STAT 207,"Deeke, J.",3.58,-0.02
STAT 212,"Martinez Vargas, P.",3.57,0.06
STAT 212,"Findley, K.",3.54,0.01
STAT 212,"Yu, A.",3.29,-0.29
STAT 385,"Singh, M.",3.97,0.40
STAT 385,"Dalpiaz, D.",3.67,-0.01
STAT 385,"Eck, D.",3.66,-0.03
STAT 385,"Kinson, C.",3.62,-0.09
STAT 385,"Jia, W.",3.43,-0.35
STAT 400,"Unger, D.",3.46,0.04
STAT 400,"Yu, A.",3.43,0.02
STAT 400,"Stepanov, A.",3.24,-0.20
STAT 400,"Nguyen, H.",3.10,-0.35
STAT 400,"Findley, K.",2.89,-0.59
STAT 408,"Yang, Y.",3.56,0.44
STAT 408,"Chatterjee, S.",3.41,0.29
STAT 408,"Lee, H.",2.83,-0.24
STAT 410,"Yang, Y.",3.61,0.44
STAT 410,"Liu, J.",3.30,0.15
STAT 410,"Kizildag, E.",3.26,0.12
STAT 410,"Stepanov, A.",3.11,-0.02
STAT 410,"Liang, F.",2.94,-0.18
STAT 410,"Zhang, S.",2.91,-0.21
STAT 410,"Agterberg, J.",2.66,-0.44
STAT 410,"Douglas, J.",2.23,-0.84
STAT 420,"Unger, D.",3.77,0.27
STAT 420,"Findley, K.",3.59,0.02
STAT 420,"Li, X.",3.59,0.01
STAT 420,"Yu, A.",3.54,-0.05
STAT 420,"Deeke, J.",3.47,-0.16
STAT 420,"Icaza, E.",3.45,-0.18
STAT 420,"Unger, D.",3.87,
STAT 425,"Simpson, D.",3.62,0.19
STAT 425,"Bravo De Guenni, L.",3.49,0.06
STAT 425,"Chronopoulou, A.",2.98,-0.45
STAT 425,"Douglas, J.",3.73,0.26
STAT 425,"Simpson, D.",3.73,0.26
STAT 425,"Park, T.",3.51,-0.01
STAT 425,"Jia, W.",3.50,-0.02
STAT 425,"Bravo De Guenni, L.",3.48,-0.04
STAT 425,"Zheng, L.",3.48,-0.04
STAT 425,"Narisetty, N.",3.38,-0.17
STAT 425,"Culpepper, S.",3.35,-0.20
STAT 425,"Chronopoulou, A.",3.26,-0.31
STAT 425,"Shao, X.",3.14,-0.45
STAT 426,"Douglas, J.",3.41,
STAT 426,"Simpson, D.",3.68,0.35
STAT 426,"Yun, S.",3.49,0.11
STAT 426,"Jia, W.",3.49,0.11
STAT 426,"Yu, R.",3.48,0.09
STAT 426,"Bravo De Guenni, L.",3.24,-0.22
STAT 426,"Park, C.",3.23,-0.23
STAT 426,"Douglas, J.",3.18,-0.30
STAT 427,"Chen, Y.",3.94,0.08
STAT 427,"Chronopoulou, A.",3.87,-0.23
STAT 428,"Zhang, S.",3.67,0.11
STAT 428,"Douglas, J.",3.66,0.10
STAT 428,"Wang, S.",3.50,-0.11
STAT 429,"Lee, H.",3.45,
STAT 430,"Eck, D.",3.68,
STAT 430,"Balamuta, J.",3.63,
STAT 430,"Martinez Vargas, P.",3.51,
STAT 430,"Lee, H.",3.88,
STAT 430,"Ellison, V.",3.56,
STAT 430,"Zhao, S.",3.44,
STAT 430,"Balamuta, J.",3.37,0.12
STAT 430,"Nguyen, H.",3.19,-0.03
STAT 430,"Zhao, S.",3.80,
STAT 430,"Lee, H.",3.98,
STAT 430,"Eck, D.",3.49,
STAT 430,"Ellison, V.",3.67,
STAT 431,"Park, T.",3.72,0.12
STAT 431,"Culpepper, S.",3.43,-0.34
STAT 432,"Lee, H.",3.67,0.11
STAT 432,"Zhu, R.",3.59,0.00
STAT 432,"Dayanikli, G.",3.54,-0.07
STAT 432,"Dalpiaz, D.",3.50,-0.13
STAT 433,"Stepanov, A.",3.54,
STAT 434,"Zhao, S.",3.15,
STAT 437,"Ellison, V.",3.57,
STAT 440,"Unger, D.",3.72,0.08
STAT 440,"Kinson, C.",3.65,0.00
STAT 443,"Glosemeyer, D.",3.51,
STAT 447,"Singh, M.",3.95,0.63
STAT 447,"Eddelbuettel, D.",3.49,-0.14
STAT 448,"Kinson, C.",3.91,0.59
STAT 448,"Bravo De Guenni, L.",3.55,0.17
STAT 448,"Glosemeyer, D.",3.13,-0.32
STAT 510,"Chen, X.",3.51,0.15
STAT 510,"Dalpiaz, D.",3.39,0.01
STAT 510,"Chronopoulou, A.",3.33,-0.06
STAT 510,"Culpepper, S.",3.24,-0.17
STAT 510,"Dalpiaz, D.",3.37,
STAT 525,"Chen, Y.",3.72,0.01
STAT 525,"Wang, S.",3.72,-0.01
STAT 525,"Zhou, Y.",3.88,
STAT 542,"Liu, J.",3.88,0.12
STAT 542,"Liang, F.",3.80,-0.05
STAT 542,"Zhu, R.",3.76,-0.11
STAT 575,"Li, X.",3.91,
STAT 578,"Liu, J.",3.88,
