course_code,subject,course_number,course_name,credits,description,prerequisites,credit_restrictions,gen_ed,total_students,total_sections,overall_gpa
STAT 100,STAT,100,Statistics,3 Hours,"First course in probability and statistics at a precalculus level; emphasizes basic concepts, including descriptive statistics, elementary probability, estimation, and hypothesis testing in both nonparametric and normal models.",MATH 112.,"Credit is not given toward graduation for: Credit is not given for both STAT 100 and any one of the following: ECON 202, PSYC 235, or SOC 485.",Quantitative Reasoning I,12977,28,3.28
STAT 107,STAT,107,Data Science Discovery,4 Hours,"Data Science Discovery is the intersection of statistics, computation, and real-world relevance. As a project-driven course, students perform hands-on-analysis of real-world datasets to analyze and discover the impact of the data. Throughout each experience, students reflect on the social issues surrounding data analysis such as privacy and design. Same as CS 107 and IS 107.",,,Quantitative Reasoning I,6113,16,3.56
STAT 200,STAT,200,Statistical Analysis,3 Hours,"Survey of statistical concepts, data analysis, designed and observational studies and statistical models. Statistical computing using a statistical package such as R or a spreadsheet. Topics to be covered include data summary and visualization, study design, elementary probability, categorical data, comparative experiments, multiple linear regression, analysis of variance, statistical inferences and model diagnostics. May be taken as a first statistics course for quantitatively oriented students, or as a second course to follow a basic concepts course.",,Credit is not given for both STAT 200 and STAT 212.,Quantitative Reasoning I,2196,16,3.55
STAT 207,STAT,207,Data Science Exploration,4 Hours,"Explores the data science pipeline from hypothesis formulation, to data collection and management, to analysis and reporting. Topics include data collection, preprocessing and checking for missing data, data summary and visualization, random sampling and probability models, estimating parameters, uncertainty quantification, hypothesis testing, multiple linear and logistic regression modeling, classification, and machine learning approaches for high dimensional data analysis. Students will learn how to implement the methods using Python programming and Git version control.",STAT 107.,,Quantitative Reasoning II,2196,17,3.60
STAT 212,STAT,212,Biostatistics,3 Hours,"Application of statistical reasoning and statistical methodology to biology. Topics include descriptive statistics, graphical methods, experimental design, probability, statistical inference and regression. In addition, techniques of statistical computing are covered.",,Credit is not given for both STAT 212 and STAT 200.,Quantitative Reasoning I,3529,19,3.53
STAT 361,STAT,361,Probability & Statistics for Computer Science,3 Hours,Same as CS 361. See CS 361.,,,,,,
STAT 385,STAT,385,Statistics Programming Methods,3 Hours,Statisticians must be savvy in programming methods useful to the wide variety of analysis that they will be expected to perform. This course provides the foundation for writing and packaging statistical algorithms through the creation of functions and object oriented programming. Fundamental programming techniques and considerations will be emphasized. Students will also create dynamic reports that encapsulate their implemented algorithms. Students must have access to a computer on which they can install software.,"One of STAT 107, STAT 200, or STAT 212.",,,2035,19,3.68
STAT 390,STAT,390,Individual Study,1 or 2 Hours,May be repeated to a maximum of 8 hours.,Consent of instructor.,,,,,
STAT 391,STAT,391,Honors Individual Study,1 or 2 Hours,May be repeated to a maximum of 8 hours.,Consent of instructor.,,,,,
STAT 400,STAT,400,Statistics and Probability I,4 Hours,"Introduction to mathematical statistics that develops probability as needed; includes the calculus of probability, random variables, expectation, distribution functions, central limit theorem, point estimation, confidence intervals, and hypothesis testing. Offers a basic one-term introduction to statistics and also prepares students for STAT 410 and STAT 425. Same as MATH 463. Not intended for first-time freshmen.",MATH 231.,,,7338,46,3.42
STAT 408,STAT,408,Actuarial Statistics I,4 Hours,Same as ASRM 401. See ASRM 401.,,,,168,5,3.09
STAT 410,STAT,410,Statistics and Probability II,3 or 4 Hours,"Continuation of STAT 400. Includes moment-generating functions, transformations of random variables, normal sampling theory, sufficiency, best estimators, maximum likelihood estimators, confidence intervals, most powerful tests, unbiased tests, and chi-square tests. Same as MATH 464.",MATH 241 and STAT 400.,Credit is not given toward graduation for: Credit is not given for both STAT 410 and ASRM 402.,,2948,41,3.13
STAT 420,STAT,420,Methods of Applied Statistics,3 or 4 Hours,"Systematic, calculus-based coverage of the more widely used methods of applied statistics, including simple and multiple regression, correlation, analysis of variance and covariance, multiple comparisons, goodness of fit tests, contingency tables, nonparametric procedures, and power of tests; emphasizes when and why various tests are appropriate and how they are used.",STAT 408 or STAT 400; MATH 231 or equivalent; knowledge of basic matrix manipulations; or consent of instructor.,,,1519,20,3.58
STAT 425,STAT,425,Statistical Modeling I,3 or 4 Hours,"This is the foundation for advanced statistical modeling with a focus on multiple strategies for analyzing data. The course explores linear regression, least squares estimates, F-tests, analysis of residuals, regression diagnostics, transformations, model building, generalized and weighted least squares, PCA, A/B testing, randomization tests, ANOVA, random effects, mixed effects, and longitudinal data. Statistical computing is an integral part of the course. Concurrent Enrollment in STAT 410 is preferred.",STAT 400; MATH 257 or MATH 415.,,,2238,32,3.52
STAT 426,STAT,426,Statistical Modeling II,3 or 4 Hours,"This is a continuation in the study of advanced statistical modeling techniques with a focus on categorical data. The course explores logistic regression, generalized linear models, goodness-of-fit, link functions, count regression, log-linear models, probability models for contingency tables, and ordinal response models. Statistical computing is an integral part of the course.",STAT 410; STAT 425.,,,1425,22,3.41
STAT 427,STAT,427,Statistical Consulting,3 or 4 Hours,"Students, working in groups under the supervision of the instructor, consult with faculty and graduate students through the Statistical Consulting Service; readings from literature on consulting.",STAT 425 or consent of instructor.,,,137,4,3.92
STAT 428,STAT,428,Statistical Computing,3 or 4 Hours,"Examines statistical packages, numerical analysis for linear and nonlinear models, graphics, and random number generation and Monte Carlo methods. Same as CSE 428.",STAT 410 or equivalent; knowledge of a programming language.,,,632,10,3.58
STAT 429,STAT,429,Time Series Analysis,3 or 4 Hours,Studies theory and data analysis for time series; examines auto-regressive moving average model building and statistical techniques; and discusses spectral model building and statistical analysis using windowed periodograms and Fast Fourier Transformations.,STAT 410.,,,,,
STAT 430,STAT,430,Topics in Applied Statistics,3 or 4 Hours,Formulation and analysis of mathematical models for random phenomena; extensive involvement with the analysis of real data; and instruction in statistical and computing techniques as needed. May be repeated in the same or separate terms if topics vary. Some topics may require additional prerequisites. Read the section text for each topic.,STAT 410; STAT 425.,,,,,
